"Status","Year","Region_ITL2","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Asian","East of England","540","500","30790","29290"
"In post","2021","Bedfordshire and Hertfordshire","Black","East of England","230","220","30990","29290"
"In post","2021","Bedfordshire and Hertfordshire","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Mixed","East of England","140","130","31830","29290"
"In post","2021","Bedfordshire and Hertfordshire","Other ethnicity","East of England","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","East of England","210","190","32800","30420"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","East of England","410","390","29890","28100"
"In post","2021","Bedfordshire and Hertfordshire","White","East of England","2950","2760","33160","30110"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Asian","South East (England)","600","560","30660","28420"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Black","South East (England)","280","270","30400","28670"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Chinese","South East (England)","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Mixed","South East (England)","170","170","32290","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","South East (England)","60","60","30620","28960"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","South East (England)","460","440","34420","32000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","South East (England)","1110","1060","31350","28350"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","White","South East (England)","6870","6540","33380","30400"
"In post","2021","Cheshire","Asian","North West (England)","60","50","28950","27570"
"In post","2021","Cheshire","Black","North West (England)","30","30","[c]","[c]"
"In post","2021","Cheshire","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Mixed","North West (England)","50","40","[c]","[c]"
"In post","2021","Cheshire","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","North West (England)","130","130","31720","29330"
"In post","2021","Cheshire","Unknown","North West (England)","420","400","29660","27570"
"In post","2021","Cheshire","White","North West (England)","3200","3010","31490","28840"
"In post","2021","Cornwall and Isles of Scilly","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Undeclared","South West (England)","90","80","27690","26590"
"In post","2021","Cornwall and Isles of Scilly","Unknown","South West (England)","170","150","26640","22640"
"In post","2021","Cornwall and Isles of Scilly","White","South West (England)","1360","1240","26510","26670"
"In post","2021","Cumbria","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","North West (England)","90","80","31850","27570"
"In post","2021","Cumbria","Unknown","North West (England)","320","310","25760","21050"
"In post","2021","Cumbria","White","North West (England)","1710","1530","28200","25560"
"In post","2021","Derbyshire and Nottinghamshire","Asian","East Midlands (England)","650","590","29880","27570"
"In post","2021","Derbyshire and Nottinghamshire","Black","East Midlands (England)","320","300","27280","26560"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","East Midlands (England)","210","200","30360","27570"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","East Midlands (England)","500","460","31450","28130"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","East Midlands (England)","1800","1700","28540","25560"
"In post","2021","Derbyshire and Nottinghamshire","White","East Midlands (England)","8750","8080","31650","27570"
"In post","2021","Devon","Asian","South West (England)","50","50","35110","31860"
"In post","2021","Devon","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","South West (England)","100","90","31350","27570"
"In post","2021","Devon","Other ethnicity","South West (England)","40","30","[c]","[c]"
"In post","2021","Devon","Undeclared","South West (England)","420","390","32220","27680"
"In post","2021","Devon","Unknown","South West (England)","1100","1020","29150","26120"
"In post","2021","Devon","White","South West (England)","7280","6690","31520","27570"
"In post","2021","Dorset and Somerset","Asian","South West (England)","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Mixed","South West (England)","50","50","28840","27570"
"In post","2021","Dorset and Somerset","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","South West (England)","250","240","31410","29230"
"In post","2021","Dorset and Somerset","Unknown","South West (England)","520","490","29620","26780"
"In post","2021","Dorset and Somerset","White","South West (England)","4320","4000","29590","27570"
"In post","2021","East Anglia","Asian","East of England","370","320","27160","23130"
"In post","2021","East Anglia","Black","East of England","120","120","32370","27570"
"In post","2021","East Anglia","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","East Anglia","Mixed","East of England","180","170","28940","27570"
"In post","2021","East Anglia","Other ethnicity","East of England","50","50","[c]","[c]"
"In post","2021","East Anglia","Undeclared","East of England","570","530","31140","27900"
"In post","2021","East Anglia","Unknown","East of England","1090","1030","28940","26350"
"In post","2021","East Anglia","White","East of England","10060","9370","30280","27570"
"In post","2021","East Wales","Asian","Wales","330","320","30400","25560"
"In post","2021","East Wales","Black","Wales","160","150","29350","26860"
"In post","2021","East Wales","Chinese","Wales","50","50","[c]","[c]"
"In post","2021","East Wales","Mixed","Wales","280","260","32140","27620"
"In post","2021","East Wales","Other ethnicity","Wales","70","70","32280","27570"
"In post","2021","East Wales","Undeclared","Wales","620","580","34060","29540"
"In post","2021","East Wales","Unknown","Wales","3040","2880","29020","25560"
"In post","2021","East Wales","White","Wales","15820","14760","33240","28850"
"In post","2021","East Yorkshire and Northern Lincolnshire","Asian","Yorkshire and The Humber","30","30","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Mixed","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","East Yorkshire and Northern Lincolnshire","Undeclared","Yorkshire and The Humber","170","160","29200","27570"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Yorkshire and The Humber","410","390","25790","24880"
"In post","2021","East Yorkshire and Northern Lincolnshire","White","Yorkshire and The Humber","4010","3650","28020","27130"
"In post","2021","Eastern Scotland","Asian","Scotland","190","180","32310","27570"
"In post","2021","Eastern Scotland","Black","Scotland","90","80","32700","27990"
"In post","2021","Eastern Scotland","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Mixed","Scotland","120","110","37830","31810"
"In post","2021","Eastern Scotland","Other ethnicity","Scotland","40","40","[c]","[c]"
"In post","2021","Eastern Scotland","Undeclared","Scotland","640","590","34450","32060"
"In post","2021","Eastern Scotland","Unknown","Scotland","4990","4690","31010","27570"
"In post","2021","Eastern Scotland","White","Scotland","13760","12930","35510","30650"
"In post","2021","Essex","Asian","East of England","210","200","34760","29290"
"In post","2021","Essex","Black","East of England","240","230","29610","29290"
"In post","2021","Essex","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Mixed","East of England","100","90","32100","29290"
"In post","2021","Essex","Other ethnicity","East of England","30","30","[c]","[c]"
"In post","2021","Essex","Undeclared","East of England","310","290","30990","29090"
"In post","2021","Essex","Unknown","East of England","580","540","29370","26590"
"In post","2021","Essex","White","East of England","4110","3750","30790","29290"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Asian","South West (England)","690","660","34650","31650"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Black","South West (England)","490","470","32780","31110"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Chinese","South West (England)","40","40","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Mixed","South West (England)","450","430","34250","30730"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Other ethnicity","South West (England)","120","120","34320","30010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","South West (England)","1700","1630","38900","37320"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","South West (England)","2390","2280","34100","29690"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","White","South West (England)","23430","22210","36720","33300"
"In post","2021","Greater Manchester","Asian","North West (England)","1370","1280","28870","27570"
"In post","2021","Greater Manchester","Black","North West (England)","520","490","28450","27370"
"In post","2021","Greater Manchester","Chinese","North West (England)","80","70","29800","25560"
"In post","2021","Greater Manchester","Mixed","North West (England)","330","310","29490","26670"
"In post","2021","Greater Manchester","Other ethnicity","North West (England)","80","80","32760","27570"
"In post","2021","Greater Manchester","Undeclared","North West (England)","790","730","31740","27570"
"In post","2021","Greater Manchester","Unknown","North West (England)","2790","2670","29300","25560"
"In post","2021","Greater Manchester","White","North West (England)","13770","12870","31570","27570"
"In post","2021","Hampshire and Isle of Wight","Asian","South East (England)","310","280","30370","27390"
"In post","2021","Hampshire and Isle of Wight","Black","South East (England)","170","150","28800","27570"
"In post","2021","Hampshire and Isle of Wight","Chinese","South East (England)","40","40","[c]","[c]"
