"Status","Year","Sexual_orientation","Profession_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","20-29","560","560","30190","29550"
"In post","2021","Heterosexual / straight","Commercial","30-39","920","880","38040","36360"
"In post","2021","Heterosexual / straight","Commercial","40-49","940","910","43570","40310"
"In post","2021","Heterosexual / straight","Commercial","50-59","1090","1070","44980","41700"
"In post","2021","Heterosexual / straight","Commercial","60-64","200","180","45030","41650"
"In post","2021","Heterosexual / straight","Commercial","65+","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","20-29","490","490","34510","33190"
"In post","2021","Heterosexual / straight","Communications","30-39","760","730","42510","39850"
"In post","2021","Heterosexual / straight","Communications","40-49","710","670","45290","40960"
"In post","2021","Heterosexual / straight","Communications","50-59","480","470","42590","37410"
"In post","2021","Heterosexual / straight","Communications","60-64","100","100","38450","34610"
"In post","2021","Heterosexual / straight","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","30-39","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","40-49","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","20-29","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","30-39","120","120","35990","34390"
"In post","2021","Heterosexual / straight","Counter Fraud","40-49","150","140","37350","34900"
"In post","2021","Heterosexual / straight","Counter Fraud","50-59","200","190","40050","37910"
"In post","2021","Heterosexual / straight","Counter Fraud","60-64","60","60","37150","35640"
"In post","2021","Heterosexual / straight","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","20-29","1020","1010","33630","31810"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","30-39","2030","1980","40750","38390"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","40-49","2410","2360","45400","42000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","50-59","2220","2170","44400","40580"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","60-64","470","420","42800","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","65+","130","110","41140","36160"
"In post","2021","Heterosexual / straight","Economics","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","20-29","750","750","37790","34090"
"In post","2021","Heterosexual / straight","Economics","30-39","360","350","57870","57850"
"In post","2021","Heterosexual / straight","Economics","40-49","160","150","64170","61250"
"In post","2021","Heterosexual / straight","Economics","50-59","100","90","63810","62480"
"In post","2021","Heterosexual / straight","Economics","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","65+","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","20-29","790","780","32940","30420"
"In post","2021","Heterosexual / straight","Finance","30-39","1400","1340","41410","37940"
