"Status","Year","Parent_department","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Asian","Declared disabled","80","70","43210","39540"
"In post","2021","Attorney General's Departments","Asian","Declared non-disabled","660","610","43410","48080"
"In post","2021","Attorney General's Departments","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Asian","Unknown","150","140","37080","38000"
"In post","2021","Attorney General's Departments","Black","Declared disabled","60","60","40660","35020"
"In post","2021","Attorney General's Departments","Black","Declared non-disabled","420","400","41460","33310"
"In post","2021","Attorney General's Departments","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Black","Unknown","70","70","33190","26970"
"In post","2021","Attorney General's Departments","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Declared disabled","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Declared non-disabled","200","190","47960","51070"
"In post","2021","Attorney General's Departments","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Declared non-disabled","80","70","49140","51250"
"In post","2021","Attorney General's Departments","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Declared non-disabled","100","100","45070","48830"
"In post","2021","Attorney General's Departments","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Declared disabled","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Declared non-disabled","340","320","43860","39800"
