"Status","Year","Function_of_post","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","20-29","1150","1140","35850","33610"
"In post","2021","Analysis","Female","30-39","900","840","44900","41810"
"In post","2021","Analysis","Female","40-49","700","620","48490","46440"
"In post","2021","Analysis","Female","50-59","400","370","44910","39850"
"In post","2021","Analysis","Female","60-64","60","50","36040","32770"
"In post","2021","Analysis","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","20-29","1310","1300","36200","34000"
"In post","2021","Analysis","Male","30-39","1140","1120","45910","43580"
"In post","2021","Analysis","Male","40-49","730","710","50320","48410"
"In post","2021","Analysis","Male","50-59","570","560","50180","46970"
"In post","2021","Analysis","Male","60-64","130","110","48300","45250"
"In post","2021","Analysis","Male","65+","40","30","[c]","[c]"
"In post","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","20-29","480","480","33530","31000"
"In post","2021","Commercial","Female","30-39","810","760","41450","38170"
"In post","2021","Commercial","Female","40-49","1040","990","48050","41870"
"In post","2021","Commercial","Female","50-59","980","950","44710","39800"
"In post","2021","Commercial","Female","60-64","180","160","40540","35370"
"In post","2021","Commercial","Female","65+","40","30","[c]","[c]"
"In post","2021","Commercial","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","20-29","440","440","32590","30750"
"In post","2021","Commercial","Male","30-39","720","720","44890","40650"
"In post","2021","Commercial","Male","40-49","830","830","53790","49530"
"In post","2021","Commercial","Male","50-59","1160","1150","55230","49700"
"In post","2021","Commercial","Male","60-64","220","200","48560","42960"
"In post","2021","Commercial","Male","65+","70","60","44560","37960"
"In post","2021","Communications","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","20-29","1110","1100","30410","27270"
"In post","2021","Communications","Female","30-39","1280","1210","36880","31810"
"In post","2021","Communications","Female","40-49","970","880","39960","35010"
"In post","2021","Communications","Female","50-59","740","690","35840","31810"
"In post","2021","Communications","Female","60-64","150","120","33320","28130"
"In post","2021","Communications","Female","65+","40","30","[c]","[c]"
"In post","2021","Communications","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","20-29","960","960","29700","25560"
"In post","2021","Communications","Male","30-39","1170","1160","34030","31810"
"In post","2021","Communications","Male","40-49","870","860","37350","31810"
"In post","2021","Communications","Male","50-59","690","680","35970","31200"
"In post","2021","Communications","Male","60-64","160","150","32120","28130"
"In post","2021","Communications","Male","65+","60","50","30440","27140"
"In post","2021","Counter Fraud","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","20-29","520","510","29640","25560"
"In post","2021","Counter Fraud","Female","30-39","890","840","32170","30810"
"In post","2021","Counter Fraud","Female","40-49","1060","970","32730","31810"
"In post","2021","Counter Fraud","Female","50-59","1590","1470","33560","31810"
"In post","2021","Counter Fraud","Female","60-64","370","280","31410","28130"
"In post","2021","Counter Fraud","Female","65+","80","50","28980","28130"
"In post","2021","Counter Fraud","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","20-29","590","590","29670","26980"
"In post","2021","Counter Fraud","Male","30-39","1170","1160","33170","31810"
"In post","2021","Counter Fraud","Male","40-49","1210","1200","35260","31810"
"In post","2021","Counter Fraud","Male","50-59","1610","1580","37630","33770"
"In post","2021","Counter Fraud","Male","60-64","410","320","37630","35000"
"In post","2021","Counter Fraud","Male","65+","110","80","37270","35000"
"In post","2021","Debt","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","20-29","500","480","21090","20140"
"In post","2021","Debt","Female","30-39","480","420","22290","20140"
"In post","2021","Debt","Female","40-49","490","420","24020","21440"
"In post","2021","Debt","Female","50-59","780","660","24570","21440"
"In post","2021","Debt","Female","60-64","290","210","24160","21440"
"In post","2021","Debt","Female","65+","80","60","24700","24390"
"In post","2021","Debt","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Male","20-29","570","560","21370","20140"
"In post","2021","Debt","Male","30-39","370","370","21740","20140"
"In post","2021","Debt","Male","40-49","360","350","23700","21420"
"In post","2021","Debt","Male","50-59","480","460","25450","21440"
"In post","2021","Debt","Male","60-64","160","130","25160","21440"
"In post","2021","Debt","Male","65+","60","50","26230","24120"
"In post","2021","Digital, Data & Technology","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Female","20-29","780","770","33770","31810"
"In post","2021","Digital, Data & Technology","Female","30-39","1330","1270","40960","38630"
"In post","2021","Digital, Data & Technology","Female","40-49","1390","1310","43190","39050"
"In post","2021","Digital, Data & Technology","Female","50-59","1210","1150","41440","38630"
"In post","2021","Digital, Data & Technology","Female","60-64","230","190","37310","33300"
"In post","2021","Digital, Data & Technology","Female","65+","50","50","35420","32600"
"In post","2021","Digital, Data & Technology","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","20-29","1280","1270","33210","31810"
"In post","2021","Digital, Data & Technology","Male","30-39","2130","2120","41560","38630"
"In post","2021","Digital, Data & Technology","Male","40-49","2450","2440","45590","41900"
"In post","2021","Digital, Data & Technology","Male","50-59","2130","2090","44520","40580"
"In post","2021","Digital, Data & Technology","Male","60-64","450","400","42820","39470"
"In post","2021","Digital, Data & Technology","Male","65+","150","120","43450","38450"
"In post","2021","Digital, Data & Technology","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","20-29","660","640","31970","30040"
"In post","2021","Finance","Female","30-39","1060","980","39270","36330"
"In post","2021","Finance","Female","40-49","1380","1280","39690","36390"
"In post","2021","Finance","Female","50-59","1690","1560","36580","32540"
"In post","2021","Finance","Female","60-64","380","310","32260","27350"
"In post","2021","Finance","Female","65+","100","80","27400","25560"
"In post","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","20-29","660","650","32300","30420"
"In post","2021","Finance","Male","30-39","850","840","42450","38630"
"In post","2021","Finance","Male","40-49","1090","1080","45900","41460"
"In post","2021","Finance","Male","50-59","1130","1110","44810","40580"
"In post","2021","Finance","Male","60-64","270","250","42900","39920"
"In post","2021","Finance","Male","65+","90","80","35490","33630"
"In post","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","20-29","140","140","22470","21050"
"In post","2021","Grants Management","Female","30-39","220","190","24410","21050"
"In post","2021","Grants Management","Female","40-49","340","280","25750","24920"
"In post","2021","Grants Management","Female","50-59","280","250","26730","25100"
"In post","2021","Grants Management","Female","60-64","100","80","23590","21050"
"In post","2021","Grants Management","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","20-29","110","100","22290","21050"
"In post","2021","Grants Management","Male","30-39","140","140","24090","21050"
"In post","2021","Grants Management","Male","40-49","250","250","26270","24920"
"In post","2021","Grants Management","Male","50-59","210","210","28970","26520"
"In post","2021","Grants Management","Male","60-64","70","60","27550","25190"
"In post","2021","Grants Management","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","20-29","990","980","30720","28490"
"In post","2021","Human Resources","Female","30-39","1550","1440","36340","32140"
"In post","2021","Human Resources","Female","40-49","1740","1610","40350","36800"
"In post","2021","Human Resources","Female","50-59","1940","1830","39280","34370"
"In post","2021","Human Resources","Female","60-64","370","310","34300","30500"
"In post","2021","Human Resources","Female","65+","80","60","32400","28130"
"In post","2021","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Male","20-29","430","430","30320","27830"
"In post","2021","Human Resources","Male","30-39","660","660","36270","32050"
"In post","2021","Human Resources","Male","40-49","700","700","41640","37780"
"In post","2021","Human Resources","Male","50-59","860","850","41660","37690"
"In post","2021","Human Resources","Male","60-64","180","160","39110","33300"
"In post","2021","Human Resources","Male","65+","60","50","33950","31180"
"In post","2021","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","20-29","30","30","[c]","[c]"
"In post","2021","Internal Audit","Female","30-39","80","80","40990","39200"
"In post","2021","Internal Audit","Female","40-49","100","90","46110","42840"
"In post","2021","Internal Audit","Female","50-59","160","150","46640","42900"
"In post","2021","Internal Audit","Female","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","30-39","60","60","44750","41350"
"In post","2021","Internal Audit","Male","40-49","80","80","50000","49150"
"In post","2021","Internal Audit","Male","50-59","160","160","50790","48370"
"In post","2021","Internal Audit","Male","60-64","40","30","[c]","[c]"
"In post","2021","Internal Audit","Male","65+","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","20-29","1250","1230","29820","26970"
"In post","2021","Legal","Female","30-39","2250","2080","43610","48080"
