"Status","Year","Responsibility_level","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Declared disabled","130","120","23430","22390"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Declared non-disabled","870","810","24570","22980"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Undeclared","70","70","25750","25390"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Unknown","190","190","23890","22650"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","330","320","25160","22920"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","2280","2170","25060","22920"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","300","280","28140","25840"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","670","650","26320","25540"
"In post","2021","AA/AO","Cheshire","Declared disabled","130","110","21950","21010"
"In post","2021","AA/AO","Cheshire","Declared non-disabled","760","680","22990","21010"
"In post","2021","AA/AO","Cheshire","Undeclared","140","130","26360","26070"
"In post","2021","AA/AO","Cheshire","Unknown","190","180","22270","21300"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Declared disabled","90","80","20810","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Declared non-disabled","490","440","20810","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Undeclared","40","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","90","80","21020","21010"
"In post","2021","AA/AO","Cumbria","Declared disabled","100","90","21100","21050"
"In post","2021","AA/AO","Cumbria","Declared non-disabled","750","660","21630","21050"
"In post","2021","AA/AO","Cumbria","Undeclared","50","40","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Unknown","40","30","[c]","[c]"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Declared disabled","450","410","21820","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Declared non-disabled","2330","2100","22160","21010"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Undeclared","280","250","23870","21130"
"In post","2021","AA/AO","Derbyshire and Nottinghamshire","Unknown","730","690","21410","20140"
"In post","2021","AA/AO","Devon","Declared disabled","370","320","21830","21010"
"In post","2021","AA/AO","Devon","Declared non-disabled","2000","1780","22180","21010"
"In post","2021","AA/AO","Devon","Undeclared","200","170","23990","21050"
"In post","2021","AA/AO","Devon","Unknown","520","490","22740","21100"
"In post","2021","AA/AO","Dorset and Somerset","Declared disabled","200","180","22200","21010"
"In post","2021","AA/AO","Dorset and Somerset","Declared non-disabled","1140","1060","22340","21010"
"In post","2021","AA/AO","Dorset and Somerset","Undeclared","140","130","24500","21550"
"In post","2021","AA/AO","Dorset and Somerset","Unknown","240","230","21870","22350"
"In post","2021","AA/AO","East Anglia","Declared disabled","490","440","22780","21100"
"In post","2021","AA/AO","East Anglia","Declared non-disabled","3340","3050","23150","21430"
"In post","2021","AA/AO","East Anglia","Undeclared","510","460","25530","23240"
"In post","2021","AA/AO","East Anglia","Unknown","620","590","23210","21500"
"In post","2021","AA/AO","East Wales","Declared disabled","530","470","21100","21010"
"In post","2021","AA/AO","East Wales","Declared non-disabled","3540","3210","21620","21010"
"In post","2021","AA/AO","East Wales","Undeclared","280","250","22370","21350"
"In post","2021","AA/AO","East Wales","Unknown","1380","1260","20830","20140"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Declared disabled","190","160","22630","21010"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Declared non-disabled","1460","1320","23770","21710"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Undeclared","200","180","27020","27680"
"In post","2021","AA/AO","East Yorkshire and Northern Lincolnshire","Unknown","280","270","23360","22350"
"In post","2021","AA/AO","Eastern Scotland","Declared disabled","590","540","22010","21010"
"In post","2021","AA/AO","Eastern Scotland","Declared non-disabled","2860","2630","21680","21010"
"In post","2021","AA/AO","Eastern Scotland","Undeclared","190","170","21310","21010"
"In post","2021","AA/AO","Eastern Scotland","Unknown","2610","2450","22440","22160"
"In post","2021","AA/AO","Essex","Declared disabled","210","180","23710","22980"
"In post","2021","AA/AO","Essex","Declared non-disabled","1040","930","23750","22890"
"In post","2021","AA/AO","Essex","Undeclared","100","90","25310","23270"
"In post","2021","AA/AO","Essex","Unknown","260","250","23000","21430"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Declared disabled","440","400","21630","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Declared non-disabled","2520","2330","22130","21010"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","260","240","23430","21130"
"In post","2021","AA/AO","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","650","620","22020","21140"
"In post","2021","AA/AO","Greater Manchester","Declared disabled","670","590","21100","21010"
"In post","2021","AA/AO","Greater Manchester","Declared non-disabled","3520","3170","21170","21010"
"In post","2021","AA/AO","Greater Manchester","Undeclared","480","440","23510","21010"
"In post","2021","AA/AO","Greater Manchester","Unknown","1040","970","20780","20140"
"In post","2021","AA/AO","Hampshire and Isle of Wight","Declared disabled","520","440","21300","20920"
"In post","2021","AA/AO","Hampshire and Isle of Wight","Declared non-disabled","2670","2330","22060","20920"
"In post","2021","AA/AO","Hampshire and Isle of Wight","Undeclared","420","370","24280","21550"
"In post","2021","AA/AO","Hampshire and Isle of Wight","Unknown","1060","860","21740","20140"
