"Status","Year","Ethnicity","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Digital, Data and Technology","60","60","38740","34910"
"In post","2021","Asian","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Finance","50","50","38990","36650"
"In post","2021","Asian","Declared disabled","Human Resources","50","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Legal","70","60","50620","50130"
"In post","2021","Asian","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Operational Delivery","880","800","27910","25630"
"In post","2021","Asian","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Other","50","50","28390","26270"
"In post","2021","Asian","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Policy","170","160","41540","36300"
"In post","2021","Asian","Declared disabled","Project Delivery","80","70","40480","38600"
"In post","2021","Asian","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Tax","100","100","34580","31880"
"In post","2021","Asian","Declared disabled","Unknown","1090","980","28680","27570"
"In post","2021","Asian","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Commercial","180","170","38590","36730"
"In post","2021","Asian","Declared non-disabled","Communications","130","130","40310","37640"
"In post","2021","Asian","Declared non-disabled","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Counter Fraud","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Digital, Data and Technology","640","640","43010","39800"
"In post","2021","Asian","Declared non-disabled","Economics","140","130","44330","39300"
"In post","2021","Asian","Declared non-disabled","Finance","600","580","40190","36460"
"In post","2021","Asian","Declared non-disabled","Human Resources","300","280","37830","35050"
"In post","2021","Asian","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Intelligence Analysis","170","160","31970","29080"
"In post","2021","Asian","Declared non-disabled","Internal Audit","60","50","46240","44310"
"In post","2021","Asian","Declared non-disabled","International Trade","80","80","42500","38160"
"In post","2021","Asian","Declared non-disabled","Knowledge and Information Management","90","90","35160","32800"
"In post","2021","Asian","Declared non-disabled","Legal","680","640","47520","50500"
