"Status","Year","Function_of_post","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Declared non-disabled","300","290","32240","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","150","140","37560","35900"
"In post","2021","Analysis","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Declared non-disabled","110","110","58380","56360"
"In post","2021","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Declared disabled","60","50","37970","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Declared non-disabled","290","280","40220","37360"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Undeclared","60","60","42920","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Unknown","50","50","40130","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","190","190","44870","37820"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","70","70","38220","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Declared non-disabled","110","110","52410","50400"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Declared non-disabled","290","280","45690","45250"
"In post","2021","Analysis","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Unknown","60","60","39490","36980"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","60","60","37780","32560"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Declared non-disabled","140","140","44110","38560"
"In post","2021","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Unknown","90","90","40560","31950"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Declared non-disabled","290","280","48220","45140"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Undeclared","80","70","42380","42470"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Declared non-disabled","80","80","51670","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","200","190","52280","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Declared non-disabled","120","120","74390","68330"
"In post","2021","Analysis","Government Actuary's Department","Unknown","40","30","[c]","[c]"
