"Status","Year","Sex","Responsibility_level","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","AA/AO","Commercial","160","150","22370","21710"
"In post","2021","Female","AA/AO","Communications","140","130","22170","21590"
"In post","2021","Female","AA/AO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Female","AA/AO","Digital, Data and Technology","190","180","21760","21420"
"In post","2021","Female","AA/AO","Economics","40","40","[c]","[c]"
"In post","2021","Female","AA/AO","Finance","810","660","21400","21440"
"In post","2021","Female","AA/AO","Human Resources","890","790","21650","21130"
"In post","2021","Female","AA/AO","Intelligence Analysis","80","70","23380","22600"
"In post","2021","Female","AA/AO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Knowledge and Information Management","200","190","22130","21580"
"In post","2021","Female","AA/AO","Legal","170","150","21340","21440"
"In post","2021","Female","AA/AO","Medicine","320","300","22170","22640"
"In post","2021","Female","AA/AO","Operational Delivery","44890","38440","22040","21430"
"In post","2021","Female","AA/AO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Other","4620","4300","21330","21130"
"In post","2021","Female","AA/AO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Policy","520","490","23310","23350"
"In post","2021","Female","AA/AO","Project Delivery","230","210","21650","21130"
"In post","2021","Female","AA/AO","Property","440","400","20210","20920"
"In post","2021","Female","AA/AO","Psychology","70","60","21300","21300"
"In post","2021","Female","AA/AO","Science and Engineering","510","470","22130","21570"
"In post","2021","Female","AA/AO","Security","800","770","24970","21130"
"In post","2021","Female","AA/AO","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Female","AA/AO","Tax","2010","1850","20290","20140"
"In post","2021","Female","AA/AO","Unknown","22160","18220","21230","21010"
"In post","2021","Female","AA/AO","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Commercial","420","390","25870","26400"
"In post","2021","Female","EO","Communications","370","350","27400","26970"
"In post","2021","Female","EO","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Counter Fraud","120","110","26410","25580"
"In post","2021","Female","EO","Digital, Data and Technology","810","760","27230","26670"
"In post","2021","Female","EO","Economics","60","60","26300","26250"
"In post","2021","Female","EO","Finance","1050","970","26670","26670"
"In post","2021","Female","EO","Human Resources","990","920","26910","26670"
"In post","2021","Female","EO","Intelligence Analysis","790","720","27450","27370"
"In post","2021","Female","EO","Internal Audit","30","30","[c]","[c]"
"In post","2021","Female","EO","International Trade","50","50","[c]","[c]"
"In post","2021","Female","EO","Knowledge and Information Management","320","290","26840","26670"
"In post","2021","Female","EO","Legal","980","920","27400","26060"
"In post","2021","Female","EO","Medicine","240","210","30900","30620"
"In post","2021","Female","EO","Operational Delivery","23190","20940","27120","26570"
"In post","2021","Female","EO","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Other","2340","2200","26230","26670"
"In post","2021","Female","EO","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Female","EO","Policy","1630","1570","28320","28410"
"In post","2021","Female","EO","Project Delivery","1200","1130","26530","26670"
"In post","2021","Female","EO","Property","740","660","27040","26500"
"In post","2021","Female","EO","Psychology","360","350","26920","26330"
"In post","2021","Female","EO","Science and Engineering","610","570","26150","26560"
"In post","2021","Female","EO","Security","310","290","29390","27070"
