"Status","Year","Responsibility_level","Ethnicity","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Barnet","90","80","23930","23530"
"In post","2021","AA/AO","Asian","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Berkshire","90","80","23840","22980"
"In post","2021","AA/AO","Asian","Bexley and Greenwich","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Birmingham","960","860","20490","20140"
"In post","2021","AA/AO","Asian","Blackburn with Darwen","50","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Bradford","340","280","20400","20140"
"In post","2021","AA/AO","Asian","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Brent","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Bristol, City of","40","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Bromley","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Buckinghamshire CC","30","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Camden and City of London","160","140","23710","23500"
"In post","2021","AA/AO","Asian","Cardiff and Vale of Glamorgan","100","80","20550","20140"
"In post","2021","AA/AO","Asian","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Coventry","50","40","21180","21010"
"In post","2021","AA/AO","Asian","Croydon","430","380","24750","25630"
"In post","2021","AA/AO","Asian","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Derby","50","40","21030","21010"
"In post","2021","AA/AO","Asian","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Dudley","50","50","20430","20180"
"In post","2021","AA/AO","Asian","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Durham CC","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Ealing","30","30","[c]","[c]"
"In post","2021","AA/AO","Asian","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Surrey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Enfield","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Glasgow City","80","70","20910","21010"
"In post","2021","AA/AO","Asian","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Greater Manchester North West","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Greater Manchester South East","50","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Greater Manchester South West","150","130","20490","20140"
"In post","2021","AA/AO","Asian","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Hackney and Newham","220","180","24350","25110"
"In post","2021","AA/AO","Asian","Haringey and Islington","70","60","26040","23500"
"In post","2021","AA/AO","Asian","Harrow and Hillingdon","260","230","25020","25630"
"In post","2021","AA/AO","Asian","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Herefordshire, County of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Hertfordshire","80","80","24800","25070"
"In post","2021","AA/AO","Asian","Hounslow and Richmond upon Thames","240","220","24910","24590"
"In post","2021","AA/AO","Asian","Inverclyde, East Renfrewshire and Renfrewshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Isle of Anglesey","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Kensington & Chelsea and Hammersmith & Fulham","50","50","[c]","[c]"
"In post","2021","AA/AO","Asian","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Lambeth","40","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Leeds","210","190","21010","20880"
"In post","2021","AA/AO","Asian","Leicester","450","380","20550","20640"
"In post","2021","AA/AO","Asian","Leicestershire CC and Rutland","60","50","20620","20100"
"In post","2021","AA/AO","Asian","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Liverpool","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Luton","30","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Manchester","140","130","20510","20140"
"In post","2021","AA/AO","Asian","Medway","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Mid and East Antrim","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Mid Lancashire","450","380","20570","20140"
"In post","2021","AA/AO","Asian","Milton Keynes","40","40","[c]","[c]"
"In post","2021","AA/AO","Asian","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Nottingham","120","100","20640","20140"
"In post","2021","AA/AO","Asian","Orkney Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Oxfordshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Asian","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Peterborough","160","120","21150","21430"
"In post","2021","AA/AO","Asian","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Powys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Redbridge and Waltham Forest","140","110","24190","25110"
"In post","2021","AA/AO","Asian","Sandwell","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Sheffield","160","150","21220","21430"
"In post","2021","AA/AO","Asian","Shetland Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Solihull","70","60","21150","21430"
"In post","2021","AA/AO","Asian","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","South Hampshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Asian","South Lanarkshire","[c]","[c]","[c]","[c]"
