"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","100","100","41720","38540"
"In post","2021","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","130","130","41150","36800"
"In post","2021","Asian","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
