"Status","Year","Region_ITL3","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Declared disabled","130","130","33610","27570"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Declared non-disabled","1050","990","38600","31060"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Undeclared","60","50","42700","30360"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Unknown","630","590","32110","29350"
"In post","2021","Angus and Dundee City","Eastern Scotland","Declared disabled","260","240","24050","21010"
"In post","2021","Angus and Dundee City","Eastern Scotland","Declared non-disabled","1170","1070","26700","23120"
"In post","2021","Angus and Dundee City","Eastern Scotland","Undeclared","90","80","24390","21010"
"In post","2021","Angus and Dundee City","Eastern Scotland","Unknown","390","360","26710","22230"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Declared non-disabled","130","130","25420","20310"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Unknown","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Declared non-disabled","140","130","27100","21590"
"In post","2021","Ards and North Down","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Unknown","50","50","23610","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Declared disabled","110","90","30690","31060"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Declared non-disabled","440","400","30540","31060"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Unknown","30","30","[c]","[c]"
"In post","2021","Barnet","Outer London - West and North West","Declared disabled","120","120","35020","31060"
"In post","2021","Barnet","Outer London - West and North West","Declared non-disabled","1090","1030","36960","32330"
"In post","2021","Barnet","Outer London - West and North West","Undeclared","80","70","44840","33620"
"In post","2021","Barnet","Outer London - West and North West","Unknown","400","370","48480","44900"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Declared disabled","420","360","26890","27380"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Declared non-disabled","2140","1890","27150","27370"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Undeclared","250","240","29830","27570"
