"Status","Year","Profession_of_post","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Berkshire, Buckinghamshire and Oxfordshire","100","90","37970","35850"
"In post","2021","Commercial","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Derbyshire and Nottinghamshire","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Devon","120","110","40890","38370"
"In post","2021","Commercial","Female","Dorset and Somerset","40","40","[c]","[c]"
"In post","2021","Commercial","Female","East Anglia","120","120","36340","34850"
"In post","2021","Commercial","Female","East Wales","70","70","35610","31970"
"In post","2021","Commercial","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Gloucestershire, Wiltshire and Bath/Bristol area","740","700","37030","34500"
"In post","2021","Commercial","Female","Greater Manchester","120","110","40160","38020"
"In post","2021","Commercial","Female","Hampshire and Isle of Wight","130","120","34450","34500"
"In post","2021","Commercial","Female","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Inner London - East","30","30","[c]","[c]"
"In post","2021","Commercial","Female","Inner London - West","310","300","48260","42170"
"In post","2021","Commercial","Female","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Merseyside","130","120","34770","34800"
"In post","2021","Commercial","Female","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","North Yorkshire","40","30","[c]","[c]"
"In post","2021","Commercial","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Outer London - South","90","80","42340","42070"
"In post","2021","Commercial","Female","Outer London - West and North West","30","30","[c]","[c]"
"In post","2021","Commercial","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Shropshire and Staffordshire","60","60","37900","34800"
"In post","2021","Commercial","Female","South Yorkshire","60","60","37330","36780"
"In post","2021","Commercial","Female","Southern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","West Central Scotland","50","50","33140","33000"
"In post","2021","Commercial","Female","West Midlands","70","70","38800","36780"
"In post","2021","Commercial","Female","West Wales and The Valleys","90","80","31840","31040"
"In post","2021","Commercial","Female","West Yorkshire","110","110","40210","36820"
"In post","2021","Commercial","Male","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Berkshire, Buckinghamshire and Oxfordshire","90","90","40220","40330"
"In post","2021","Commercial","Male","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Derbyshire and Nottinghamshire","40","30","[c]","[c]"
"In post","2021","Commercial","Male","Devon","110","110","44830","46100"
"In post","2021","Commercial","Male","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","East Anglia","100","100","40660","37110"
"In post","2021","Commercial","Male","East Wales","80","80","37620","35040"
"In post","2021","Commercial","Male","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Eastern Scotland","50","50","35540","33090"
"In post","2021","Commercial","Male","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Gloucestershire, Wiltshire and Bath/Bristol area","680","670","40900","38240"
"In post","2021","Commercial","Male","Greater Manchester","100","100","39430","36960"
"In post","2021","Commercial","Male","Hampshire and Isle of Wight","90","90","38760","36420"
"In post","2021","Commercial","Male","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Inner London - East","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Inner London - West","260","260","52560","48020"
"In post","2021","Commercial","Male","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Merseyside","100","100","37560","34800"
"In post","2021","Commercial","Male","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Outer London - South","60","60","46220","45460"
"In post","2021","Commercial","Male","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","Commercial","Male","South Yorkshire","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Tees Valley and Durham","40","40","[c]","[c]"
"In post","2021","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","West Central Scotland","60","60","35930","34800"
"In post","2021","Commercial","Male","West Midlands","60","60","39110","38130"
"In post","2021","Commercial","Male","West Wales and The Valleys","80","80","35330","31380"
"In post","2021","Commercial","Male","West Yorkshire","80","80","41660","37000"
"In post","2021","Communications","Female","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Berkshire, Buckinghamshire and Oxfordshire","40","30","[c]","[c]"
"In post","2021","Communications","Female","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Derbyshire and Nottinghamshire","60","50","37320","36780"
"In post","2021","Communications","Female","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","East Wales","150","140","38400","36950"
"In post","2021","Communications","Female","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Gloucestershire, Wiltshire and Bath/Bristol area","110","100","35130","33320"
"In post","2021","Communications","Female","Greater Manchester","60","50","33740","31810"
"In post","2021","Communications","Female","Hampshire and Isle of Wight","110","100","33860","33000"
