"Status","Year","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","50560","46250","31550","27570"
"In post","2021","Declared non-disabled","320900","299070","34010","29190"
"In post","2021","Undeclared","28740","26890","33560","31060"
"In post","2021","Unknown","84680","80630","34010","29360"
"In post","2022","Declared disabled","54610","50140","32320","27570"
"In post","2022","Declared non-disabled","334690","313240","34730","30210"
"In post","2022","Undeclared","27490","25700","33910","31180"
"In post","2022","Unknown","93280","89000","34970","30680"
"Leaver CS","2021","Declared disabled","2970","2530","29800","26890"
"Leaver CS","2021","Declared non-disabled","15510","13530","33030","27570"
"Leaver CS","2021","Undeclared","1730","1510","33060","29240"
"Leaver CS","2021","Unknown","7620","6880","32880","27570"
"Leaver CS","2022","Declared disabled","4470","3860","30360","27570"
"Leaver CS","2022","Declared non-disabled","26230","23410","33370","27570"
"Leaver CS","2022","Undeclared","2230","1970","32510","27570"
"Leaver CS","2022","Unknown","11280","9970","34090","27990"
"Leaver Dept.","2021","Declared disabled","990","950","35960","32010"
"Leaver Dept.","2021","Declared non-disabled","6950","6590","37800","32620"
"Leaver Dept.","2021","Undeclared","610","580","37540","33570"
"Leaver Dept.","2021","Unknown","3430","3120","37910","32940"
"Leaver Dept.","2022","Declared disabled","1860","1740","35690","31060"
"Leaver Dept.","2022","Declared non-disabled","14420","13580","38010","32330"
"Leaver Dept.","2022","Undeclared","860","830","36180","32540"
"Leaver Dept.","2022","Unknown","6530","5040","41640","34580"
"New entrant CS","2021","Declared disabled","4020","3900","28000","27570"
"New entrant CS","2021","Declared non-disabled","30430","29650","29110","27570"
"New entrant CS","2021","Undeclared","1900","1830","31520","27570"
"New entrant CS","2021","Unknown","20840","20330","30100","26410"
"New entrant CS","2022","Declared disabled","5230","5030","29070","27230"
"New entrant CS","2022","Declared non-disabled","36910","35880","29650","26950"
"New entrant CS","2022","Undeclared","1870","1810","30020","27570"
"New entrant CS","2022","Unknown","25390","24100","29770","26590"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at March 31st).","","","","",""
"Disability","Self reported disability.","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
