"Status","Year","Parent_department","Sex","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","East Midlands (England)","300","270","37150","30130"
"In post","2021","Attorney General's Departments","Female","East of England","330","280","37950","30110"
"In post","2021","Attorney General's Departments","Female","London","2930","2700","49500","51250"
"In post","2021","Attorney General's Departments","Female","North East (England)","230","200","36330","28430"
"In post","2021","Attorney General's Departments","Female","North West (England)","650","590","37850","30610"
"In post","2021","Attorney General's Departments","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","South East (England)","470","430","40860","33930"
"In post","2021","Attorney General's Departments","Female","South West (England)","200","180","39820","38000"
"In post","2021","Attorney General's Departments","Female","Wales","240","220","38680","34480"
"In post","2021","Attorney General's Departments","Female","West Midlands (England)","380","340","38270","32370"
"In post","2021","Attorney General's Departments","Female","Yorkshire and The Humber","640","560","40200","38000"
"In post","2021","Attorney General's Departments","Male","East Midlands (England)","140","140","40540","45140"
"In post","2021","Attorney General's Departments","Male","East of England","150","150","46020","50520"
"In post","2021","Attorney General's Departments","Male","London","1750","1710","50830","51250"
"In post","2021","Attorney General's Departments","Male","North East (England)","110","110","41530","48080"
"In post","2021","Attorney General's Departments","Male","North West (England)","320","310","43070","48080"
"In post","2021","Attorney General's Departments","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","South East (England)","220","210","45120","50520"
"In post","2021","Attorney General's Departments","Male","South West (England)","130","120","44800","49650"
"In post","2021","Attorney General's Departments","Male","Wales","120","110","46540","48830"
"In post","2021","Attorney General's Departments","Male","West Midlands (England)","180","170","43690","48080"
"In post","2021","Attorney General's Departments","Male","Yorkshire and The Humber","350","340","45670","49650"
"In post","2021","Cabinet Office","Female","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","East of England","60","50","46960","38460"
"In post","2021","Cabinet Office","Female","London","3450","3380","47090","40600"
"In post","2021","Cabinet Office","Female","North East (England)","250","230","28400","24570"
"In post","2021","Cabinet Office","Female","North West (England)","250","240","45240","38890"
"In post","2021","Cabinet Office","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Female","Scotland","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Female","South East (England)","110","100","39030","33300"
"In post","2021","Cabinet Office","Female","South West (England)","80","70","54100","49620"
"In post","2021","Cabinet Office","Female","Unknown","330","320","36050","32000"
"In post","2021","Cabinet Office","Female","Wales","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Female","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Female","Yorkshire and The Humber","400","370","36140","32960"
"In post","2021","Cabinet Office","Male","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","East of England","60","60","46550","44060"
"In post","2021","Cabinet Office","Male","London","3050","3030","52820","54700"
"In post","2021","Cabinet Office","Male","North East (England)","160","160","31040","23850"
"In post","2021","Cabinet Office","Male","North West (England)","210","200","48710","49700"
"In post","2021","Cabinet Office","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Scotland","40","40","[c]","[c]"
"In post","2021","Cabinet Office","Male","South East (England)","110","110","46100","34640"
"In post","2021","Cabinet Office","Male","South West (England)","110","110","53580","51700"
"In post","2021","Cabinet Office","Male","Unknown","280","280","36480","32000"
"In post","2021","Cabinet Office","Male","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Male","Yorkshire and The Humber","340","330","36570","33300"
"In post","2021","Chancellor's other departments","Female","London","160","150","53920","47940"
"In post","2021","Chancellor's other departments","Female","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Female","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","London","200","200","63760","52280"
"In post","2021","Chancellor's other departments","Male","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Male","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","London","50","50","[c]","[c]"
"In post","2021","Charity Commission","Female","North West (England)","180","160","32560","29160"
"In post","2021","Charity Commission","Female","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Female","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","London","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","North West (England)","130","130","33070","29160"
"In post","2021","Charity Commission","Male","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Male","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","London","400","380","58800","56000"
"In post","2021","Competition and Markets Authority","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Scotland","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Female","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","London","390","380","62910","59170"
"In post","2021","Competition and Markets Authority","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Male","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","East Midlands (England)","120","110","30400","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","East of England","130","120","31680","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","London","2740","2640","47180","43130"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","North East (England)","130","120","30320","29190"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","North West (England)","260","240","31880","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Scotland","200","190","33350","29850"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","South East (England)","140","130","33110","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","South West (England)","840","780","37500","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Wales","1410","1270","31580","26920"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","West Midlands (England)","370","350","32450","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Yorkshire and The Humber","110","110","31390","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","East Midlands (England)","90","90","34390","34390"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","East of England","90","80","36100","35150"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","London","2880","2850","49900","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","North East (England)","80","80","34280","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","North West (England)","200","200","33880","33720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Scotland","200","190","37050","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","South East (England)","100","100","37380","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","South West (England)","1230","1200","41310","39960"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Unknown","[c]","[c]","[c]","[c]"
