"Status","Year","Parent_department","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Legal","130","120","43640","40000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Legal","470","440","39930","38000"
"In post","2021","Attorney General's Departments","Birmingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Legal","110","100","42630","35630"
"In post","2021","Attorney General's Departments","Bristol, City of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bristol, City of","Legal","150","140","41970","38760"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Legal","210","190","41090","38760"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","Legal","90","80","39370","31710"
"In post","2021","Attorney General's Departments","Croydon","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Legal","100","90","40460","38760"
"In post","2021","Attorney General's Departments","East Cumbria","Legal","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","Legal","120","120","39420","30110"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Legal","70","60","42030","38000"
"In post","2021","Attorney General's Departments","Haringey and Islington","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Legal","180","170","41280","35020"
"In post","2021","Attorney General's Departments","Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","Legal","170","150","42580","40000"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Legal","70","60","38660","28430"
"In post","2021","Attorney General's Departments","Leeds","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","Legal","380","350","41910","38760"
"In post","2021","Attorney General's Departments","Leeds","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","Legal","140","130","38930","38090"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Human Resources","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Legal","320","300","37390","30130"
"In post","2021","Attorney General's Departments","Liverpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Manchester","Digital, Data & Technology","[c]","[c]","[c]","[c]"
