"Status","Year","Responsibility_level","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Commercial","270","250","22510","21590"
"In post","2021","AA/AO","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Communications","210","200","22070","21580"
"In post","2021","AA/AO","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Digital, Data & Technology","400","380","21820","21440"
"In post","2021","AA/AO","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Unknown","30","30","[c]","[c]"
"In post","2021","AA/AO","Economics","Analysis","50","50","[c]","[c]"
"In post","2021","AA/AO","Economics","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Finance","1060","890","21310","21170"
"In post","2021","AA/AO","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Finance","Unknown","70","60","23210","23830"
"In post","2021","AA/AO","Human Resources","Human Resources","1120","1020","21530","21130"
"In post","2021","AA/AO","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Human Resources","Unknown","80","80","23520","23830"
"In post","2021","AA/AO","Intelligence Analysis","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Intelligence Analysis","Unknown","100","90","23380","21860"
"In post","2021","AA/AO","Internal Audit","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Commercial","180","170","21700","21130"
"In post","2021","AA/AO","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","No function","100","90","22100","22000"
"In post","2021","AA/AO","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Knowledge and Information Management","Unknown","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","Counter Fraud","260","230","21160","20360"
"In post","2021","AA/AO","Legal","Legal","40","40","[c]","[c]"
"In post","2021","AA/AO","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Medicine","Unknown","340","320","22110","22640"
"In post","2021","AA/AO","Operational Delivery","Analysis","30","30","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Commercial","70","60","21460","20200"
"In post","2021","AA/AO","Operational Delivery","Communications","230","190","20790","20660"
"In post","2021","AA/AO","Operational Delivery","Counter Fraud","530","460","21510","21440"
"In post","2021","AA/AO","Operational Delivery","Debt","2410","2100","21220","20140"
"In post","2021","AA/AO","Operational Delivery","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Delivery","Finance","360","310","20570","20140"
"In post","2021","AA/AO","Operational Delivery","Grants Management","950","860","21010","21050"
"In post","2021","AA/AO","Operational Delivery","Human Resources","280","240","20980","21400"
"In post","2021","AA/AO","Operational Delivery","Legal","2480","2230","22030","21950"
"In post","2021","AA/AO","Operational Delivery","No function","64200","57880","23290","21590"
"In post","2021","AA/AO","Operational Delivery","Project Delivery","160","140","21430","21400"
"In post","2021","AA/AO","Operational Delivery","Property","780","710","21000","21100"
"In post","2021","AA/AO","Operational Delivery","Unknown","8440","7460","22020","21430"
"In post","2021","AA/AO","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Legal","40","40","[c]","[c]"
"In post","2021","AA/AO","Other","No function","480","430","23680","21160"
"In post","2021","AA/AO","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Other","Property","170","170","25520","27450"
"In post","2021","AA/AO","Other","Unknown","7110","6790","20960","20920"
"In post","2021","AA/AO","Planning","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","No function","500","470","23910","23500"
"In post","2021","AA/AO","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Policy","Unknown","270","260","22650","23830"
"In post","2021","AA/AO","Project Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Project Delivery","Project Delivery","290","270","21690","21130"
"In post","2021","AA/AO","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Property","Property","1000","940","19590","18800"
"In post","2021","AA/AO","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Psychology","No function","70","60","21260","20890"
"In post","2021","AA/AO","Science and Engineering","Analysis","40","40","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Science and Engineering","No function","710","670","22000","21580"
"In post","2021","AA/AO","Science and Engineering","Project Delivery","60","60","19270","19810"
"In post","2021","AA/AO","Science and Engineering","Unknown","590","580","21710","22080"
"In post","2021","AA/AO","Security","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Security","Security","5260","5160","26980","22650"
"In post","2021","AA/AO","Security","Unknown","150","150","22320","22210"
"In post","2021","AA/AO","Social Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","No function","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Statistics","Analysis","30","30","[c]","[c]"
"In post","2021","AA/AO","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Communications","50","40","[c]","[c]"
"In post","2021","AA/AO","Tax","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Debt","940","910","20280","20140"
"In post","2021","AA/AO","Tax","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Tax","No function","2770","2590","20240","20140"
"In post","2021","AA/AO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Debt","70","60","20480","20140"
"In post","2021","AA/AO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Finance","40","30","[c]","[c]"
"In post","2021","AA/AO","Unknown","Human Resources","210","190","20850","20800"
"In post","2021","AA/AO","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","No function","1580","1490","20600","20140"
"In post","2021","AA/AO","Unknown","Project Delivery","90","80","23090","22920"
"In post","2021","AA/AO","Unknown","Property","400","390","25540","26530"
"In post","2021","AA/AO","Unknown","Security","240","220","20930","20920"
"In post","2021","AA/AO","Unknown","Unknown","31670","27330","21290","21010"
"In post","2021","AA/AO","Veterinarian","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Commercial","540","520","26660","26670"
"In post","2021","EO","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Project Delivery","120","120","22680","22900"
"In post","2021","EO","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Communications","560","540","27400","26970"
"In post","2021","EO","Communications","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Communications","Unknown","40","40","[c]","[c]"
"In post","2021","EO","Corporate Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Corporate Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Counter Fraud","80","80","27390","26780"
"In post","2021","EO","Counter Fraud","No function","[c]","[c]","[c]","[c]"
"In post","2021","EO","Counter Fraud","Unknown","100","90","25990","25310"
"In post","2021","EO","Digital, Data and Technology","Analysis","40","40","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Digital, Data & Technology","1950","1880","27620","26710"
"In post","2021","EO","Digital, Data and Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Digital, Data and Technology","No function","50","40","[c]","[c]"
