"Status","Year","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","130","130","42920","41580"
"In post","2021","Commercial","East of England","250","240","39040","35830"
"In post","2021","Commercial","London","880","860","47680","43320"
"In post","2021","Commercial","North East (England)","120","110","43100","40780"
"In post","2021","Commercial","North West (England)","520","500","38480","35900"
"In post","2021","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","40","40","[c]","[c]"
"In post","2021","Commercial","Scotland","280","270","35670","33930"
"In post","2021","Commercial","South East (England)","460","450","38450","36800"
"In post","2021","Commercial","South West (England)","1720","1650","39520","37400"
"In post","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wales","330","310","34990","31850"
"In post","2021","Commercial","West Midlands (England)","250","240","39300","37040"
"In post","2021","Commercial","Yorkshire and The Humber","370","360","40230","36960"
"In post","2021","Communications","East Midlands (England)","110","100","36320","34290"
"In post","2021","Communications","East of England","90","90","34210","32640"
"In post","2021","Communications","London","2090","2050","46250","42500"
"In post","2021","Communications","North East (England)","120","110","33600","31810"
"In post","2021","Communications","North West (England)","200","190","36370","33710"
"In post","2021","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","70","70","37820","35430"
"In post","2021","Communications","South East (England)","290","280","33370","31780"
"In post","2021","Communications","South West (England)","320","300","35540","33490"
"In post","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","360","340","36840","34120"
"In post","2021","Communications","West Midlands (England)","150","140","38970","36700"
"In post","2021","Communications","Yorkshire and The Humber","130","130","41730","38400"
"In post","2021","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","80","80","55660","54110"
"In post","2021","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
