"Status","Year","Sex","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Department for Transport","40","30","[c]","[c]"
"In post","2021","Female","16-19","Department for Work and Pensions","120","120","22680","21010"
"In post","2021","Female","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","HM Revenue and Customs","130","120","20530","20140"
"In post","2021","Female","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Home Office","40","40","[c]","[c]"
"In post","2021","Female","16-19","Ministry of Defence","50","50","19070","19040"
"In post","2021","Female","16-19","Ministry of Justice","100","100","21610","20880"
"In post","2021","Female","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Scottish Government","60","60","21400","21150"
"In post","2021","Female","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Female","20-29","Attorney General's Departments","890","880","29870","26970"
"In post","2021","Female","20-29","Cabinet Office","1930","1920","33620","29250"
"In post","2021","Female","20-29","Chancellor's other departments","30","30","[c]","[c]"
"In post","2021","Female","20-29","Charity Commission","30","30","[c]","[c]"
"In post","2021","Female","20-29","Competition and Markets Authority","80","80","39840","34570"
"In post","2021","Female","20-29","Department for Business, Energy and Industrial Strategy","1510","1500","35390","33570"
"In post","2021","Female","20-29","Department for Digital, Culture, Media and Sport","380","380","39990","34020"
"In post","2021","Female","20-29","Department for Education","980","970","35730","32940"
