"Status","Year","Sexual_orientation","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","16-19","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","20-29","1910","1870","25610","25380"
"In post","2021","Heterosexual / straight","East Midlands (England)","30-39","2870","2680","29140","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","40-49","3310","3060","31580","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","50-59","4550","4260","31590","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","60-64","1190","990","28570","26780"
"In post","2021","Heterosexual / straight","East Midlands (England)","65+","290","230","28780","25670"
"In post","2021","Heterosexual / straight","East of England","16-19","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","20-29","1960","1920","26740","26670"
"In post","2021","Heterosexual / straight","East of England","30-39","2890","2710","30240","29060"
"In post","2021","Heterosexual / straight","East of England","40-49","3690","3440","32080","29290"
"In post","2021","Heterosexual / straight","East of England","50-59","5180","4900","32370","29290"
"In post","2021","Heterosexual / straight","East of England","60-64","1430","1230","29710","27570"
"In post","2021","Heterosexual / straight","East of England","65+","440","340","28390","26780"
"In post","2021","Heterosexual / straight","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","London","16-19","100","100","25560","25170"
"In post","2021","Heterosexual / straight","London","20-29","13730","13650","35930","33510"
"In post","2021","Heterosexual / straight","London","30-39","16380","15830","45390","41950"
"In post","2021","Heterosexual / straight","London","40-49","15050","14310","48250","42470"
"In post","2021","Heterosexual / straight","London","50-59","15950","15400","44850","37910"
"In post","2021","Heterosexual / straight","London","60-64","3750","3350","41250","34630"
"In post","2021","Heterosexual / straight","London","65+","1340","1110","37120","30630"
"In post","2021","Heterosexual / straight","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","North East (England)","16-19","50","50","21100","21010"
"In post","2021","Heterosexual / straight","North East (England)","20-29","2320","2270","25180","24120"
"In post","2021","Heterosexual / straight","North East (England)","30-39","4080","3800","28490","25790"
"In post","2021","Heterosexual / straight","North East (England)","40-49","4980","4590","30370","27570"
"In post","2021","Heterosexual / straight","North East (England)","50-59","5960","5360","30070","27570"
