"Status","Year","Region_ITL1","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Analysis","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Heterosexual / straight","120","110","40420","37970"
"In post","2021","East Midlands (England)","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Heterosexual / straight","260","250","30990","26700"
"In post","2021","East Midlands (England)","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Unknown","200","190","27970","25560"
"In post","2021","East Midlands (England)","Counter Fraud","Heterosexual / straight","330","310","34600","31810"
"In post","2021","East Midlands (England)","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Undeclared","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Unknown","140","130","30530","28130"
"In post","2021","East Midlands (England)","Debt","Heterosexual / straight","100","90","22570","20140"
"In post","2021","East Midlands (England)","Debt","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Debt","Unknown","130","120","20840","20140"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Heterosexual / straight","190","190","37510","33350"
"In post","2021","East Midlands (England)","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Undeclared","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data & Technology","Unknown","70","70","37110","32750"
"In post","2021","East Midlands (England)","Finance","Heterosexual / straight","180","170","35710","31810"
"In post","2021","East Midlands (England)","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
