"Status","Year","Parent_department","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","White","60","60","43110","39750"
"In post","2021","Attorney General's Departments","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","70","70","45980","40270"
"In post","2021","Attorney General's Departments","Counter Fraud","White","160","160","46170","40330"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","White","130","120","42090","38540"
"In post","2021","Attorney General's Departments","Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
