"Status","Year","Sexual_orientation","Age","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","30-39","Office for Standards in Education","310","300","42290","39460"
"In post","2021","Heterosexual / straight","30-39","Office of Gas and Electricity Markets","160","160","45070","40000"
"In post","2021","Heterosexual / straight","30-39","Office of Qualifications and Examinations Regulation","60","60","41720","38000"
"In post","2021","Heterosexual / straight","30-39","Office of Rail and Road","60","50","50060","51060"
"In post","2021","Heterosexual / straight","30-39","Other Cabinet Office Agencies","200","190","36880","34800"
"In post","2021","Heterosexual / straight","30-39","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Scottish Government","2910","2780","37670","33650"
"In post","2021","Heterosexual / straight","30-39","The National Archives","50","50","34280","32230"
"In post","2021","Heterosexual / straight","30-39","UK Export Finance","70","70","50840","49520"
"In post","2021","Heterosexual / straight","30-39","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","United Kingdom Statistics Authority","820","770","35630","36030"
"In post","2021","Heterosexual / straight","30-39","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Welsh Government","1050","990","37170","37410"
"In post","2021","Heterosexual / straight","40-49","Attorney General's Departments","1850","1710","47350","50520"
"In post","2021","Heterosexual / straight","40-49","Cabinet Office","1030","1000","55760","54700"
"In post","2021","Heterosexual / straight","40-49","Chancellor's other departments","80","70","68520","65280"
"In post","2021","Heterosexual / straight","40-49","Charity Commission","70","60","35540","29160"
"In post","2021","Heterosexual / straight","40-49","Competition and Markets Authority","180","170","70570","72430"
"In post","2021","Heterosexual / straight","40-49","Department for Business, Energy and Industrial Strategy","1660","1570","46460","43000"
"In post","2021","Heterosexual / straight","40-49","Department for Digital, Culture, Media and Sport","210","200","58240","57000"
"In post","2021","Heterosexual / straight","40-49","Department for Education","1480","1400","47530","49860"
"In post","2021","Heterosexual / straight","40-49","Department for Environment, Food and Rural Affairs","1940","1810","39320","36520"
"In post","2021","Heterosexual / straight","40-49","Department for International Trade","290","280","53230","51970"
"In post","2021","Heterosexual / straight","40-49","Department for Transport","2470","2350","36570","31040"
"In post","2021","Heterosexual / straight","40-49","Department for Work and Pensions","14350","13060","29040","27570"
"In post","2021","Heterosexual / straight","40-49","Department of Health and Social Care","1640","1510","48460","45760"
"In post","2021","Heterosexual / straight","40-49","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Food Standards Agency","230","230","40870","37910"
"In post","2021","Heterosexual / straight","40-49","Foreign, Commonwealth and Development Office","1610","1560","52400","54370"
"In post","2021","Heterosexual / straight","40-49","HM Land Registry","740","690","34880","33840"
"In post","2021","Heterosexual / straight","40-49","HM Revenue and Customs","8440","7900","34170","31810"
"In post","2021","Heterosexual / straight","40-49","HM Treasury","290","280","56630","54270"
"In post","2021","Heterosexual / straight","40-49","Home Office","7330","6860","33780","28850"
"In post","2021","Heterosexual / straight","40-49","Ministry of Defence","8900","8600","36530","33300"
"In post","2021","Heterosexual / straight","40-49","Ministry of Housing, Communities and Local Government","640","600","49260","47930"
"In post","2021","Heterosexual / straight","40-49","Ministry of Justice","12440","11670","32050","29750"
"In post","2021","Heterosexual / straight","40-49","National Crime Agency","1020","990","42640","40210"
"In post","2021","Heterosexual / straight","40-49","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Office for Standards in Education","410","400","52940","51360"
"In post","2021","Heterosexual / straight","40-49","Office of Gas and Electricity Markets","80","80","55720","53490"
"In post","2021","Heterosexual / straight","40-49","Office of Qualifications and Examinations Regulation","50","50","47580","45660"
"In post","2021","Heterosexual / straight","40-49","Office of Rail and Road","50","50","51730","51310"
"In post","2021","Heterosexual / straight","40-49","Other Cabinet Office Agencies","190","190","44960","40000"
"In post","2021","Heterosexual / straight","40-49","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Scottish Government","3060","2920","43600","39500"
"In post","2021","Heterosexual / straight","40-49","The National Archives","70","60","41980","37770"
"In post","2021","Heterosexual / straight","40-49","UK Export Finance","90","90","56660","52880"
"In post","2021","Heterosexual / straight","40-49","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","United Kingdom Statistics Authority","690","630","38510","36030"
"In post","2021","Heterosexual / straight","40-49","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Water Services Regulation Authority","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Welsh Government","1380","1310","43800","37410"
"In post","2021","Heterosexual / straight","50-59","Attorney General's Departments","1860","1750","48160","50500"
"In post","2021","Heterosexual / straight","50-59","Cabinet Office","820","800","52580","42600"
"In post","2021","Heterosexual / straight","50-59","Chancellor's other departments","60","50","70370","56480"
"In post","2021","Heterosexual / straight","50-59","Charity Commission","60","50","35960","29620"
"In post","2021","Heterosexual / straight","50-59","Competition and Markets Authority","110","110","65560","56630"
"In post","2021","Heterosexual / straight","50-59","Department for Business, Energy and Industrial Strategy","1590","1530","43400","39540"
"In post","2021","Heterosexual / straight","50-59","Department for Digital, Culture, Media and Sport","130","130","54270","52250"
"In post","2021","Heterosexual / straight","50-59","Department for Education","1240","1200","46730","42410"
"In post","2021","Heterosexual / straight","50-59","Department for Environment, Food and Rural Affairs","1810","1740","38900","35530"
"In post","2021","Heterosexual / straight","50-59","Department for International Trade","270","270","50850","48220"
"In post","2021","Heterosexual / straight","50-59","Department for Transport","2600","2470","35390","29750"
"In post","2021","Heterosexual / straight","50-59","Department for Work and Pensions","21100","19220","29100","27570"
"In post","2021","Heterosexual / straight","50-59","Department of Health and Social Care","1480","1390","51400","45750"
"In post","2021","Heterosexual / straight","50-59","ESTYN","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Food Standards Agency","250","250","38840","33330"
"In post","2021","Heterosexual / straight","50-59","Foreign, Commonwealth and Development Office","1490","1460","51500","47580"
"In post","2021","Heterosexual / straight","50-59","HM Land Registry","1440","1300","33370","33840"
"In post","2021","Heterosexual / straight","50-59","HM Revenue and Customs","11590","10740","34710","31810"
"In post","2021","Heterosexual / straight","50-59","HM Treasury","270","260","51600","49220"
"In post","2021","Heterosexual / straight","50-59","Home Office","7390","6840","32790","28650"
"In post","2021","Heterosexual / straight","50-59","Ministry of Defence","14520","14210","34440","32670"
"In post","2021","Heterosexual / straight","50-59","Ministry of Housing, Communities and Local Government","560","540","48740","47660"
"In post","2021","Heterosexual / straight","50-59","Ministry of Justice","15050","14230","31470","28200"
"In post","2021","Heterosexual / straight","50-59","National Crime Agency","1130","1110","44360","41350"
"In post","2021","Heterosexual / straight","50-59","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Office for Standards in Education","460","450","57710","51360"
"In post","2021","Heterosexual / straight","50-59","Office of Gas and Electricity Markets","60","60","54060","52500"
"In post","2021","Heterosexual / straight","50-59","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Office of Rail and Road","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Other Cabinet Office Agencies","200","200","46100","40780"
"In post","2021","Heterosexual / straight","50-59","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Scottish Government","3130","3000","42300","36670"
"In post","2021","Heterosexual / straight","50-59","The National Archives","60","50","39480","39780"
"In post","2021","Heterosexual / straight","50-59","UK Export Finance","80","80","61290","52050"
"In post","2021","Heterosexual / straight","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","United Kingdom Statistics Authority","840","720","31930","27160"
"In post","2021","Heterosexual / straight","50-59","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Welsh Government","1340","1280","44340","37410"
"In post","2021","Heterosexual / straight","60-64","Attorney General's Departments","350","300","47000","49580"
"In post","2021","Heterosexual / straight","60-64","Cabinet Office","160","140","49020","35590"
"In post","2021","Heterosexual / straight","60-64","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Department for Business, Energy and Industrial Strategy","340","300","38740","34500"
"In post","2021","Heterosexual / straight","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Department for Education","180","170","45550","42560"
"In post","2021","Heterosexual / straight","60-64","Department for Environment, Food and Rural Affairs","400","360","35320","29750"
"In post","2021","Heterosexual / straight","60-64","Department for International Trade","50","50","50500","43840"
"In post","2021","Heterosexual / straight","60-64","Department for Transport","850","710","31640","26780"
"In post","2021","Heterosexual / straight","60-64","Department for Work and Pensions","5930","4630","27450","27570"
"In post","2021","Heterosexual / straight","60-64","Department of Health and Social Care","340","290","53180","43960"
"In post","2021","Heterosexual / straight","60-64","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Food Standards Agency","50","50","35920","29010"
"In post","2021","Heterosexual / straight","60-64","Foreign, Commonwealth and Development Office","290","270","50700","47000"
"In post","2021","Heterosexual / straight","60-64","HM Land Registry","270","190","33090","30600"
"In post","2021","Heterosexual / straight","60-64","HM Revenue and Customs","3130","2390","31480","28130"
"In post","2021","Heterosexual / straight","60-64","HM Treasury","50","40","47470","44530"
"In post","2021","Heterosexual / straight","60-64","Home Office","1760","1420","30130","26120"
"In post","2021","Heterosexual / straight","60-64","Ministry of Defence","4410","4090","32120","28260"
"In post","2021","Heterosexual / straight","60-64","Ministry of Housing, Communities and Local Government","120","110","50220","47660"
"In post","2021","Heterosexual / straight","60-64","Ministry of Justice","4180","3510","28410","24550"
"In post","2021","Heterosexual / straight","60-64","National Crime Agency","220","200","41900","40060"
"In post","2021","Heterosexual / straight","60-64","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Office for Standards in Education","100","90","55510","51360"
"In post","2021","Heterosexual / straight","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Scottish Government","630","530","38430","33650"
"In post","2021","Heterosexual / straight","60-64","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","United Kingdom Statistics Authority","300","220","25850","19520"
"In post","2021","Heterosexual / straight","60-64","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Welsh Government","330","290","43860","37410"
"In post","2021","Heterosexual / straight","65+","Attorney General's Departments","80","70","42490","31520"
"In post","2021","Heterosexual / straight","65+","Cabinet Office","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Department for Business, Energy and Industrial Strategy","110","90","38080","34500"
"In post","2021","Heterosexual / straight","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Department for Education","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Department for Environment, Food and Rural Affairs","120","110","34170","29480"
"In post","2021","Heterosexual / straight","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Department for Transport","250","190","30810","26780"
"In post","2021","Heterosexual / straight","65+","Department for Work and Pensions","1590","1140","26660","27570"
"In post","2021","Heterosexual / straight","65+","Department of Health and Social Care","130","100","46100","36340"
"In post","2021","Heterosexual / straight","65+","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Foreign, Commonwealth and Development Office","100","80","47120","46630"
"In post","2021","Heterosexual / straight","65+","HM Land Registry","70","40","34320","31740"
"In post","2021","Heterosexual / straight","65+","HM Revenue and Customs","780","560","31150","28130"
"In post","2021","Heterosexual / straight","65+","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Home Office","600","450","27830","25630"
"In post","2021","Heterosexual / straight","65+","Ministry of Defence","1500","1330","30950","26670"
"In post","2021","Heterosexual / straight","65+","Ministry of Housing, Communities and Local Government","50","40","54450","58810"
"In post","2021","Heterosexual / straight","65+","Ministry of Justice","1280","980","26300","22450"
"In post","2021","Heterosexual / straight","65+","National Crime Agency","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Scottish Government","140","110","35120","29190"
"In post","2021","Heterosexual / straight","65+","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","United Kingdom Statistics Authority","190","120","23430","19520"
"In post","2021","Heterosexual / straight","65+","Welsh Government","130","100","39290","33620"
"In post","2021","Heterosexual / straight","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Attorney General's Departments","110","110","31240","27350"
"In post","2021","LGBO","20-29","Cabinet Office","190","190","37820","34550"
"In post","2021","LGBO","20-29","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Department for Business, Energy and Industrial Strategy","290","280","38490","36060"
"In post","2021","LGBO","20-29","Department for Digital, Culture, Media and Sport","90","90","41580","34090"
"In post","2021","LGBO","20-29","Department for Education","130","130","35220","32940"
"In post","2021","LGBO","20-29","Department for Environment, Food and Rural Affairs","170","170","31370","29390"
"In post","2021","LGBO","20-29","Department for International Trade","90","90","38840","38160"
"In post","2021","LGBO","20-29","Department for Transport","150","150","31750","30270"
"In post","2021","LGBO","20-29","Department for Work and Pensions","990","970","26160","27570"
"In post","2021","LGBO","20-29","Department of Health and Social Care","190","180","32220","28970"
"In post","2021","LGBO","20-29","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Foreign, Commonwealth and Development Office","100","100","35680","34220"
"In post","2021","LGBO","20-29","HM Land Registry","50","50","[c]","[c]"
"In post","2021","LGBO","20-29","HM Revenue and Customs","540","540","27490","25560"
"In post","2021","LGBO","20-29","HM Treasury","90","80","40350","33820"
"In post","2021","LGBO","20-29","Home Office","270","260","29510","24890"
"In post","2021","LGBO","20-29","Ministry of Defence","410","410","28640","27540"
"In post","2021","LGBO","20-29","Ministry of Housing, Communities and Local Government","90","90","37770","33210"
"In post","2021","LGBO","20-29","Ministry of Justice","960","960","26180","24920"
"In post","2021","LGBO","20-29","National Crime Agency","60","60","32350","32260"
