"Status","Year","Sexual_orientation","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","16-19","Asian","60","60","22730","21010"
"In post","2021","Heterosexual / straight","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","White","620","600","21490","21010"
"In post","2021","Heterosexual / straight","20-29","Asian","5160","5050","29140","27570"
"In post","2021","Heterosexual / straight","20-29","Black","1950","1920","29930","29290"
"In post","2021","Heterosexual / straight","20-29","Chinese","190","190","33560","30610"
"In post","2021","Heterosexual / straight","20-29","Mixed","1700","1670","30620","28650"
"In post","2021","Heterosexual / straight","20-29","Other ethnicity","360","350","31720","30650"
"In post","2021","Heterosexual / straight","20-29","Undeclared","280","270","29470","27570"
"In post","2021","Heterosexual / straight","20-29","Unknown","510","500","29530","27570"
"In post","2021","Heterosexual / straight","20-29","White","36960","36440","29050","27500"
"In post","2021","Heterosexual / straight","30-39","Asian","6910","6540","33140","29380"
"In post","2021","Heterosexual / straight","30-39","Black","2760","2670","32670","31060"
"In post","2021","Heterosexual / straight","30-39","Chinese","270","260","38790","35110"
"In post","2021","Heterosexual / straight","30-39","Mixed","1860","1770","36460","31810"
"In post","2021","Heterosexual / straight","30-39","Other ethnicity","500","480","37050","33260"
"In post","2021","Heterosexual / straight","30-39","Undeclared","610","590","34190","30930"
"In post","2021","Heterosexual / straight","30-39","Unknown","770","730","32990","30190"
"In post","2021","Heterosexual / straight","30-39","White","55330","52330","34600","30850"
"In post","2021","Heterosexual / straight","40-49","Asian","6130","5680","35260","30820"
"In post","2021","Heterosexual / straight","40-49","Black","3070","2950","34000","31060"
"In post","2021","Heterosexual / straight","40-49","Chinese","260","240","36610","31810"
"In post","2021","Heterosexual / straight","40-49","Mixed","1360","1280","38690","33530"
"In post","2021","Heterosexual / straight","40-49","Other ethnicity","440","420","37390","31300"
"In post","2021","Heterosexual / straight","40-49","Undeclared","690","650","34020","29980"
"In post","2021","Heterosexual / straight","40-49","Unknown","720","660","36530","31610"
"In post","2021","Heterosexual / straight","40-49","White","62390","58550","36860","31810"
"In post","2021","Heterosexual / straight","50-59","Asian","4090","3850","34250","30170"
"In post","2021","Heterosexual / straight","50-59","Black","4090","3960","33930","30920"
"In post","2021","Heterosexual / straight","50-59","Chinese","160","150","36120","30160"
"In post","2021","Heterosexual / straight","50-59","Mixed","1130","1080","36750","31860"
"In post","2021","Heterosexual / straight","50-59","Other ethnicity","390","370","37650","31760"
"In post","2021","Heterosexual / straight","50-59","Undeclared","980","930","33630","29720"
"In post","2021","Heterosexual / straight","50-59","Unknown","860","800","35040","29570"
"In post","2021","Heterosexual / straight","50-59","White","81450","76530","35130","30170"
"In post","2021","Heterosexual / straight","60-64","Asian","950","820","32100","28810"
"In post","2021","Heterosexual / straight","60-64","Black","850","780","31420","29300"
"In post","2021","Heterosexual / straight","60-64","Chinese","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Mixed","250","220","33630","28200"
"In post","2021","Heterosexual / straight","60-64","Other ethnicity","100","90","36040","30250"
"In post","2021","Heterosexual / straight","60-64","Undeclared","230","190","29730","27570"
"In post","2021","Heterosexual / straight","60-64","Unknown","300","250","30480","26290"
"In post","2021","Heterosexual / straight","60-64","White","21880","18100","31930","27570"
"In post","2021","Heterosexual / straight","65+","Asian","420","320","31040","27760"
"In post","2021","Heterosexual / straight","65+","Black","220","190","29510","26150"
"In post","2021","Heterosexual / straight","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Mixed","80","60","30720","27130"
"In post","2021","Heterosexual / straight","65+","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","65+","Undeclared","90","70","28730","27310"
"In post","2021","Heterosexual / straight","65+","Unknown","100","70","29840","22650"
"In post","2021","Heterosexual / straight","65+","White","6390","4940","30460","26780"
"In post","2021","Heterosexual / straight","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","16-19","White","50","50","[c]","[c]"
"In post","2021","LGBO","20-29","Asian","140","140","31430","29570"
"In post","2021","LGBO","20-29","Black","90","90","31590","31060"
"In post","2021","LGBO","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","20-29","Mixed","250","240","31510","29070"
"In post","2021","LGBO","20-29","Other ethnicity","50","40","[c]","[c]"
"In post","2021","LGBO","20-29","Undeclared","40","40","[c]","[c]"
"In post","2021","LGBO","20-29","Unknown","50","50","30320","29380"
"In post","2021","LGBO","20-29","White","4790","4740","29810","27570"
"In post","2021","LGBO","30-39","Asian","140","140","36140","31990"
"In post","2021","LGBO","30-39","Black","70","70","33680","31060"
"In post","2021","LGBO","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","30-39","Mixed","200","200","37360","33030"
"In post","2021","LGBO","30-39","Other ethnicity","40","40","[c]","[c]"
"In post","2021","LGBO","30-39","Undeclared","70","70","32990","27950"
"In post","2021","LGBO","30-39","Unknown","60","60","39690","33400"
"In post","2021","LGBO","30-39","White","4710","4630","35340","31180"
"In post","2021","LGBO","40-49","Asian","150","140","34290","28480"
"In post","2021","LGBO","40-49","Black","70","60","36070","29840"
"In post","2021","LGBO","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","40-49","Mixed","120","120","41710","35310"
"In post","2021","LGBO","40-49","Other ethnicity","40","40","[c]","[c]"
"In post","2021","LGBO","40-49","Undeclared","70","60","38160","32760"
"In post","2021","LGBO","40-49","Unknown","60","50","41900","33520"
"In post","2021","LGBO","40-49","White","3340","3240","38310","31810"
"In post","2021","LGBO","50-59","Asian","80","80","31980","27570"
"In post","2021","LGBO","50-59","Black","80","80","36700","29550"
"In post","2021","LGBO","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","50-59","Mixed","100","100","35860","31650"
"In post","2021","LGBO","50-59","Other ethnicity","30","30","[c]","[c]"
"In post","2021","LGBO","50-59","Undeclared","100","90","33760","31060"
"In post","2021","LGBO","50-59","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","50-59","White","2890","2790","36560","31650"
"In post","2021","LGBO","60-64","Asian","40","40","[c]","[c]"
"In post","2021","LGBO","60-64","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","60-64","White","530","440","32600","27570"
"In post","2021","LGBO","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","65+","White","150","120","29900","26550"
"In post","2021","LGBO","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","16-19","White","40","40","[c]","[c]"
"In post","2021","Undeclared","20-29","Asian","190","180","28510","27540"
"In post","2021","Undeclared","20-29","Black","80","70","29710","29570"
"In post","2021","Undeclared","20-29","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Mixed","140","140","31040","29570"
"In post","2021","Undeclared","20-29","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","20-29","Undeclared","1010","1000","31520","29120"
"In post","2021","Undeclared","20-29","Unknown","390","390","26920","25400"
"In post","2021","Undeclared","20-29","White","2090","2050","30210","27570"
"In post","2021","Undeclared","30-39","Asian","300","280","32230","29080"
"In post","2021","Undeclared","30-39","Black","100","100","33250","31060"
"In post","2021","Undeclared","30-39","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","30-39","Mixed","130","130","35730","31060"
"In post","2021","Undeclared","30-39","Other ethnicity","40","40","[c]","[c]"
"In post","2021","Undeclared","30-39","Undeclared","2260","2190","36800","32920"
"In post","2021","Undeclared","30-39","Unknown","670","630","30880","29350"
"In post","2021","Undeclared","30-39","White","3630","3420","34270","30850"
"In post","2021","Undeclared","40-49","Asian","460","420","31920","28080"
"In post","2021","Undeclared","40-49","Black","170","160","34810","31060"
"In post","2021","Undeclared","40-49","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","40-49","Mixed","120","110","36790","30550"
"In post","2021","Undeclared","40-49","Other ethnicity","80","80","47110","41500"
"In post","2021","Undeclared","40-49","Undeclared","3260","3120","36470","32100"
"In post","2021","Undeclared","40-49","Unknown","640","600","32700","29350"
"In post","2021","Undeclared","40-49","White","5530","5140","34760","30390"
"In post","2021","Undeclared","50-59","Asian","450","420","30810","28240"
"In post","2021","Undeclared","50-59","Black","340","320","31750","29540"
"In post","2021","Undeclared","50-59","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","50-59","Mixed","140","130","35570","30350"
"In post","2021","Undeclared","50-59","Other ethnicity","110","100","41010","33090"
