"Status","Year","Responsibility_level","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department for Transport","40","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Ministry of Defence","60","50","22500","20920"
"In post","2021","AA/AO","Commercial","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Ministry of Justice","60","50","22990","21710"
"In post","2021","AA/AO","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Scottish Government","60","50","23570","24450"
"In post","2021","AA/AO","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Department for Transport","40","30","[c]","[c]"
"In post","2021","AA/AO","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
