"Status","Year","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","100","90","37970","35850"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","90","90","40220","40330"
"In post","2021","Commercial","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Male","40","30","[c]","[c]"
"In post","2021","Commercial","Devon","Female","120","110","40890","38370"
"In post","2021","Commercial","Devon","Male","110","110","44830","46100"
"In post","2021","Commercial","Dorset and Somerset","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Female","120","120","36340","34850"
"In post","2021","Commercial","East Anglia","Male","100","100","40660","37110"
"In post","2021","Commercial","East Wales","Female","70","70","35610","31970"
"In post","2021","Commercial","East Wales","Male","80","80","37620","35040"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Male","50","50","35540","33090"
"In post","2021","Commercial","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","740","700","37030","34500"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","680","670","40900","38240"
"In post","2021","Commercial","Greater Manchester","Female","120","110","40160","38020"
"In post","2021","Commercial","Greater Manchester","Male","100","100","39430","36960"
"In post","2021","Commercial","Hampshire and Isle of Wight","Female","130","120","34450","34500"
"In post","2021","Commercial","Hampshire and Isle of Wight","Male","90","90","38760","36420"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Female","30","30","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Inner London - West","Female","310","300","48260","42170"
"In post","2021","Commercial","Inner London - West","Male","260","260","52560","48020"
"In post","2021","Commercial","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Merseyside","Female","130","120","34770","34800"
"In post","2021","Commercial","Merseyside","Male","100","100","37560","34800"
"In post","2021","Commercial","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Female","40","30","[c]","[c]"
"In post","2021","Commercial","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - East and North East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outer London - South","Female","90","80","42340","42070"
"In post","2021","Commercial","Outer London - South","Male","60","60","46220","45460"
"In post","2021","Commercial","Outer London - West and North West","Female","30","30","[c]","[c]"
"In post","2021","Commercial","Outer London - West and North West","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Shropshire and Staffordshire","Female","60","60","37900","34800"
"In post","2021","Commercial","Shropshire and Staffordshire","Male","40","40","[c]","[c]"
"In post","2021","Commercial","South Yorkshire","Female","60","60","37330","36780"
"In post","2021","Commercial","South Yorkshire","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Tees Valley and Durham","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Central Scotland","Female","50","50","33140","33000"
