"Status","Year","Function_of_post","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Declared disabled","Female","300","270","40640","37280"
"In post","2021","Analysis","Declared disabled","Male","280","270","41810","37320"
"In post","2021","Analysis","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Declared non-disabled","Female","2050","1910","43290","38630"
"In post","2021","Analysis","Declared non-disabled","Male","2490","2450","45520","40960"
"In post","2021","Analysis","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Female","140","130","41680","40470"
"In post","2021","Analysis","Undeclared","Male","230","230","44100","42020"
"In post","2021","Analysis","Unknown","Female","770","730","39710","36390"
"In post","2021","Analysis","Unknown","Male","920","900","41280","36370"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Female","340","320","37700","34800"
"In post","2021","Commercial","Declared disabled","Male","240","230","40860","39860"
"In post","2021","Commercial","Declared non-disabled","Female","2040","1940","40230","35760"
"In post","2021","Commercial","Declared non-disabled","Male","1940","1920","46580","40580"
"In post","2021","Commercial","Undeclared","Female","180","170","38620","34800"
"In post","2021","Commercial","Undeclared","Male","210","210","45460","41500"
"In post","2021","Commercial","Unknown","Female","980","940","51700","49700"
"In post","2021","Commercial","Unknown","Male","1060","1050","56280","52540"
"In post","2021","Communications","Declared disabled","Female","290","270","32980","29750"
"In post","2021","Communications","Declared disabled","Male","260","250","31110","27290"
"In post","2021","Communications","Declared non-disabled","Female","2540","2390","36340","31810"
"In post","2021","Communications","Declared non-disabled","Male","2180","2150","34940","31810"
"In post","2021","Communications","Undeclared","Female","170","160","37490","31970"
"In post","2021","Communications","Undeclared","Male","190","190","34550","31590"
"In post","2021","Communications","Unknown","Female","1290","1230","34280","29220"
"In post","2021","Communications","Unknown","Male","1290","1270","32560","25560"
"In post","2021","Counter Fraud","Declared disabled","Female","450","400","32180","29620"
"In post","2021","Counter Fraud","Declared disabled","Male","380","350","34430","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Female","2840","2600","32980","31810"
"In post","2021","Counter Fraud","Declared non-disabled","Male","3080","3000","35930","31810"
"In post","2021","Counter Fraud","Undeclared","Female","230","210","33910","31810"
"In post","2021","Counter Fraud","Undeclared","Male","420","400","36800","32100"
"In post","2021","Counter Fraud","Unknown","Female","1000","920","30390","28130"
"In post","2021","Counter Fraud","Unknown","Male","1230","1190","32700","31810"
"In post","2021","Debt","Declared disabled","Female","240","190","23150","21440"
"In post","2021","Debt","Declared disabled","Male","140","130","22900","20640"
"In post","2021","Debt","Declared non-disabled","Female","1360","1160","24150","21440"
"In post","2021","Debt","Declared non-disabled","Male","950","900","24170","21440"
"In post","2021","Debt","Undeclared","Female","100","80","23820","21440"
"In post","2021","Debt","Undeclared","Male","110","100","24830","21440"
"In post","2021","Debt","Unknown","Female","950","850","22090","20140"
"In post","2021","Debt","Unknown","Male","830","810","22070","20140"
"In post","2021","Digital, Data & Technology","Declared disabled","Female","460","440","37820","34160"
"In post","2021","Digital, Data & Technology","Declared disabled","Male","620","600","40250","36780"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Female","3210","3040","40720","38450"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Male","5300","5210","43250","39650"
"In post","2021","Digital, Data & Technology","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Female","220","210","40350","38070"
"In post","2021","Digital, Data & Technology","Undeclared","Male","460","450","41000","38450"
"In post","2021","Digital, Data & Technology","Unknown","Female","1100","1060","40230","36740"
"In post","2021","Digital, Data & Technology","Unknown","Male","2210","2190","40720","37720"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Declared disabled","Female","480","440","35710","31810"
