"Status","Year","Region_ITL2","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","No function","170","160","28310","26100"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared disabled","Unknown","260","240","30050","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Digital, Data & Technology","60","60","36050","34820"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Finance","80","80","43340","37640"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Legal","140","130","44140","40800"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","No function","1110","1050","30370","29120"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Project Delivery","130","120","39610","37640"
