"Status","Year","Region_ITL1","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Asian","Declared disabled","200","180","26320","24000"
"In post","2021","East Midlands (England)","Asian","Declared non-disabled","1310","1190","27010","25560"
"In post","2021","East Midlands (England)","Asian","Undeclared","70","60","25970","25400"
"In post","2021","East Midlands (England)","Asian","Unknown","110","100","29100","25000"
"In post","2021","East Midlands (England)","Black","Declared disabled","60","60","25950","26520"
"In post","2021","East Midlands (England)","Black","Declared non-disabled","390","360","27080","26090"
"In post","2021","East Midlands (England)","Black","Undeclared","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Declared disabled","60","60","30080","27570"
"In post","2021","East Midlands (England)","Mixed","Declared non-disabled","250","230","30120","27570"
"In post","2021","East Midlands (England)","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Declared non-disabled","50","40","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Declared disabled","110","100","27910","27370"
"In post","2021","East Midlands (England)","Undeclared","Declared non-disabled","400","360","29160","27570"
"In post","2021","East Midlands (England)","Undeclared","Undeclared","350","330","31400","29280"
"In post","2021","East Midlands (England)","Undeclared","Unknown","50","50","34600","30320"
"In post","2021","East Midlands (England)","Unknown","Declared disabled","60","50","29490","27570"
"In post","2021","East Midlands (England)","Unknown","Declared non-disabled","470","420","30050","27570"
"In post","2021","East Midlands (England)","Unknown","Undeclared","100","80","29780","29200"
"In post","2021","East Midlands (England)","Unknown","Unknown","2080","1980","26880","25560"
"In post","2021","East Midlands (England)","White","Declared disabled","2170","1980","28670","27570"
"In post","2021","East Midlands (England)","White","Declared non-disabled","11370","10520","30550","27570"
"In post","2021","East Midlands (England)","White","Undeclared","920","850","29250","27570"
"In post","2021","East Midlands (England)","White","Unknown","650","610","30450","27130"
"In post","2021","East of England","Asian","Declared disabled","130","110","29430","27570"
"In post","2021","East of England","Asian","Declared non-disabled","890","800","29530","27570"
"In post","2021","East of England","Asian","Undeclared","40","30","[c]","[c]"
"In post","2021","East of England","Asian","Unknown","70","70","42870","34000"
"In post","2021","East of England","Black","Declared disabled","70","70","29380","29290"
"In post","2021","East of England","Black","Declared non-disabled","470","450","30370","29290"
"In post","2021","East of England","Black","Undeclared","30","30","[c]","[c]"
"In post","2021","East of England","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Declared disabled","70","60","29580","27570"
"In post","2021","East of England","Mixed","Declared non-disabled","300","280","30160","28080"
"In post","2021","East of England","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Mixed","Unknown","30","30","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Declared non-disabled","80","80","32250","27670"
"In post","2021","East of England","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Undeclared","Declared disabled","100","90","30840","29050"
"In post","2021","East of England","Undeclared","Declared non-disabled","460","420","29290","27680"
"In post","2021","East of England","Undeclared","Undeclared","440","410","32620","30590"
"In post","2021","East of England","Undeclared","Unknown","90","80","37150","33300"
"In post","2021","East of England","Unknown","Declared disabled","40","40","[c]","[c]"
"In post","2021","East of England","Unknown","Declared non-disabled","460","420","30440","28220"
"In post","2021","East of England","Unknown","Undeclared","80","70","28750","28820"
"In post","2021","East of England","Unknown","Unknown","1500","1430","28940","26350"
"In post","2021","East of England","White","Declared disabled","2150","1960","29870","27570"
"In post","2021","East of England","White","Declared non-disabled","12820","11900","30770","27920"
"In post","2021","East of England","White","Undeclared","1110","1020","30960","30030"
"In post","2021","East of England","White","Unknown","1050","990","34530","31810"
"In post","2021","London","Asian","Declared disabled","1280","1180","35810","31520"
"In post","2021","London","Asian","Declared non-disabled","10670","10080","36860","31800"
"In post","2021","London","Asian","Undeclared","560","530","36900","31180"
"In post","2021","London","Asian","Unknown","1050","1010","40390","35300"
"In post","2021","London","Black","Declared disabled","1210","1150","33460","31060"
"In post","2021","London","Black","Declared non-disabled","7680","7430","34570","31060"
"In post","2021","London","Black","Undeclared","510","490","33450","31060"
"In post","2021","London","Black","Unknown","570","560","37700","34090"
"In post","2021","London","Chinese","Declared disabled","30","30","[c]","[c]"
"In post","2021","London","Chinese","Declared non-disabled","480","460","43440","39830"
"In post","2021","London","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","Chinese","Unknown","60","60","47100","41880"
"In post","2021","London","Mixed","Declared disabled","420","400","39090","33640"
"In post","2021","London","Mixed","Declared non-disabled","2560","2480","40960","35700"
"In post","2021","London","Mixed","Undeclared","160","150","40760","35090"
"In post","2021","London","Mixed","Unknown","270","260","42490","39680"
"In post","2021","London","Other ethnicity","Declared disabled","160","150","39730","34650"
"In post","2021","London","Other ethnicity","Declared non-disabled","910","870","40750","34940"
"In post","2021","London","Other ethnicity","Undeclared","80","70","45390","39300"
"In post","2021","London","Other ethnicity","Unknown","120","120","48250","41500"
"In post","2021","London","Undeclared","Declared disabled","400","380","38050","31880"
"In post","2021","London","Undeclared","Declared non-disabled","2150","2030","40330","35050"
