"Status","Year","Responsibility_level","Age","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","16-19","Declared disabled","40","30","[c]","[c]"
"In post","2021","AA/AO","16-19","Declared non-disabled","490","470","20930","21010"
"In post","2021","AA/AO","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Unknown","410","390","20680","20140"
"In post","2021","AA/AO","20-29","Declared disabled","1530","1480","22200","21010"
"In post","2021","AA/AO","20-29","Declared non-disabled","15420","14990","22650","21430"
"In post","2021","AA/AO","20-29","Undeclared","760","740","22710","21010"
"In post","2021","AA/AO","20-29","Unknown","8760","8540","22200","21010"
"In post","2021","AA/AO","30-39","Declared disabled","2120","1930","22260","21010"
"In post","2021","AA/AO","30-39","Declared non-disabled","16760","15140","22820","21240"
"In post","2021","AA/AO","30-39","Undeclared","1450","1330","23570","21390"
"In post","2021","AA/AO","30-39","Unknown","5500","5110","22650","21010"
"In post","2021","AA/AO","40-49","Declared disabled","3230","2840","22040","21010"
"In post","2021","AA/AO","40-49","Declared non-disabled","17590","15640","22480","21010"
"In post","2021","AA/AO","40-49","Undeclared","2020","1850","24580","21590"
"In post","2021","AA/AO","40-49","Unknown","4380","3990","22480","21220"
"In post","2021","AA/AO","50-59","Declared disabled","5680","5020","22020","21010"
"In post","2021","AA/AO","50-59","Declared non-disabled","25710","23080","22310","21010"
"In post","2021","AA/AO","50-59","Undeclared","3700","3410","25260","22080"
"In post","2021","AA/AO","50-59","Unknown","5400","4860","22150","21430"
"In post","2021","AA/AO","60-64","Declared disabled","2210","1770","21610","21010"
"In post","2021","AA/AO","60-64","Declared non-disabled","9210","7510","21770","21010"
"In post","2021","AA/AO","60-64","Undeclared","1200","960","23920","21550"
"In post","2021","AA/AO","60-64","Unknown","1900","1560","21550","21130"
"In post","2021","AA/AO","65+","Declared disabled","740","560","21330","21010"
"In post","2021","AA/AO","65+","Declared non-disabled","3350","2580","21560","21010"
"In post","2021","AA/AO","65+","Undeclared","440","320","23040","21180"
"In post","2021","AA/AO","65+","Unknown","640","510","21500","21010"
"In post","2021","AA/AO","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Declared non-disabled","180","180","23480","24300"
"In post","2021","EO","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","EO","16-19","Unknown","90","90","21770","23050"
"In post","2021","EO","20-29","Declared disabled","1560","1540","27200","27570"
"In post","2021","EO","20-29","Declared non-disabled","13690","13540","26940","27500"
"In post","2021","EO","20-29","Undeclared","780","770","27420","27570"
"In post","2021","EO","20-29","Unknown","5570","5520","27130","26860"
"In post","2021","EO","30-39","Declared disabled","2280","2150","27510","27570"
"In post","2021","EO","30-39","Declared non-disabled","17410","16400","27310","27570"
"In post","2021","EO","30-39","Undeclared","1360","1300","28150","27570"
"In post","2021","EO","30-39","Unknown","4610","4450","27900","27130"
"In post","2021","EO","40-49","Declared disabled","3590","3290","27730","27570"
"In post","2021","EO","40-49","Declared non-disabled","19870","18410","27670","27570"
"In post","2021","EO","40-49","Undeclared","1700","1610","28460","27570"
"In post","2021","EO","40-49","Unknown","3230","3070","28190","27570"
"In post","2021","EO","50-59","Declared disabled","5990","5490","28010","27570"
"In post","2021","EO","50-59","Declared non-disabled","26820","24800","28010","27570"
"In post","2021","EO","50-59","Undeclared","2500","2370","28840","27570"
"In post","2021","EO","50-59","Unknown","3870","3680","29370","28410"
"In post","2021","EO","60-64","Declared disabled","1750","1380","28080","27570"
"In post","2021","EO","60-64","Declared non-disabled","7330","5800","28040","27570"
"In post","2021","EO","60-64","Undeclared","650","540","28580","27570"
"In post","2021","EO","60-64","Unknown","930","750","28930","28130"
"In post","2021","EO","65+","Declared disabled","500","360","28100","27570"
"In post","2021","EO","65+","Declared non-disabled","2110","1560","28110","27570"
"In post","2021","EO","65+","Undeclared","190","150","28160","27570"
"In post","2021","EO","65+","Unknown","280","210","28540","28130"
