"Status","Year","Parent_department","Sexual_orientation","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Asian","750","700","42240","40800"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Black","450","430","39900","31710"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Chinese","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Mixed","220","210","46000","50520"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Other ethnicity","70","70","46490","49580"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Undeclared","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Heterosexual / straight","Unknown","160","150","40540","33770"
"In post","2021","Attorney General's Departments","Heterosexual / straight","White","5040","4720","44900","48080"
"In post","2021","Attorney General's Departments","LGBO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","LGBO","White","360","340","45750","48080"
"In post","2021","Attorney General's Departments","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Other ethnicity","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Undeclared","90","90","44980","46800"
"In post","2021","Attorney General's Departments","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","White","210","190","46950","50520"
