"Status","Year","Profession_of_post","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Heterosexual / straight","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","150","150","39160","36890"
"In post","2021","Commercial","Heterosexual / straight","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Derbyshire and Nottinghamshire","60","50","45420","43130"
"In post","2021","Commercial","Heterosexual / straight","Devon","30","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Dorset and Somerset","50","50","42850","42510"
"In post","2021","Commercial","Heterosexual / straight","East Anglia","160","150","38520","35570"
"In post","2021","Commercial","Heterosexual / straight","East Wales","110","110","37110","34800"
"In post","2021","Commercial","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Eastern Scotland","40","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","1100","1050","38880","35430"
"In post","2021","Commercial","Heterosexual / straight","Greater Manchester","160","160","41140","37100"
"In post","2021","Commercial","Heterosexual / straight","Hampshire and Isle of Wight","180","170","35850","34780"
"In post","2021","Commercial","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Inner London - East","60","60","45620","40770"
"In post","2021","Commercial","Heterosexual / straight","Inner London - West","370","360","49910","44520"
"In post","2021","Commercial","Heterosexual / straight","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Leicestershire, Rutland and Northamptonshire","30","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Merseyside","160","150","37260","34800"
"In post","2021","Commercial","Heterosexual / straight","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","North Yorkshire","50","50","41080","38180"
"In post","2021","Commercial","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Outer London - South","110","110","45320","44250"
"In post","2021","Commercial","Heterosexual / straight","Outer London - West and North West","40","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Overseas","30","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Shropshire and Staffordshire","70","70","38920","34800"
"In post","2021","Commercial","Heterosexual / straight","South Yorkshire","80","80","39080","37100"
"In post","2021","Commercial","Heterosexual / straight","Southern Scotland","50","40","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Surrey, East and West Sussex","30","30","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Tees Valley and Durham","70","70","43400","38980"
"In post","2021","Commercial","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","West Central Scotland","80","80","36160","34610"
"In post","2021","Commercial","Heterosexual / straight","West Midlands","100","100","40040","38070"
"In post","2021","Commercial","Heterosexual / straight","West Wales and The Valleys","120","120","34740","31380"
"In post","2021","Commercial","Heterosexual / straight","West Yorkshire","110","110","42680","36970"
"In post","2021","Commercial","LGBO","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","Commercial","LGBO","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","LGBO","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","160","150","41290","38240"
"In post","2021","Commercial","Undeclared","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Inner London - West","30","30","[c]","[c]"
"In post","2021","Commercial","Undeclared","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","West Yorkshire","[c]","[c]","[c]","[c]"
