"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Legal","1220","1120","44310","41920"
"In post","2022","Declared disabled","No function","32960","29830","29980","27570"
"In post","2022","Declared disabled","Project Delivery","2620","2490","39750","37310"
"In post","2022","Declared disabled","Property","780","740","36700","33300"
"In post","2022","Declared disabled","Security","860","830","33120","31930"
"In post","2022","Declared disabled","Unknown","6590","6200","33650","29080"
"In post","2022","Declared non-disabled","Analysis","5680","5470","44310","39490"
"In post","2022","Declared non-disabled","Commercial","3500","3390","43650","38980"
"In post","2022","Declared non-disabled","Communications","5010","4830","36740","33080"
"In post","2022","Declared non-disabled","Counter Fraud","11360","10490","32530","29290"
"In post","2022","Declared non-disabled","Debt","4260","3750","23970","21260"
"In post","2022","Declared non-disabled","Digital, Data & Technology","14660","14220","41760","38550"
"In post","2022","Declared non-disabled","Finance","8450","8010","40010","36480"
"In post","2022","Declared non-disabled","Grants Management","2090","1930","25100","21300"
"In post","2022","Declared non-disabled","Human Resources","7860","7440","38190","33370"
"In post","2022","Declared non-disabled","Internal Audit","560","540","46270","43430"
"In post","2022","Declared non-disabled","Legal","8500","7910","47690","50500"
"In post","2022","Declared non-disabled","No function","177610","164220","32160","27570"
"In post","2022","Declared non-disabled","Project Delivery","18760","18030","42330","40000"
"In post","2022","Declared non-disabled","Property","6280","6010","37870","33370"
"In post","2022","Declared non-disabled","Security","6710","6550","32850","30810"
"In post","2022","Declared non-disabled","Unknown","53410","50460","34910","30020"
"In post","2022","Undeclared","Analysis","270","260","44420","40350"
"In post","2022","Undeclared","Commercial","270","270","43000","40000"
"In post","2022","Undeclared","Communications","320","310","35820","33080"
"In post","2022","Undeclared","Counter Fraud","950","890","34280","31990"
"In post","2022","Undeclared","Debt","320","290","23570","21260"
"In post","2022","Undeclared","Digital, Data & Technology","1200","1170","40460","37220"
"In post","2022","Undeclared","Finance","630","600","39440","35310"
"In post","2022","Undeclared","Grants Management","50","40","[c]","[c]"
"In post","2022","Undeclared","Human Resources","620","590","36630","33300"
"In post","2022","Undeclared","Internal Audit","60","60","49660","49370"
"In post","2022","Undeclared","Legal","320","290","51510","53490"
"In post","2022","Undeclared","No function","16070","14830","31750","29060"
"In post","2022","Undeclared","Project Delivery","1390","1330","41720","40180"
"In post","2022","Undeclared","Property","650","620","37610","33630"
"In post","2022","Undeclared","Security","870","850","35060","35200"
"In post","2022","Undeclared","Unknown","3510","3320","33410","29370"
"In post","2022","Unknown","Analysis","1790","1730","41970","38160"
"In post","2022","Unknown","Commercial","2380","2340","55010","53320"
"In post","2022","Unknown","Communications","2610","2540","35050","28990"
"In post","2022","Unknown","Counter Fraud","2730","2590","32960","31020"
"In post","2022","Unknown","Debt","1430","1320","23510","21250"
"In post","2022","Unknown","Digital, Data & Technology","4190","4120","41610","38250"
"In post","2022","Unknown","Finance","2160","2070","37600","33370"
"In post","2022","Unknown","Human Resources","1640","1570","35330","32000"
"In post","2022","Unknown","Internal Audit","50","50","44330","40760"
"In post","2022","Unknown","Legal","2370","2240","44000","43920"
"In post","2022","Unknown","No function","47890","45170","32260","28010"
"In post","2022","Unknown","Project Delivery","3800","3670","43170","40470"
"In post","2022","Unknown","Property","1840","1780","32460","28500"
"In post","2022","Unknown","Security","2250","2210","32130","29130"
"In post","2022","Unknown","Unknown","16150","15620","35880","31220"
"Leaver CS","2021","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","890","780","27490","22350"
"Leaver CS","2021","Declared disabled","Project Delivery","90","80","35690","32680"
"Leaver CS","2021","Declared disabled","Property","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","1710","1400","28520","26890"
"Leaver CS","2021","Declared non-disabled","Analysis","130","130","39690","32780"
"Leaver CS","2021","Declared non-disabled","Commercial","140","130","47610","40020"
"Leaver CS","2021","Declared non-disabled","Communications","140","130","38540","32750"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","200","200","43140","38450"
"Leaver CS","2021","Declared non-disabled","Finance","150","140","43310","39790"
"Leaver CS","2021","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Human Resources","190","180","38360","33560"
"Leaver CS","2021","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Legal","380","320","47830","50000"
"Leaver CS","2021","Declared non-disabled","No function","4900","4390","33150","26140"
"Leaver CS","2021","Declared non-disabled","Project Delivery","530","500","39390","35660"
"Leaver CS","2021","Declared non-disabled","Property","310","280","32560","28120"
"Leaver CS","2021","Declared non-disabled","Security","200","190","30660","26930"
"Leaver CS","2021","Declared non-disabled","Unknown","8180","6890","29770","26890"
"Leaver CS","2021","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","No function","800","680","32350","26780"
"Leaver CS","2021","Undeclared","Project Delivery","60","50","36150","33670"
"Leaver CS","2021","Undeclared","Property","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Security","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","710","620","30580","27570"
"Leaver CS","2021","Unknown","Analysis","110","110","29430","24410"
"Leaver CS","2021","Unknown","Commercial","100","100","55840","49650"
"Leaver CS","2021","Unknown","Communications","90","80","36440","34490"
"Leaver CS","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Digital, Data & Technology","170","170","41100","38220"
"Leaver CS","2021","Unknown","Finance","50","50","[c]","[c]"
"Leaver CS","2021","Unknown","Grants Management","90","80","24950","21050"
"Leaver CS","2021","Unknown","Human Resources","80","70","39620","31610"
"Leaver CS","2021","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal","230","210","36390","27350"
"Leaver CS","2021","Unknown","No function","2560","2410","31280","24430"
"Leaver CS","2021","Unknown","Project Delivery","170","160","35400","31100"
"Leaver CS","2021","Unknown","Property","160","140","26290","24500"
"Leaver CS","2021","Unknown","Security","150","150","27700","24610"
"Leaver CS","2021","Unknown","Unknown","3650","3140","32430","28120"
"Leaver CS","2022","Declared disabled","Analysis","40","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","30","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","60","40","26840","27570"
"Leaver CS","2022","Declared disabled","Debt","30","20","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data & Technology","120","110","39330","35740"
"Leaver CS","2022","Declared disabled","Finance","50","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Human Resources","90","80","34180","29160"
"Leaver CS","2022","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Legal","70","60","46110","50230"
"Leaver CS","2022","Declared disabled","No function","2680","2340","28620","27570"
"Leaver CS","2022","Declared disabled","Project Delivery","130","120","38560","34690"
"Leaver CS","2022","Declared disabled","Property","40","40","[c]","[c]"
"Leaver CS","2022","Declared disabled","Security","70","60","32430","30950"
"Leaver CS","2022","Declared disabled","Unknown","1040","850","29490","26410"
"Leaver CS","2022","Declared non-disabled","Analysis","300","280","39160","35900"
"Leaver CS","2022","Declared non-disabled","Commercial","210","200","43840","38200"
"Leaver CS","2022","Declared non-disabled","Communications","220","200","41330","37960"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","260","200","29810","27570"
"Leaver CS","2022","Declared non-disabled","Debt","160","130","22600","21260"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","800","760","42880","39650"
"Leaver CS","2022","Declared non-disabled","Finance","310","280","40310","36570"
"Leaver CS","2022","Declared non-disabled","Grants Management","150","130","23950","21300"
"Leaver CS","2022","Declared non-disabled","Human Resources","410","380","36540","33300"
"Leaver CS","2022","Declared non-disabled","Internal Audit","40","40","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Legal","470","420","48100","51250"
"Leaver CS","2022","Declared non-disabled","No function","14970","13480","31590","27570"
"Leaver CS","2022","Declared non-disabled","Project Delivery","860","810","39340","36460"
"Leaver CS","2022","Declared non-disabled","Property","360","320","35100","31650"
"Leaver CS","2022","Declared non-disabled","Security","460","440","32440","29250"
"Leaver CS","2022","Declared non-disabled","Unknown","6270","5350","32100","27370"
"Leaver CS","2022","Undeclared","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","80","80","40020","36850"
"Leaver CS","2022","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","1310","1140","30530","27570"
"Leaver CS","2022","Undeclared","Project Delivery","70","60","38440","37530"
"Leaver CS","2022","Undeclared","Property","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","Security","60","50","33050","35530"
"Leaver CS","2022","Undeclared","Unknown","520","450","31570","27570"
"Leaver CS","2022","Unknown","Analysis","170","120","33600","30220"
"Leaver CS","2022","Unknown","Commercial","260","190","63880","61710"
"Leaver CS","2022","Unknown","Communications","160","130","42250","37520"
"Leaver CS","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","410","360","39490","36500"
"Leaver CS","2022","Unknown","Finance","130","80","39280","34530"
"Leaver CS","2022","Unknown","Human Resources","150","130","33250","27570"
"Leaver CS","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","190","180","42100","40000"
"Leaver CS","2022","Unknown","No function","5510","4950","32730","27550"
"Leaver CS","2022","Unknown","Project Delivery","250","230","39850","35100"
"Leaver CS","2022","Unknown","Property","170","160","27410","22040"
"Leaver CS","2022","Unknown","Security","230","220","30820","27680"
"Leaver CS","2022","Unknown","Unknown","3620","3190","31630","27570"
"Leaver Dept.","2021","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Human Resources","60","60","40500","34620"
"Leaver Dept.","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","No function","310","300","35840","32120"
"Leaver Dept.","2021","Declared disabled","Project Delivery","60","60","38860","33300"
"Leaver Dept.","2021","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","430","390","33970","29330"
"Leaver Dept.","2021","Declared non-disabled","Analysis","170","160","41920","37320"
"Leaver Dept.","2021","Declared non-disabled","Commercial","80","70","39920","38060"
"Leaver Dept.","2021","Declared non-disabled","Communications","110","110","43280","37240"
"Leaver Dept.","2021","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Digital, Data & Technology","140","140","45980","40600"
"Leaver Dept.","2021","Declared non-disabled","Finance","130","130","46510","43290"
"Leaver Dept.","2021","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Human Resources","300","290","37670","32560"
"Leaver Dept.","2021","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Legal","140","140","44970","40950"
"Leaver Dept.","2021","Declared non-disabled","No function","2040","1980","39030","33210"
"Leaver Dept.","2021","Declared non-disabled","Project Delivery","340","340","40960","36360"
"Leaver Dept.","2021","Declared non-disabled","Property","70","70","40050","34610"
"Leaver Dept.","2021","Declared non-disabled","Security","30","30","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","3390","3110","34420","29640"
"Leaver Dept.","2021","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","No function","200","190","35440","32120"
"Leaver Dept.","2021","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","300","280","35490","31060"
"Leaver Dept.","2021","Unknown","Analysis","70","70","40600","36780"
"Leaver Dept.","2021","Unknown","Commercial","60","60","45410","41980"
"Leaver Dept.","2021","Unknown","Communications","80","80","40310","38690"
"Leaver Dept.","2021","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data & Technology","70","70","45330","43570"
"Leaver Dept.","2021","Unknown","Finance","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Grants Management","50","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","90","90","40600","36210"
"Leaver Dept.","2021","Unknown","Legal","60","60","40510","35230"
"Leaver Dept.","2021","Unknown","No function","1470","1440","37060","32240"
"Leaver Dept.","2021","Unknown","Project Delivery","100","100","42950","38600"
"Leaver Dept.","2021","Unknown","Property","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Security","30","30","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","1260","990","36710","31990"
"Leaver Dept.","2022","Declared disabled","Analysis","40","30","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Finance","50","40","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Human Resources","80","80","40770","35520"
"Leaver Dept.","2022","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","No function","1170","1100","34720","30190"
"Leaver Dept.","2022","Declared disabled","Project Delivery","80","80","36180","33930"
"Leaver Dept.","2022","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","270","240","35640","30780"
"Leaver Dept.","2022","Declared non-disabled","Analysis","270","260","43440","39850"
"Leaver Dept.","2022","Declared non-disabled","Commercial","200","190","42980","40000"
"Leaver Dept.","2022","Declared non-disabled","Communications","250","240","42180","37290"
"Leaver Dept.","2022","Declared non-disabled","Counter Fraud","100","100","32020","27570"
"Leaver Dept.","2022","Declared non-disabled","Debt","40","40","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Digital, Data & Technology","440","430","42290","37930"
"Leaver Dept.","2022","Declared non-disabled","Finance","320","310","41960","37640"
"Leaver Dept.","2022","Declared non-disabled","Grants Management","50","50","24630","21300"
"Leaver Dept.","2022","Declared non-disabled","Human Resources","500","480","37570","32330"
"Leaver Dept.","2022","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Legal","130","130","44460","36950"
"Leaver Dept.","2022","Declared non-disabled","No function","9140","8620","37650","31990"
"Leaver Dept.","2022","Declared non-disabled","Project Delivery","470","470","39890","36390"
"Leaver Dept.","2022","Declared non-disabled","Property","100","100","40900","36640"
"Leaver Dept.","2022","Declared non-disabled","Security","100","100","38530","34970"
"Leaver Dept.","2022","Declared non-disabled","Unknown","2290","2060","35840","29290"
"Leaver Dept.","2022","Undeclared","Analysis","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","530","510","34730","31060"
"Leaver Dept.","2022","Undeclared","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","120","100","34050","30730"
"Leaver Dept.","2022","Unknown","Analysis","200","70","36810","33780"
"Leaver Dept.","2022","Unknown","Commercial","230","80","49180","49110"
"Leaver Dept.","2022","Unknown","Communications","190","90","42160","37860"
"Leaver Dept.","2022","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","250","150","42190","38250"
"Leaver Dept.","2022","Unknown","Finance","210","70","41100","38200"
"Leaver Dept.","2022","Unknown","Human Resources","150","100","37240","32000"
"Leaver Dept.","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","80","80","43670","39560"
"Leaver Dept.","2022","Unknown","No function","3950","3340","42530","34550"
"Leaver Dept.","2022","Unknown","Project Delivery","90","90","43830","40580"
"Leaver Dept.","2022","Unknown","Property","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","40","30","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","1070","860","35210","30820"
"New entrant CS","2021","Declared disabled","Analysis","70","60","31190","30870"
"New entrant CS","2021","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Digital, Data & Technology","80","80","38510","37000"
"New entrant CS","2021","Declared disabled","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Human Resources","80","80","31900","27770"
"New entrant CS","2021","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Legal","50","50","33970","29280"
"New entrant CS","2021","Declared disabled","No function","1160","1120","27730","24920"
"New entrant CS","2021","Declared disabled","Project Delivery","110","100","34480","32560"
"New entrant CS","2021","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Security","30","30","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","2270","2210","26980","27570"
"New entrant CS","2021","Declared non-disabled","Analysis","600","590","34330","31980"
"New entrant CS","2021","Declared non-disabled","Commercial","290","290","36640","34000"
