"Status","Year","Profession_of_post","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Commercial","380","360","39070","37940"
"In post","2021","Commercial","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Project Delivery","80","80","40570","35720"
"In post","2021","Commercial","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Commercial","2600","2510","41210","38200"
"In post","2021","Commercial","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","No function","220","220","44590","39200"
"In post","2021","Commercial","Declared non-disabled","Project Delivery","570","550","37700","34410"
"In post","2021","Commercial","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Declared non-disabled","Unknown","90","80","40190","41940"
"In post","2021","Commercial","Undeclared","Commercial","260","260","42470","40000"
"In post","2021","Commercial","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Project Delivery","60","50","42330","41080"
"In post","2021","Commercial","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Commercial","850","820","38260","35760"
"In post","2021","Commercial","Unknown","Finance","[c]","[c]","[c]","[c]"
