"Status","Year","Age","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Female","40","30","[c]","[c]"
"In post","2021","16-19","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Female","120","120","22680","21010"
"In post","2021","16-19","Department for Work and Pensions","Male","80","80","22610","21010"
"In post","2021","16-19","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Female","130","120","20530","20140"
"In post","2021","16-19","HM Revenue and Customs","Male","120","110","20820","20140"
"In post","2021","16-19","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Female","40","40","[c]","[c]"
"In post","2021","16-19","Home Office","Male","30","30","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Female","50","50","19070","19040"
"In post","2021","16-19","Ministry of Defence","Male","200","200","18670","17780"
"In post","2021","16-19","Ministry of Justice","Female","100","100","21610","20880"
"In post","2021","16-19","Ministry of Justice","Male","50","50","22180","20600"
"In post","2021","16-19","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
