"Status","Year","Profession_of_post","Responsibility_level","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","50","50","22370","21590"
"In post","2021","Commercial","AA/AO","White","170","160","22440","21590"
"In post","2021","Commercial","EO","Asian","40","30","[c]","[c]"
"In post","2021","Commercial","EO","Black","30","30","[c]","[c]"
"In post","2021","Commercial","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","80","80","25230","25610"
"In post","2021","Commercial","EO","White","510","480","25850","26400"
"In post","2021","Commercial","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Undeclared","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Unknown","100","100","54870","53360"
"In post","2021","Commercial","G6/G7","White","810","780","59430","56840"
"In post","2021","Commercial","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS","White","70","70","90410","83150"
"In post","2021","Commercial","SEO/HEO","Asian","140","140","37870","36960"
"In post","2021","Commercial","SEO/HEO","Black","100","100","38930","38160"
"In post","2021","Commercial","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Mixed","40","40","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Undeclared","140","140","37670","37990"
"In post","2021","Commercial","SEO/HEO","Unknown","320","310","36810","37400"
"In post","2021","Commercial","SEO/HEO","White","2280","2200","37700","37100"
"In post","2021","Commercial","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","White","170","170","38330","37400"
"In post","2021","Communications","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","White","180","170","22010","21590"
"In post","2021","Communications","EO","Asian","40","40","[c]","[c]"
"In post","2021","Communications","EO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Unknown","130","120","27250","27270"
"In post","2021","Communications","EO","White","400","380","27400","26780"
"In post","2021","Communications","G6/G7","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Unknown","190","190","57660","54860"
"In post","2021","Communications","G6/G7","White","660","630","58070","56900"
"In post","2021","Communications","SCS","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS","White","80","80","88430","82250"
"In post","2021","Communications","SEO/HEO","Asian","100","100","38040","37320"
"In post","2021","Communications","SEO/HEO","Black","60","60","38090","37320"
"In post","2021","Communications","SEO/HEO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Mixed","60","60","38070","38370"
"In post","2021","Communications","SEO/HEO","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Undeclared","60","60","38880","39180"
"In post","2021","Communications","SEO/HEO","Unknown","330","320","38100","37480"
"In post","2021","Communications","SEO/HEO","White","1400","1350","37830","37410"
"In post","2021","Communications","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","White","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Other ethnicity","[c]","[c]","[c]","[c]"
