"Status","Year","Function_of_post","Region_ITL3","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","60","50","40630","38530"
"In post","2021","Analysis","Bedford","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","West Midlands","40","40","[c]","[c]"
"In post","2021","Analysis","Bradford","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Gloucestershire, Wiltshire and Bath/Bristol area","150","140","39320","34950"
"In post","2021","Analysis","Buckinghamshire CC","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Camden and City of London","Inner London - West","230","220","67630","60780"
"In post","2021","Analysis","Cardiff and Vale of Glamorgan","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Central Hampshire","Hampshire and Isle of Wight","350","340","40800","37700"
"In post","2021","Analysis","Central Valleys","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire East","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","City of Edinburgh","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Coventry","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Croydon","Outer London - South","40","40","[c]","[c]"
"In post","2021","Analysis","Darlington","Tees Valley and Durham","30","30","[c]","[c]"
"In post","2021","Analysis","Devon CC","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset CC","Dorset and Somerset","120","110","33040","29270"
"In post","2021","Analysis","Durham CC","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Cumbria","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","West Yorkshire","140","140","41610","41890"
"In post","2021","Analysis","Leicester","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Merseyside","80","70","39950","38630"
"In post","2021","Analysis","Manchester","Greater Manchester","220","210","38190","33600"
"In post","2021","Analysis","Medway","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","East Wales","1040","990","36370","36030"
"In post","2021","Analysis","North Northamptonshire","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Norwich and East Norfolk","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Nottingham","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Oxfordshire","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Peterborough","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Plymouth","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Portsmouth","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Sefton","Merseyside","40","30","[c]","[c]"
"In post","2021","Analysis","Sheffield","South Yorkshire","130","120","44020","42580"
"In post","2021","Analysis","Somerset","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South and West Derbyshire","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South Hampshire","Hampshire and Isle of Wight","450","430","37290","36030"
"In post","2021","Analysis","South Nottinghamshire","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southampton","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Southend-on-Sea","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Staffordshire CC","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Suffolk","East Anglia","350","330","34350","30220"
"In post","2021","Analysis","Swansea","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Telford and Wrekin","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tower Hamlets","Inner London - East","680","660","50780","46850"
"In post","2021","Analysis","Tyneside","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wakefield","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Cumbria","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Surrey","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (North East)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Sussex (South West)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Westminster","Inner London - West","2490","2430","46680","42980"
"In post","2021","Analysis","Wiltshire","Gloucestershire, Wiltshire and Bath/Bristol area","110","110","37690","37320"
"In post","2021","Analysis","Wirral","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Worcestershire","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","York","North Yorkshire","60","60","37880","31830"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Armagh City, Banbridge and Craigavon","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","640","620","44040","40580"
