"Status","Year","Sexual_orientation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","East Midlands (England)","100","100","43010","41500"
"In post","2021","Heterosexual / straight","Commercial","East of England","180","170","39290","35760"
"In post","2021","Heterosexual / straight","Commercial","London","580","570","47980","43800"
"In post","2021","Heterosexual / straight","Commercial","North East (England)","100","90","43210","39640"
"In post","2021","Heterosexual / straight","Commercial","North West (England)","380","360","39810","36500"
"In post","2021","Heterosexual / straight","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Overseas","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Scotland","170","160","38100","34850"
"In post","2021","Heterosexual / straight","Commercial","South East (England)","380","360","38260","36390"
"In post","2021","Heterosexual / straight","Commercial","South West (England)","1180","1130","39150","36050"
"In post","2021","Heterosexual / straight","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Wales","230","220","35860","32090"
"In post","2021","Heterosexual / straight","Commercial","West Midlands (England)","180","170","39730","38000"
"In post","2021","Heterosexual / straight","Commercial","Yorkshire and The Humber","260","250","40830","37240"
"In post","2021","Heterosexual / straight","Communications","East Midlands (England)","60","60","37450","35560"
"In post","2021","Heterosexual / straight","Communications","East of England","70","70","35470","33300"
"In post","2021","Heterosexual / straight","Communications","London","1280","1250","46870","42840"
"In post","2021","Heterosexual / straight","Communications","North East (England)","90","90","33820","31100"
"In post","2021","Heterosexual / straight","Communications","North West (England)","140","140","36970","35570"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scotland","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","South East (England)","210","200","33500","32200"
"In post","2021","Heterosexual / straight","Communications","South West (England)","210","200","35300","33740"
"In post","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wales","260","250","36630","34330"
"In post","2021","Heterosexual / straight","Communications","West Midlands (England)","110","100","38900","36500"
"In post","2021","Heterosexual / straight","Communications","Yorkshire and The Humber","80","80","41110","37760"
"In post","2021","Heterosexual / straight","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","London","60","60","56210","54380"
"In post","2021","Heterosexual / straight","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","London","260","250","43380","40000"
"In post","2021","Heterosexual / straight","Counter Fraud","North East (England)","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","North West (England)","70","60","35470","35070"
"In post","2021","Heterosexual / straight","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Scotland","70","60","27310","25310"
"In post","2021","Heterosexual / straight","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","East Midlands (England)","180","170","36470","32790"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","East of England","300","290","37090","34620"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","London","2080","2040","49820","45530"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","North East (England)","460","440","39740","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","North West (England)","720","700","39520","36780"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Scotland","320","310","39580","36740"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","South East (England)","570","550","38850","35900"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","South West (England)","1200","1160","40440","38450"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Wales","1260","1230","40400","37410"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","West Midlands (England)","560","540","40580","37000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Yorkshire and The Humber","610","590","40260","36890"
"In post","2021","Heterosexual / straight","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","London","1150","1130","48300","45750"
"In post","2021","Heterosexual / straight","Economics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Wales","110","100","42930","38130"
"In post","2021","Heterosexual / straight","Economics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","East Midlands (England)","160","150","35240","31810"
"In post","2021","Heterosexual / straight","Finance","East of England","280","270","38520","35780"
"In post","2021","Heterosexual / straight","Finance","London","1810","1760","49750","45220"
