"Status","Year","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","29160","27190","32650","29080"
"In post","2021","Black","15600","14960","32760","30690"
"In post","2021","Chinese","1250","1190","36810","32300"
"In post","2021","Mixed","8260","7870","35220","31060"
"In post","2021","Other ethnicity","2590","2460","36900","31790"
"In post","2021","Undeclared","20550","19170","34520","31060"
"In post","2021","Unknown","67080","63740","32740","28000"
"In post","2021","White","340400","316260","33930","29040"
"In post","2022","Asian","33650","31580","33520","29500"
"In post","2022","Black","17080","16410","33380","31060"
"In post","2022","Mixed","9170","8750","35750","31170"
"In post","2022","Other ethnicity","2650","2520","36790","31880"
"In post","2022","Undeclared","20200","18850","35350","31650"
"In post","2022","Unknown","72500","69000","33530","28650"
"In post","2022","White","354830","330980","34700","30130"
"Leaver CS","2021","Asian","1190","1060","30800","26960"
"Leaver CS","2021","Black","600","560","31400","26890"
"Leaver CS","2021","Chinese","60","50","[c]","[c]"
"Leaver CS","2021","Mixed","400","370","31990","27570"
"Leaver CS","2021","Other ethnicity","140","120","37790","31880"
"Leaver CS","2021","Undeclared","1330","1160","32180","27570"
"Leaver CS","2021","Unknown","6550","5930","32310","27570"
"Leaver CS","2021","White","17580","15200","32930","27570"
"Leaver CS","2022","Asian","2410","2180","33370","28590"
"Leaver CS","2022","Black","1460","1360","32440","30460"
"Leaver CS","2022","Mixed","880","830","32170","27570"
"Leaver CS","2022","Other ethnicity","280","250","35030","31060"
"Leaver CS","2022","Undeclared","1790","1570","34060","29470"
"Leaver CS","2022","Unknown","9290","8240","32280","27570"
"Leaver CS","2022","White","28120","24780","33400","27570"
"Leaver Dept.","2021","Asian","970","930","34870","31180"
"Leaver Dept.","2021","Black","480","460","34050","31180"
"Leaver Dept.","2021","Chinese","30","30","[c]","[c]"
"Leaver Dept.","2021","Mixed","320","310","38960","33570"
"Leaver Dept.","2021","Other ethnicity","70","70","35080","32730"
"Leaver Dept.","2021","Undeclared","430","410","37640","33700"
"Leaver Dept.","2021","Unknown","3180","2890","37650","32750"
"Leaver Dept.","2021","White","6490","6150","38260","32830"
"Leaver Dept.","2022","Asian","2430","2280","36380","31060"
"Leaver Dept.","2022","Black","1240","1170","36180","31630"
"Leaver Dept.","2022","Mixed","640","590","37270","33270"
"Leaver Dept.","2022","Other ethnicity","200","180","40880","33850"
"Leaver Dept.","2022","Undeclared","1080","1000","41300","36650"
"Leaver Dept.","2022","Unknown","4310","3140","37100","32000"
"Leaver Dept.","2022","White","13770","12830","39330","33570"
"New entrant CS","2021","Asian","4110","4000","30030","27570"
"New entrant CS","2021","Black","2650","2600","29940","29290"
"New entrant CS","2021","Chinese","130","130","31930","29290"
"New entrant CS","2021","Mixed","1540","1510","29760","27570"
"New entrant CS","2021","Other ethnicity","380","370","31230","29290"
"New entrant CS","2021","Undeclared","990","950","30850","27570"
"New entrant CS","2021","Unknown","16820","16380","29470","25560"
"New entrant CS","2021","White","30580","29790","29260","27570"
"New entrant CS","2022","Asian","5110","4950","29720","27570"
"New entrant CS","2022","Black","2720","2640","30250","28200"
"New entrant CS","2022","Mixed","1630","1590","29780","27570"
"New entrant CS","2022","Other ethnicity","420","410","29910","27570"
"New entrant CS","2022","Undeclared","990","950","32130","28200"
"New entrant CS","2022","Unknown","21600","20460","29040","26140"
"New entrant CS","2022","White","36920","35820","29870","26880"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at March 31st).","","","","",""
"Ethnicity","Self reported ethnicity. For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' for 2022.","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
