"Status","Year","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Unknown","70","70","40730","36800"
"In post","2021","Office for Standards in Education","Heterosexual / straight","1430","1380","50180","51360"
"In post","2021","Office for Standards in Education","LGBO","130","130","48150","41350"
"In post","2021","Office for Standards in Education","Undeclared","110","100","48020","41910"
"In post","2021","Office for Standards in Education","Unknown","110","100","40920","39850"
"In post","2021","Office of Gas and Electricity Markets","Heterosexual / straight","470","460","43010","37370"
"In post","2021","Office of Gas and Electricity Markets","LGBO","60","60","39040","33200"
"In post","2021","Office of Gas and Electricity Markets","Undeclared","60","60","43420","36290"
"In post","2021","Office of Gas and Electricity Markets","Unknown","600","590","46890","41000"
"In post","2021","Office of Qualifications and Examinations Regulation","Heterosexual / straight","170","160","44970","40250"
"In post","2021","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Qualifications and Examinations Regulation","Unknown","70","60","50260","46660"
"In post","2021","Office of Rail and Road","Heterosexual / straight","170","160","51050","51310"
"In post","2021","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office of Rail and Road","Unknown","130","120","59620","60020"
"In post","2021","Other Cabinet Office Agencies","Heterosexual / straight","720","700","41370","35760"
"In post","2021","Other Cabinet Office Agencies","LGBO","40","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Undeclared","40","40","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","190","180","35660","32000"
"In post","2021","Scotland Office","Heterosexual / straight","40","40","[c]","[c]"
"In post","2021","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","Unknown","60","60","45700","41250"
"In post","2021","Scottish Government","Heterosexual / straight","11650","11090","39040","33650"
"In post","2021","Scottish Government","LGBO","790","780","36770","32140"
"In post","2021","Scottish Government","Undeclared","2380","2190","31340","29350"
"In post","2021","Scottish Government","Unknown","7410","6980","34380","30930"
"In post","2021","The National Archives","Heterosexual / straight","220","210","36510","34220"
"In post","2021","The National Archives","LGBO","30","30","[c]","[c]"
"In post","2021","The National Archives","Undeclared","50","50","[c]","[c]"
"In post","2021","The National Archives","Unknown","240","230","35140","32560"
"In post","2021","UK Export Finance","Heterosexual / straight","320","320","52510","47230"
"In post","2021","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Heterosexual / straight","3520","3120","32840","29540"
"In post","2021","United Kingdom Statistics Authority","LGBO","230","220","33700","29540"
"In post","2021","United Kingdom Statistics Authority","Undeclared","200","170","32260","29540"
"In post","2021","United Kingdom Statistics Authority","Unknown","1600","1440","31720","29540"
"In post","2021","Wales Office","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Heterosexual / straight","90","90","57820","52570"
"In post","2021","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Unknown","150","140","55860","49180"
"In post","2021","Welsh Government","Heterosexual / straight","4670","4400","40760","37410"
"In post","2021","Welsh Government","LGBO","210","200","41760","37410"
"In post","2021","Welsh Government","Undeclared","680","650","42710","37410"
"In post","2021","Welsh Government","Unknown","220","210","41240","37410"
"In post","2022","Attorney General's Departments","Heterosexual / straight","7240","6810","44190","48080"
"In post","2022","Attorney General's Departments","LGBO","480","460","44240","43920"
"In post","2022","Attorney General's Departments","Undeclared","430","410","46370","50500"
"In post","2022","Attorney General's Departments","Unknown","2060","1860","47990","52100"
"In post","2022","Cabinet Office","Heterosexual / straight","5520","5380","47120","40600"
"In post","2022","Cabinet Office","LGBO","570","570","44150","40600"
"In post","2022","Cabinet Office","Undeclared","570","560","47770","42040"
"In post","2022","Cabinet Office","Unknown","4390","4340","46610","34550"
"In post","2022","Chancellor's other departments","Heterosexual / straight","310","290","59810","51150"
"In post","2022","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Undeclared","80","70","61080","53500"
"In post","2022","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Heterosexual / straight","240","230","34960","29160"
"In post","2022","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Unknown","190","180","32890","29160"
"In post","2022","Competition and Markets Authority","Heterosexual / straight","700","680","60890","56630"
"In post","2022","Competition and Markets Authority","LGBO","60","60","59140","56110"
"In post","2022","Competition and Markets Authority","Undeclared","70","70","63140","60850"
"In post","2022","Competition and Markets Authority","Unknown","30","30","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","9780","9380","42500","40040"
"In post","2022","Department for Business, Energy and Industrial Strategy","LGBO","860","850","41740","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Undeclared","1320","1260","43450","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Unknown","2120","2020","35850","31880"
"In post","2022","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1490","1470","47390","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","LGBO","210","210","45920","51400"
"In post","2022","Department for Digital, Culture, Media and Sport","Undeclared","150","140","44510","38020"
"In post","2022","Department for Digital, Culture, Media and Sport","Unknown","160","160","46680","49300"
"In post","2022","Department for Education","Heterosexual / straight","6320","6080","43580","40230"
"In post","2022","Department for Education","LGBO","520","510","42940","37100"
"In post","2022","Department for Education","Undeclared","610","590","44030","40300"
"In post","2022","Department for Education","Unknown","1250","1210","43510","40230"
"In post","2022","Department for Environment, Food and Rural Affairs","Heterosexual / straight","8270","7890","36880","33090"
"In post","2022","Department for Environment, Food and Rural Affairs","LGBO","690","680","36210","32560"
"In post","2022","Department for Environment, Food and Rural Affairs","Undeclared","980","930","36520","33720"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","2840","2670","32240","28270"
"In post","2022","Department for International Trade","Heterosexual / straight","1740","1720","47330","44030"
"In post","2022","Department for International Trade","LGBO","200","200","45830","40600"
"In post","2022","Department for International Trade","Undeclared","150","150","46560","44030"
"In post","2022","Department for International Trade","Unknown","790","790","45180","39440"
"In post","2022","Department for Levelling Up, Housing and Communities","Heterosexual / straight","2970","2860","45750","42130"
"In post","2022","Department for Levelling Up, Housing and Communities","LGBO","330","330","43760","39600"
"In post","2022","Department for Levelling Up, Housing and Communities","Undeclared","280","270","45190","42060"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","570","540","42740","38330"
"In post","2022","Department for Transport","Heterosexual / straight","10430","9780","34350","29460"
"In post","2022","Department for Transport","LGBO","660","640","35560","30730"
"In post","2022","Department for Transport","Undeclared","2720","2380","30360","26780"
"In post","2022","Department for Transport","Unknown","2580","2450","31080","26700"
"In post","2022","Department for Work and Pensions","Heterosexual / straight","64140","58070","28760","27570"
"In post","2022","Department for Work and Pensions","LGBO","4030","3850","28470","27570"
"In post","2022","Department for Work and Pensions","Undeclared","7810","6980","28370","27570"
"In post","2022","Department for Work and Pensions","Unknown","18180","15760","27660","27570"
"In post","2022","Department of Health and Social Care","Heterosexual / straight","6830","6430","43910","40060"
"In post","2022","Department of Health and Social Care","LGBO","600","590","42660","38020"
"In post","2022","Department of Health and Social Care","Undeclared","2270","2160","45910","40650"
"In post","2022","Department of Health and Social Care","Unknown","2110","2020","49330","42480"
"In post","2022","Estyn","Heterosexual / straight","100","90","59530","75480"
"In post","2022","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Heterosexual / straight","1030","1000","38430","37350"
"In post","2022","Food Standards Agency","LGBO","70","70","40540","37350"
"In post","2022","Food Standards Agency","Undeclared","130","120","38870","37350"
"In post","2022","Food Standards Agency","Unknown","240","220","32490","27990"
"In post","2022","Foreign, Commonwealth and Development Office","Heterosexual / straight","5760","5620","47820","43300"
"In post","2022","Foreign, Commonwealth and Development Office","LGBO","410","400","47880","44770"
"In post","2022","Foreign, Commonwealth and Development Office","Undeclared","630","620","48970","44640"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","1440","1410","47730","48500"
"In post","2022","HM Land Registry","Heterosexual / straight","3970","3600","32240","27130"
"In post","2022","HM Land Registry","LGBO","180","170","30220","27130"
"In post","2022","HM Land Registry","Undeclared","650","570","33080","31740"
"In post","2022","HM Land Registry","Unknown","1840","1700","28790","27130"
"In post","2022","HM Revenue and Customs","Heterosexual / straight","41800","38960","34750","33080"
"In post","2022","HM Revenue and Customs","LGBO","2820","2720","33880","31900"
"In post","2022","HM Revenue and Customs","Undeclared","4950","4530","35250","33370"
"In post","2022","HM Revenue and Customs","Unknown","21790","20120","30330","26820"
"In post","2022","HM Treasury","Heterosexual / straight","2090","2030","48280","49500"
"In post","2022","HM Treasury","LGBO","210","210","46210","44940"
"In post","2022","HM Treasury","Undeclared","290","280","45810","43160"
"In post","2022","HM Treasury","Unknown","180","170","55110","50440"
"In post","2022","Home Office","Heterosexual / straight","27010","25200","32580","28650"
"In post","2022","Home Office","LGBO","1190","1150","33810","28670"
"In post","2022","Home Office","Undeclared","3910","3590","33220","28850"
"In post","2022","Home Office","Unknown","4430","4290","32340","27370"
"In post","2022","Ministry of Defence","Heterosexual / straight","40310","38940","34130","32630"
"In post","2022","Ministry of Defence","LGBO","1450","1430","33580","31600"
"In post","2022","Ministry of Defence","Undeclared","5910","5690","35430","33300"
"In post","2022","Ministry of Defence","Unknown","10150","9840","36810","34460"
"In post","2022","Ministry of Justice","Heterosexual / straight","60730","57000","30660","27980"
"In post","2022","Ministry of Justice","LGBO","4250","4140","30890","28010"
"In post","2022","Ministry of Justice","Undeclared","6800","6310","31580","28800"
"In post","2022","Ministry of Justice","Unknown","15130","14030","29020","26950"
"In post","2022","National Crime Agency","Heterosexual / straight","4260","4150","40750","37790"
"In post","2022","National Crime Agency","LGBO","220","220","37860","36410"
"In post","2022","National Crime Agency","Undeclared","360","350","39640","37390"
"In post","2022","National Crime Agency","Unknown","710","680","41710","39840"
"In post","2022","Northern Ireland Office","Heterosexual / straight","100","100","46390","41750"
"In post","2022","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Unknown","60","60","45090","39230"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","1510","1450","51180","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","LGBO","120","120","49730","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Undeclared","100","90","47480","39850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Unknown","100","90","40710","35010"
"In post","2022","Office of Gas and Electricity Markets","Heterosexual / straight","700","690","41730","35050"
"In post","2022","Office of Gas and Electricity Markets","LGBO","100","90","36120","30950"
"In post","2022","Office of Gas and Electricity Markets","Undeclared","80","80","42610","38500"
"In post","2022","Office of Gas and Electricity Markets","Unknown","470","460","47720","43650"
"In post","2022","Office of Qualifications and Examinations Regulation","Heterosexual / straight","200","190","43980","38760"
"In post","2022","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Unknown","60","60","49740","46660"
"In post","2022","Office of Rail and Road","Heterosexual / straight","220","210","52910","51660"
"In post","2022","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of Rail and Road","Undeclared","30","30","[c]","[c]"
"In post","2022","Office of Rail and Road","Unknown","70","70","59670","60020"
"In post","2022","Office of the Secretary of State for Scotland","Heterosexual / straight","50","50","50770","49860"
"In post","2022","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland","Unknown","60","50","45540","41750"
"In post","2022","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Scottish Government","Heterosexual / straight","13760","13150","39560","35000"
"In post","2022","Scottish Government","LGBO","1130","1100","36430","31540"
"In post","2022","Scottish Government","Undeclared","870","830","40760","36130"
"In post","2022","Scottish Government","Unknown","9570","9000","33950","30450"
"In post","2022","The National Archives","Heterosexual / straight","250","240","37280","34260"
"In post","2022","The National Archives","LGBO","40","40","[c]","[c]"
"In post","2022","The National Archives","Undeclared","60","60","35260","30830"
"In post","2022","The National Archives","Unknown","220","210","34990","32640"
"In post","2022","UK Export Finance","Heterosexual / straight","410","410","52180","47190"
"In post","2022","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","Undeclared","30","30","[c]","[c]"
"In post","2022","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","UK Statistics Authority","Heterosexual / straight","3960","3530","34020","30710"
"In post","2022","UK Statistics Authority","LGBO","280","270","34390","30710"
"In post","2022","UK Statistics Authority","Undeclared","250","230","33690","30810"
"In post","2022","UK Statistics Authority","Unknown","1390","1240","33000","30210"
"In post","2022","UK Supreme Court","Heterosexual / straight","40","40","[c]","[c]"
"In post","2022","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Heterosexual / straight","160","160","55160","49970"
"In post","2022","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Water Services Regulation Authority","Unknown","60","60","53260","48270"
"In post","2022","Welsh Government","Heterosexual / straight","4800","4530","41770","38160"
"In post","2022","Welsh Government","LGBO","240","230","42590","38160"
"In post","2022","Welsh Government","Undeclared","700","660","43120","38160"
"In post","2022","Welsh Government","Unknown","230","220","41670","35180"
"Leaver CS","2021","Attorney General's Departments","Heterosexual / straight","270","240","45310","50520"
"Leaver CS","2021","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","Unknown","110","90","52060","55610"
"Leaver CS","2021","Cabinet Office","Heterosexual / straight","140","130","47890","38700"
"Leaver CS","2021","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Cabinet Office","Unknown","200","200","48170","33300"
"Leaver CS","2021","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Heterosexual / straight","70","70","51530","46160"
"Leaver CS","2021","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","210","200","41960","37720"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Unknown","240","230","36560","28900"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Heterosexual / straight","40","40","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Heterosexual / straight","230","220","43800","40220"
"Leaver CS","2021","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Unknown","70","70","39450","36280"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Unknown","530","500","33630","27960"
"Leaver CS","2021","Department for International Trade","Heterosexual / straight","50","50","[c]","[c]"
"Leaver CS","2021","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Unknown","90","90","29280","18200"
"Leaver CS","2021","Department for Transport","Heterosexual / straight","390","330","30450","26380"
"Leaver CS","2021","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","Undeclared","150","120","29930","26590"
"Leaver CS","2021","Department for Transport","Unknown","160","150","28720","21590"
"Leaver CS","2021","Department for Work and Pensions","Heterosexual / straight","2410","2070","26770","25600"
"Leaver CS","2021","Department for Work and Pensions","LGBO","150","140","26310","25110"
"Leaver CS","2021","Department for Work and Pensions","Undeclared","310","260","28280","26890"
"Leaver CS","2021","Department for Work and Pensions","Unknown","1640","1370","26930","26890"
"Leaver CS","2021","Department of Health and Social Care","Heterosexual / straight","600","530","39990","33090"
"Leaver CS","2021","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","Undeclared","100","80","43030","38890"
"Leaver CS","2021","Department of Health and Social Care","Unknown","310","130","45310","37780"
"Leaver CS","2021","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Heterosexual / straight","30","30","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Heterosexual / straight","90","80","44830","38600"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
