"Status","Year","Function_of_post","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","London","320","310","45280","41850"
"In post","2021","Analysis","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","London","130","130","40500","38360"
"In post","2021","Analysis","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","London","50","50","48430","45970"
"In post","2021","Analysis","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","London","130","130","44960","41890"
"In post","2021","Analysis","Mixed","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","London","30","30","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","London","110","110","50270","45800"
"In post","2021","Analysis","Undeclared","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","South East (England)","50","50","[c]","[c]"
"In post","2021","Analysis","Undeclared","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","London","530","510","45830","42280"
"In post","2021","Analysis","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","North West (England)","60","50","34840","31810"
"In post","2021","Analysis","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","South East (England)","80","80","33960","30130"
"In post","2021","Analysis","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Wales","210","210","33040","29540"
"In post","2021","Analysis","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Analysis","White","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Analysis","White","East of England","350","330","35040","30660"
"In post","2021","Analysis","White","London","2140","2070","50890","47880"
"In post","2021","Analysis","White","North East (England)","50","50","42460","42220"
"In post","2021","Analysis","White","North West (England)","260","250","39380","38630"
"In post","2021","Analysis","White","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Scotland","50","50","[c]","[c]"
"In post","2021","Analysis","White","South East (England)","700","660","39550","37320"
"In post","2021","Analysis","White","South West (England)","390","370","37220","35720"
"In post","2021","Analysis","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","White","Wales","800","760","37140","36030"
"In post","2021","Analysis","White","West Midlands (England)","40","30","[c]","[c]"
"In post","2021","Analysis","White","Yorkshire and The Humber","280","260","41960","41990"
"In post","2021","Commercial","Asian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","London","150","150","45060","37640"
"In post","2021","Commercial","Asian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Commercial","Asian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","London","120","120","42740","38180"
"In post","2021","Commercial","Black","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
