"Status","Year","Profession_of_post","Ethnicity","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","EO","40","30","[c]","[c]"
"In post","2021","Commercial","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","SEO/HEO","140","140","37870","36960"
"In post","2021","Commercial","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","EO","30","30","[c]","[c]"
"In post","2021","Commercial","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","SEO/HEO","100","100","38930","38160"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","G6/G7","40","40","[c]","[c]"
"In post","2021","Commercial","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","SEO/HEO","140","140","37670","37990"
"In post","2021","Commercial","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","50","50","22370","21590"
"In post","2021","Commercial","Unknown","EO","80","80","25230","25610"
"In post","2021","Commercial","Unknown","G6/G7","100","100","54870","53360"
"In post","2021","Commercial","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","320","310","36810","37400"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","White","AA/AO","170","160","22440","21590"
"In post","2021","Commercial","White","EO","510","480","25850","26400"
"In post","2021","Commercial","White","G6/G7","810","780","59430","56840"
"In post","2021","Commercial","White","SCS","70","70","90410","83150"
"In post","2021","Commercial","White","SEO/HEO","2280","2200","37700","37100"
"In post","2021","Commercial","White","Unknown","170","170","38330","37400"
"In post","2021","Communications","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","EO","40","40","[c]","[c]"
"In post","2021","Communications","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Asian","SEO/HEO","100","100","38040","37320"
"In post","2021","Communications","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Black","SEO/HEO","60","60","38090","37320"
"In post","2021","Communications","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mixed","SEO/HEO","60","60","38070","38370"
"In post","2021","Communications","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Undeclared","SEO/HEO","60","60","38880","39180"
"In post","2021","Communications","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","130","120","27250","27270"
"In post","2021","Communications","Unknown","G6/G7","190","190","57660","54860"
"In post","2021","Communications","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","330","320","38100","37480"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","White","AA/AO","180","170","22010","21590"
"In post","2021","Communications","White","EO","400","380","27400","26780"
"In post","2021","Communications","White","G6/G7","660","630","58070","56900"
"In post","2021","Communications","White","SCS","80","80","88430","82250"
"In post","2021","Communications","White","SEO/HEO","1400","1350","37830","37410"
"In post","2021","Communications","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
