"Status","Year","Sex","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Unknown","Attorney General's Departments","1470","1280","45870","50520"
"In post","2021","Female","Unknown","Cabinet Office","2170","2130","42670","32000"
"In post","2021","Female","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Charity Commission","100","90","34130","29320"
"In post","2021","Female","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Department for Business, Energy and Industrial Strategy","1990","1850","34440","32730"
"In post","2021","Female","Unknown","Department for Digital, Culture, Media and Sport","120","120","48210","51730"
"In post","2021","Female","Unknown","Department for Education","840","790","43820","40230"
"In post","2021","Female","Unknown","Department for Environment, Food and Rural Affairs","1470","1340","32250","28170"
"In post","2021","Female","Unknown","Department for International Trade","400","390","42510","38540"
"In post","2021","Female","Unknown","Department for Transport","1090","1000","29740","26130"
"In post","2021","Female","Unknown","Department for Work and Pensions","14320","11800","26620","27570"
"In post","2021","Female","Unknown","Department of Health and Social Care","2150","2020","46520","40650"
"In post","2021","Female","Unknown","Food Standards Agency","60","60","38570","33150"
"In post","2021","Female","Unknown","Foreign, Commonwealth and Development Office","770","750","46740","43970"
"In post","2021","Female","Unknown","HM Land Registry","1150","1030","27860","27130"
"In post","2021","Female","Unknown","HM Revenue and Customs","11880","10350","27080","24120"
"In post","2021","Female","Unknown","HM Treasury","100","90","45800","39690"
"In post","2021","Female","Unknown","Home Office","840","810","31540","27060"
"In post","2021","Female","Unknown","Ministry of Defence","2180","2030","33870","32020"
"In post","2021","Female","Unknown","Ministry of Housing, Communities and Local Government","160","150","39150","32780"
"In post","2021","Female","Unknown","Ministry of Justice","6290","5760","27650","24440"
"In post","2021","Female","Unknown","National Crime Agency","350","330","39420","37520"
"In post","2021","Female","Unknown","Northern Ireland Office","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Office for Standards in Education","80","70","40910","39850"
"In post","2021","Female","Unknown","Office of Gas and Electricity Markets","270","260","44040","38550"
"In post","2021","Female","Unknown","Office of Qualifications and Examinations Regulation","40","30","[c]","[c]"
"In post","2021","Female","Unknown","Office of Rail and Road","40","40","[c]","[c]"
"In post","2021","Female","Unknown","Other Cabinet Office Agencies","90","90","35590","32000"
"In post","2021","Female","Unknown","Scotland Office","30","30","[c]","[c]"
"In post","2021","Female","Unknown","Scottish Government","3240","3000","34190","30080"
"In post","2021","Female","Unknown","The National Archives","120","110","36060","33450"
"In post","2021","Female","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","United Kingdom Statistics Authority","840","730","29890","29540"
"In post","2021","Female","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Water Services Regulation Authority","70","60","55290","44680"
"In post","2021","Female","Unknown","Welsh Government","110","100","39770","34490"
"In post","2021","Male","Heterosexual / straight","Attorney General's Departments","2280","2230","46660","48830"
"In post","2021","Male","Heterosexual / straight","Cabinet Office","1940","1920","50540","49700"
"In post","2021","Male","Heterosexual / straight","Chancellor's other departments","160","150","64840","55220"
"In post","2021","Male","Heterosexual / straight","Charity Commission","100","100","34560","29160"
"In post","2021","Male","Heterosexual / straight","Competition and Markets Authority","320","320","61680","58320"
"In post","2021","Male","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","3260","3200","45730","40940"
"In post","2021","Male","Heterosexual / straight","Department for Digital, Culture, Media and Sport","550","550","50570","51730"
"In post","2021","Male","Heterosexual / straight","Department for Education","2190","2170","44780","40510"
"In post","2021","Male","Heterosexual / straight","Department for Environment, Food and Rural Affairs","2940","2890","38780","35900"
"In post","2021","Male","Heterosexual / straight","Department for International Trade","810","800","47070","42160"
"In post","2021","Male","Heterosexual / straight","Department for Transport","5420","5270","36120","30780"
"In post","2021","Male","Heterosexual / straight","Department for Work and Pensions","20600","19840","29480","27570"
"In post","2021","Male","Heterosexual / straight","Department of Health and Social Care","2160","2090","47580","40850"
"In post","2021","Male","Heterosexual / straight","ESTYN","40","40","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","Food Standards Agency","470","460","37490","32830"
"In post","2021","Male","Heterosexual / straight","Foreign, Commonwealth and Development Office","2960","2930","48500","44230"
"In post","2021","Male","Heterosexual / straight","HM Land Registry","1370","1300","33680","31740"
"In post","2021","Male","Heterosexual / straight","HM Revenue and Customs","16910","16270","34130","31810"
"In post","2021","Male","Heterosexual / straight","HM Treasury","970","960","49550","52500"
"In post","2021","Male","Heterosexual / straight","Home Office","13290","12720","32440","27370"
"In post","2021","Male","Heterosexual / straight","Ministry of Defence","24670","24250","35070","33300"
"In post","2021","Male","Heterosexual / straight","Ministry of Housing, Communities and Local Government","1230","1200","47170","46320"
"In post","2021","Male","Heterosexual / straight","Ministry of Justice","23970","23190","31120","28800"
"In post","2021","Male","Heterosexual / straight","National Crime Agency","2260","2250","42390","40170"
"In post","2021","Male","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","Office for Standards in Education","450","440","52440","51360"
"In post","2021","Male","Heterosexual / straight","Office of Gas and Electricity Markets","250","240","43170","37130"
"In post","2021","Male","Heterosexual / straight","Office of Qualifications and Examinations Regulation","60","60","49940","46660"
"In post","2021","Male","Heterosexual / straight","Office of Rail and Road","90","80","52380","51730"
"In post","2021","Male","Heterosexual / straight","Other Cabinet Office Agencies","350","350","44070","37010"
"In post","2021","Male","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","Scottish Government","5230","5070","39580","34150"
"In post","2021","Male","Heterosexual / straight","The National Archives","100","90","38400","35130"
"In post","2021","Male","Heterosexual / straight","UK Export Finance","200","190","55450","50430"
"In post","2021","Male","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","United Kingdom Statistics Authority","1440","1300","34100","30130"
"In post","2021","Male","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","Water Services Regulation Authority","40","40","[c]","[c]"
"In post","2021","Male","Heterosexual / straight","Welsh Government","1840","1800","42480","37410"
"In post","2021","Male","LGBO","Attorney General's Departments","250","240","47650","50510"
"In post","2021","Male","LGBO","Cabinet Office","270","270","46990","43890"
"In post","2021","Male","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Male","LGBO","Department for Business, Energy and Industrial Strategy","370","360","45110","40220"
"In post","2021","Male","LGBO","Department for Digital, Culture, Media and Sport","100","100","51280","51730"
"In post","2021","Male","LGBO","Department for Education","220","220","43910","37100"
"In post","2021","Male","LGBO","Department for Environment, Food and Rural Affairs","260","260","37090","32830"
"In post","2021","Male","LGBO","Department for International Trade","130","120","48750","51710"
"In post","2021","Male","LGBO","Department for Transport","340","330","38130","33990"
"In post","2021","Male","LGBO","Department for Work and Pensions","2000","1940","28320","27570"
"In post","2021","Male","LGBO","Department of Health and Social Care","240","230","46400","40650"
"In post","2021","Male","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Foreign, Commonwealth and Development Office","260","260","50630","53000"
"In post","2021","Male","LGBO","HM Land Registry","80","80","30370","27130"
"In post","2021","Male","LGBO","HM Revenue and Customs","1290","1260","32620","28130"
"In post","2021","Male","LGBO","HM Treasury","90","90","48970","52500"
"In post","2021","Male","LGBO","Home Office","680","660","33710","28760"
"In post","2021","Male","LGBO","Ministry of Defence","770","760","33940","32670"
"In post","2021","Male","LGBO","Ministry of Housing, Communities and Local Government","140","130","48480","48680"
"In post","2021","Male","LGBO","Ministry of Justice","1300","1270","31550","28200"
"In post","2021","Male","LGBO","National Crime Agency","80","80","38330","36410"
"In post","2021","Male","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Office for Standards in Education","80","80","46510","35010"
"In post","2021","Male","LGBO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Male","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Scottish Government","400","390","38310","33620"
"In post","2021","Male","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","United Kingdom Statistics Authority","110","100","35330","30130"
"In post","2021","Male","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","LGBO","Welsh Government","110","110","43500","38360"
"In post","2021","Male","Undeclared","Attorney General's Departments","150","150","49080","51250"
"In post","2021","Male","Undeclared","Cabinet Office","280","270","49780","47050"
"In post","2021","Male","Undeclared","Chancellor's other departments","60","50","62710","50540"
"In post","2021","Male","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Department for Business, Energy and Industrial Strategy","500","480","46620","43470"
"In post","2021","Male","Undeclared","Department for Digital, Culture, Media and Sport","50","50","49250","51730"
"In post","2021","Male","Undeclared","Department for Education","240","240","45500","42420"
"In post","2021","Male","Undeclared","Department for Environment, Food and Rural Affairs","400","390","37400","34010"
"In post","2021","Male","Undeclared","Department for International Trade","70","70","46650","40780"
"In post","2021","Male","Undeclared","Department for Transport","1510","1420","32820","27680"
"In post","2021","Male","Undeclared","Department for Work and Pensions","2800","2670","29480","27570"
"In post","2021","Male","Undeclared","Department of Health and Social Care","340","320","50500","43360"
"In post","2021","Male","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Food Standards Agency","60","60","38990","35630"
"In post","2021","Male","Undeclared","Foreign, Commonwealth and Development Office","400","390","49340","43850"
"In post","2021","Male","Undeclared","HM Land Registry","270","250","34720","33840"
"In post","2021","Male","Undeclared","HM Revenue and Customs","2480","2340","35180","31810"
"In post","2021","Male","Undeclared","HM Treasury","170","170","46700","46280"
"In post","2021","Male","Undeclared","Home Office","2150","2030","33720","29080"
"In post","2021","Male","Undeclared","Ministry of Defence","4150","4050","36570","34640"
"In post","2021","Male","Undeclared","Ministry of Housing, Communities and Local Government","140","130","45650","46670"
"In post","2021","Male","Undeclared","Ministry of Justice","3080","2940","32090","31650"
"In post","2021","Male","Undeclared","National Crime Agency","190","190","39160","36740"
"In post","2021","Male","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Male","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Scottish Government","880","840","32990","29350"
"In post","2021","Male","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","United Kingdom Statistics Authority","90","80","32990","31270"
"In post","2021","Male","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","Undeclared","Welsh Government","290","290","44930","39680"
"In post","2021","Male","Unknown","Attorney General's Departments","780","760","49980","55450"
"In post","2021","Male","Unknown","Cabinet Office","1930","1920","48310","34640"
"In post","2021","Male","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Charity Commission","80","70","37100","30980"
"In post","2021","Male","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Department for Business, Energy and Industrial Strategy","2560","2500","39030","38980"
"In post","2021","Male","Unknown","Department for Digital, Culture, Media and Sport","110","110","48200","46050"
"In post","2021","Male","Unknown","Department for Education","630","630","44710","40430"
"In post","2021","Male","Unknown","Department for Environment, Food and Rural Affairs","1260","1220","34430","29750"
"In post","2021","Male","Unknown","Department for International Trade","420","420","46100","39440"
"In post","2021","Male","Unknown","Department for Transport","1430","1380","32800","28000"
"In post","2021","Male","Unknown","Department for Work and Pensions","7290","6920","28610","27570"
"In post","2021","Male","Unknown","Department of Health and Social Care","1330","1310","50490","47560"
"In post","2021","Male","Unknown","Food Standards Agency","230","220","31320","26750"
"In post","2021","Male","Unknown","Foreign, Commonwealth and Development Office","790","780","47930","47430"
"In post","2021","Male","Unknown","HM Land Registry","810","780","30010","27130"
"In post","2021","Male","Unknown","HM Revenue and Customs","10750","10310","29520","25560"
"In post","2021","Male","Unknown","HM Treasury","140","140","59350","57070"
"In post","2021","Male","Unknown","Home Office","940","930","32010","25630"
"In post","2021","Male","Unknown","Ministry of Defence","5280","5220","35500","33290"
"In post","2021","Male","Unknown","Ministry of Housing, Communities and Local Government","200","190","41240","34860"
"In post","2021","Male","Unknown","Ministry of Justice","7120","6730","29480","28860"
"In post","2021","Male","Unknown","National Crime Agency","510","500","42940","40210"
"In post","2021","Male","Unknown","Northern Ireland Office","30","30","[c]","[c]"
"In post","2021","Male","Unknown","Office for Standards in Education","40","30","[c]","[c]"
"In post","2021","Male","Unknown","Office of Gas and Electricity Markets","330","330","49260","44520"
"In post","2021","Male","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Office of Rail and Road","90","80","63920","62340"
"In post","2021","Male","Unknown","Other Cabinet Office Agencies","100","100","35730","33780"
"In post","2021","Male","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Scottish Government","4170","3980","34520","33650"
"In post","2021","Male","Unknown","The National Archives","120","120","34270","31390"
"In post","2021","Male","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","United Kingdom Statistics Authority","750","690","33680","29560"
"In post","2021","Male","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Male","Unknown","Water Services Regulation Authority","80","80","56350","51630"
"In post","2021","Male","Unknown","Welsh Government","110","110","42620","37410"
"In post","2021","Unknown","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","Attorney General's Departments","4850","4460","42880","41490"
"In post","2022","Female","Heterosexual / straight","Cabinet Office","3080","2960","44830","40250"
"In post","2022","Female","Heterosexual / straight","Chancellor's other departments","140","130","55110","47520"
"In post","2022","Female","Heterosexual / straight","Charity Commission","150","140","35370","29160"
"In post","2022","Female","Heterosexual / straight","Competition and Markets Authority","360","340","58570","55930"
"In post","2022","Female","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","5020","4710","40660","38200"
"In post","2022","Female","Heterosexual / straight","Department for Digital, Culture, Media and Sport","830","810","46790","47070"
"In post","2022","Female","Heterosexual / straight","Department for Education","3840","3630","42770","37290"
"In post","2022","Female","Heterosexual / straight","Department for Environment, Food and Rural Affairs","4820","4500","35750","32560"
"In post","2022","Female","Heterosexual / straight","Department for International Trade","840","830","46550","42930"
"In post","2022","Female","Heterosexual / straight","Department for Levelling Up, Housing and Communities","1560","1480","45070","40720"
"In post","2022","Female","Heterosexual / straight","Department for Transport","4800","4310","32060","26780"
"In post","2022","Female","Heterosexual / straight","Department for Work and Pensions","41820","36540","28040","27570"
"In post","2022","Female","Heterosexual / straight","Department of Health and Social Care","4600","4280","42580","38200"
"In post","2022","Female","Heterosexual / straight","Estyn","60","50","55510","64520"
"In post","2022","Female","Heterosexual / straight","Food Standards Agency","490","480","39290","37350"
"In post","2022","Female","Heterosexual / straight","Foreign, Commonwealth and Development Office","2880","2780","46940","42190"
"In post","2022","Female","Heterosexual / straight","HM Land Registry","2470","2190","31350","27130"
"In post","2022","Female","Heterosexual / straight","HM Revenue and Customs","22500","20280","33710","31020"
"In post","2022","Female","Heterosexual / straight","HM Treasury","1060","1010","46530","42950"
"In post","2022","Female","Heterosexual / straight","Home Office","14280","12920","32070","28650"
"In post","2022","Female","Heterosexual / straight","Ministry of Defence","16830","15870","32580","29000"
"In post","2022","Female","Heterosexual / straight","Ministry of Justice","35170","32340","29840","26400"
"In post","2022","Female","Heterosexual / straight","National Crime Agency","1940","1860","38190","36410"
"In post","2022","Female","Heterosexual / straight","Northern Ireland Office","60","60","46640","41750"
"In post","2022","Female","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","1050","1000","50260","51360"
"In post","2022","Female","Heterosexual / straight","Office of Gas and Electricity Markets","350","340","41510","35500"
"In post","2022","Female","Heterosexual / straight","Office of Qualifications and Examinations Regulation","130","120","41380","38000"
"In post","2022","Female","Heterosexual / straight","Office of Rail and Road","100","90","50790","50810"
"In post","2022","Female","Heterosexual / straight","Office of the Secretary of State for Scotland","40","30","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Female","Heterosexual / straight","Scottish Government","7770","7320","39130","34600"
