"Status","Year","Profession_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","Female","190","180","33620","33340"
"In post","2021","Commercial","Crown Commercial Service","Male","180","180","34510","34800"
"In post","2021","Commercial","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Defence Equipment and Support","Female","480","450","37410","34100"
"In post","2021","Commercial","Defence Equipment and Support","Male","440","430","41740","37530"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Female","40","30","[c]","[c]"
"In post","2021","Commercial","Defence Science and Technology Laboratory","Male","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Education (excl. agencies)","Female","100","90","39720","38000"
"In post","2021","Commercial","Department for Education (excl. agencies)","Male","90","90","39880","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","90","80","37580","36970"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","60","60","41680","37940"
"In post","2021","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Female","40","40","[c]","[c]"
"In post","2021","Commercial","Department for Transport (excl. agencies)","Male","50","50","51190","54110"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","Female","120","110","47050","40650"
