"Status","Year","Profession_of_post","Sex","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Business, Energy and Industrial Strategy","130","120","41130","39650"
"In post","2021","Commercial","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Education","200","190","39790","37100"
"In post","2021","Commercial","Female","Department for Environment, Food and Rural Affairs","100","100","36680","36520"
"In post","2021","Commercial","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Transport","150","130","36710","32180"
"In post","2021","Commercial","Female","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department of Health and Social Care","130","130","45170","40650"
"In post","2021","Commercial","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Foreign, Commonwealth and Development Office","90","90","43040","39860"
"In post","2021","Commercial","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","HM Revenue and Customs","40","40","[c]","[c]"
"In post","2021","Commercial","Female","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Home Office","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Ministry of Defence","1080","1010","36470","34500"
"In post","2021","Commercial","Female","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Ministry of Justice","500","480","43400","40060"
"In post","2021","Commercial","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Other Cabinet Office Agencies","190","180","33690","33340"
"In post","2021","Commercial","Female","Scottish Government","40","40","[c]","[c]"
"In post","2021","Commercial","Female","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Department for Business, Energy and Industrial Strategy","120","120","45830","47140"
