"Status","Year","Age","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","No function","230","220","21410","20600"
"In post","2021","16-19","Declared non-disabled","Project Delivery","70","70","18570","17780"
"In post","2021","16-19","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","260","250","22510","21010"
"In post","2021","16-19","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","40","30","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","No function","230","220","20650","20140"
