"Status","Year","Profession_of_post","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","20-29","600","600","31410","29720"
"In post","2021","Commercial","Commercial","30-39","950","910","38510","37100"
"In post","2021","Commercial","Commercial","40-49","1030","990","42820","39860"
"In post","2021","Commercial","Commercial","50-59","1210","1190","44100","40890"
"In post","2021","Commercial","Commercial","60-64","240","210","43810","40580"
"In post","2021","Commercial","Commercial","65+","60","50","38340","35340"
"In post","2021","Commercial","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","20-29","60","50","33740","32940"
"In post","2021","Commercial","No function","30-39","60","60","44770","40640"
"In post","2021","Commercial","No function","40-49","80","80","49030","49860"
"In post","2021","Commercial","No function","50-59","80","80","45850","40300"
"In post","2021","Commercial","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","20-29","170","170","27490","28300"
"In post","2021","Commercial","Project Delivery","30-39","230","220","36280","34770"
"In post","2021","Commercial","Project Delivery","40-49","170","160","43580","41260"
"In post","2021","Commercial","Project Delivery","50-59","170","170","46300","42260"
"In post","2021","Commercial","Project Delivery","60-64","50","40","[c]","[c]"
"In post","2021","Commercial","Project Delivery","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","40-49","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","50-59","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","20-29","740","730","33960","32790"
"In post","2021","Communications","Communications","30-39","980","950","42950","40230"
"In post","2021","Communications","Communications","40-49","900","850","46000","41580"
"In post","2021","Communications","Communications","50-59","640","620","41640","36780"
"In post","2021","Communications","Communications","60-64","120","110","38020","34590"
"In post","2021","Communications","Communications","65+","40","30","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","30-39","40","30","[c]","[c]"
"In post","2021","Communications","No function","40-49","30","30","[c]","[c]"
"In post","2021","Communications","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","20-29","60","60","38030","37320"
"In post","2021","Communications","Unknown","30-39","120","120","45480","43160"
"In post","2021","Communications","Unknown","40-49","100","90","45830","43760"
"In post","2021","Communications","Unknown","50-59","60","60","46710","42610"
"In post","2021","Communications","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","30-39","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Finance","40-49","40","40","[c]","[c]"
"In post","2021","Corporate Finance","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","20-29","60","60","31700","33100"
"In post","2021","Counter Fraud","Counter Fraud","30-39","140","140","39480","35600"
"In post","2021","Counter Fraud","Counter Fraud","40-49","150","150","41470","39490"
"In post","2021","Counter Fraud","Counter Fraud","50-59","230","230","43860","39490"
"In post","2021","Counter Fraud","Counter Fraud","60-64","70","60","39420","36060"
"In post","2021","Counter Fraud","Counter Fraud","65+","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","30-39","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","40-49","60","50","27980","25310"
"In post","2021","Counter Fraud","Unknown","50-59","60","50","25970","25310"
"In post","2021","Counter Fraud","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","20-29","50","50","37770","36980"
"In post","2021","Digital, Data and Technology","Analysis","30-39","70","70","40820","41990"
"In post","2021","Digital, Data and Technology","Analysis","40-49","70","60","46670","45250"
"In post","2021","Digital, Data and Technology","Analysis","50-59","50","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Analysis","65+","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","20-29","1590","1580","32750","31810"
"In post","2021","Digital, Data and Technology","Digital, Data & Technology","30-39","2670","2620","40490","38000"
