"Status","Year","Ethnicity","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Cabinet Office (excl. agencies)","60","50","41990","35590"
"In post","2021","Asian","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Crown Prosecution Service","50","50","40240","34480"
"In post","2021","Asian","Declared disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Education (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Work and Pensions (excl. agencies)","980","880","27730","27570"
"In post","2021","Asian","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
