"Status","Year","Function_of_post","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","White","40","40","[c]","[c]"
"In post","2021","Analysis","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","White","350","330","35040","30660"
"In post","2021","Analysis","London","Asian","320","310","45280","41850"
"In post","2021","Analysis","London","Black","130","130","40500","38360"
"In post","2021","Analysis","London","Chinese","50","50","48430","45970"
"In post","2021","Analysis","London","Mixed","130","130","44960","41890"
"In post","2021","Analysis","London","Other ethnicity","30","30","[c]","[c]"
"In post","2021","Analysis","London","Undeclared","110","110","50270","45800"
"In post","2021","Analysis","London","Unknown","530","510","45830","42280"
"In post","2021","Analysis","London","White","2140","2070","50890","47880"
"In post","2021","Analysis","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","White","50","50","42460","42220"
"In post","2021","Analysis","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Unknown","60","50","34840","31810"
"In post","2021","Analysis","North West (England)","White","260","250","39380","38630"
"In post","2021","Analysis","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","White","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","White","50","50","[c]","[c]"
"In post","2021","Analysis","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Undeclared","50","50","[c]","[c]"
"In post","2021","Analysis","South East (England)","Unknown","80","80","33960","30130"
"In post","2021","Analysis","South East (England)","White","700","660","39550","37320"
"In post","2021","Analysis","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Chinese","[c]","[c]","[c]","[c]"
