"Status","Year","Region_ITL1","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","16-19","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Female","20-29","1620","1570","24960","24440"
"In post","2021","East Midlands (England)","Female","30-39","2370","2110","28540","27370"
"In post","2021","East Midlands (England)","Female","40-49","2940","2600","30630","27570"
"In post","2021","East Midlands (England)","Female","50-59","3900","3530","29620","27570"
"In post","2021","East Midlands (England)","Female","60-64","950","760","26240","23490"
"In post","2021","East Midlands (England)","Female","65+","200","150","26650","21500"
"In post","2021","East Midlands (England)","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Male","20-29","1390","1380","25760","25560"
"In post","2021","East Midlands (England)","Male","30-39","1880","1850","29180","27370"
"In post","2021","East Midlands (England)","Male","40-49","2040","2000","31980","27680"
"In post","2021","East Midlands (England)","Male","50-59","2940","2850","33140","30950"
"In post","2021","East Midlands (England)","Male","60-64","820","710","31020","27570"
"In post","2021","East Midlands (England)","Male","65+","260","200","29210","26780"
"In post","2021","East of England","Female","16-19","30","30","[c]","[c]"
"In post","2021","East of England","Female","20-29","1600","1560","26140","25400"
"In post","2021","East of England","Female","30-39","2260","2020","29900","27570"
"In post","2021","East of England","Female","40-49","2920","2570","31350","28080"
"In post","2021","East of England","Female","50-59","4000","3650","30460","27570"
"In post","2021","East of England","Female","60-64","1050","890","28040","26930"
"In post","2021","East of England","Female","65+","310","230","25810","24540"
"In post","2021","East of England","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","16-19","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Male","20-29","1270","1260","27060","27140"
"In post","2021","East of England","Male","30-39","1800","1790","30810","29290"
"In post","2021","East of England","Male","40-49","2370","2340","32890","30400"
"In post","2021","East of England","Male","50-59","3510","3410","34200","31650"
"In post","2021","East of England","Male","60-64","1070","920","31850","29200"
"In post","2021","East of England","Male","65+","380","300","31150","27850"
"In post","2021","East of England","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Female","16-19","90","80","25170","24490"
"In post","2021","London","Female","20-29","13020","12920","35320","32790"
"In post","2021","London","Female","30-39","13130","12470","45120","41760"
"In post","2021","London","Female","40-49","12280","11250","47140","41950"
"In post","2021","London","Female","50-59","12750","12050","42170","35390"
"In post","2021","London","Female","60-64","2900","2540","37640","31520"
"In post","2021","London","Female","65+","1100","880","33570","29080"
"In post","2021","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Male","16-19","70","70","25200","25170"
"In post","2021","London","Male","20-29","9980","9940","36490","33570"
"In post","2021","London","Male","30-39","11180","11090","46390","42470"
"In post","2021","London","Male","40-49","10020","9920","49860","44510"
"In post","2021","London","Male","50-59","11470","11290","47550","40960"
"In post","2021","London","Male","60-64","2800","2530","44620","37700"
"In post","2021","London","Male","65+","1130","940","41220","33390"
"In post","2021","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","20-29","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Female","16-19","50","50","[c]","[c]"
"In post","2021","North East (England)","Female","20-29","2130","2060","24970","23970"
"In post","2021","North East (England)","Female","30-39","3440","3040","27330","25560"
"In post","2021","North East (England)","Female","40-49","4450","3880","28680","25750"
"In post","2021","North East (England)","Female","50-59","5750","4910","27800","25560"
"In post","2021","North East (England)","Female","60-64","1820","1300","25040","21440"
"In post","2021","North East (England)","Female","65+","400","270","24120","21440"
"In post","2021","North East (England)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North East (England)","Male","16-19","50","50","[c]","[c]"
"In post","2021","North East (England)","Male","20-29","1800","1770","24890","23970"
"In post","2021","North East (England)","Male","30-39","2770","2730","29130","26300"
"In post","2021","North East (England)","Male","40-49","3030","2980","31370","27570"
"In post","2021","North East (England)","Male","50-59","3590","3410","31560","27570"
"In post","2021","North East (England)","Male","60-64","1050","830","28220","26520"
"In post","2021","North East (England)","Male","65+","290","210","25330","21440"
"In post","2021","North East (England)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Female","16-19","90","80","20860","21010"
"In post","2021","North West (England)","Female","20-29","4530","4400","25410","24890"
"In post","2021","North West (England)","Female","30-39","6450","5830","28820","26810"
"In post","2021","North West (England)","Female","40-49","8570","7620","30140","27570"
"In post","2021","North West (England)","Female","50-59","10960","9840","29480","27570"
"In post","2021","North West (England)","Female","60-64","2820","2150","26600","24690"
"In post","2021","North West (England)","Female","65+","720","500","25260","21440"
"In post","2021","North West (England)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","North West (England)","Male","16-19","60","50","21310","21000"
"In post","2021","North West (England)","Male","20-29","3820","3780","25740","24890"
"In post","2021","North West (England)","Male","30-39","5610","5550","29590","27570"
"In post","2021","North West (England)","Male","40-49","6000","5900","32080","27570"
"In post","2021","North West (England)","Male","50-59","7250","7020","32950","28130"
"In post","2021","North West (England)","Male","60-64","1840","1520","30800","27570"
"In post","2021","North West (England)","Male","65+","630","470","29160","26710"
"In post","2021","North West (England)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","20-29","200","190","23570","20310"
"In post","2021","Northern Ireland","Female","30-39","390","350","28700","25560"
"In post","2021","Northern Ireland","Female","40-49","460","420","28620","25560"
"In post","2021","Northern Ireland","Female","50-59","550","510","30380","27650"
"In post","2021","Northern Ireland","Female","60-64","120","90","26110","22330"
"In post","2021","Northern Ireland","Female","65+","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland","Male","16-19","[c]","[c]","[c]","[c]"
