"Status","Year","Responsibility_level","Region_ITL2","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Asian","140","130","23530","22910"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Black","60","50","24580","22980"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Mixed","40","40","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Undeclared","50","50","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Unknown","160","150","24610","22650"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","White","810","750","24600","22980"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Asian","200","180","23520","22380"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Black","100","100","25500","23430"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Mixed","60","60","25180","23520"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","150","140","26230","22440"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","550","540","25960","25540"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","White","2490","2380","25640","23270"
"In post","2021","AA/AO","Cheshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Unknown","160","160","22340","21050"
"In post","2021","AA/AO","Cheshire","White","980","890","23350","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Undeclared","40","30","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","80","70","20990","21010"
