"Status","Year","Region_ITL3","Region_ITL2","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Department for Business, Energy and Industrial Strategy","130","130","47200","41420"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Department for Transport","80","70","32730","27680"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Department for Work and Pensions","370","340","41210","27570"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Home Office","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Ministry of Defence","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","North Eastern Scotland","Scottish Government","1120","1060","33530","30650"
"In post","2021","Angus and Dundee City","Eastern Scotland","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Department for Work and Pensions","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Eastern Scotland","HM Revenue and Customs","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Eastern Scotland","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Eastern Scotland","Scottish Government","580","550","31870","27150"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Northern Ireland","Ministry of Defence","180","180","23500","20310"
"In post","2021","Ards and North Down","Northern Ireland","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Department for Transport","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Northern Ireland","Ministry of Defence","180","180","23350","20310"
"In post","2021","Armagh City, Banbridge and Craigavon","Northern Ireland","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Department for Work and Pensions","460","420","30980","31060"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Outer London - East and North East","Ministry of Justice","120","100","28080","24660"
"In post","2021","Barnet","Outer London - West and North West","Department for Transport","30","30","[c]","[c]"
"In post","2021","Barnet","Outer London - West and North West","Department for Work and Pensions","300","280","30710","31060"
"In post","2021","Barnet","Outer London - West and North West","Department of Health and Social Care","1100","1040","43010","39110"
"In post","2021","Barnet","Outer London - West and North West","Home Office","150","150","44640","42170"
"In post","2021","Barnet","Outer London - West and North West","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Outer London - West and North West","Ministry of Justice","90","80","28070","26810"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Department for Transport","60","50","27490","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Department for Work and Pensions","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Home Office","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","South Yorkshire","Ministry of Justice","1510","1400","28750","26810"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Attorney General's Departments","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Cabinet Office","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Transport","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Department for Work and Pensions","320","290","27410","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Home Office","200","180","26800","25260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Defence","11560","11170","38650","36460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","Ministry of Justice","740","680","30540","28220"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Gloucestershire, Wiltshire and Bath/Bristol area","National Crime Agency","410","400","35940","34140"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Department for Transport","30","30","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Department for Work and Pensions","230","210","32000","27570"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Home Office","120","110","28790","26160"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","Ministry of Justice","400","380","29090","29470"
"In post","2021","Bedford","Bedfordshire and Hertfordshire","National Crime Agency","[c]","[c]","[c]","[c]"
