"Status","Year","Disability","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","80","80","44430","41030"
"In post","2021","Declared disabled","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","50","50","38100","37040"
"In post","2021","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","40","40","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South West (England)","170","160","39890","37560"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","40","40","[c]","[c]"
"In post","2021","Declared disabled","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","100","100","43530","39600"
"In post","2021","Declared disabled","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
