"Status","Year","Responsibility_level","Profession_of_post","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Commercial","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Unknown","50","50","22370","21590"
"In post","2021","AA/AO","Commercial","White","170","160","22440","21590"
"In post","2021","AA/AO","Communications","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","White","180","170","22010","21590"
"In post","2021","AA/AO","Corporate Finance","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Corporate Finance","White","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Counter Fraud","White","40","30","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Digital, Data and Technology","Unknown","80","80","21680","21590"
"In post","2021","AA/AO","Digital, Data and Technology","White","300","290","21890","21580"
"In post","2021","AA/AO","Economics","Asian","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Black","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Economics","White","40","40","[c]","[c]"
"In post","2021","AA/AO","Finance","Asian","60","50","22250","21440"
