"Status","Year","Sexual_orientation","Region_ITL2","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Commercial","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Digital, Data & Technology","50","50","36340","35720"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Finance","90","80","43230","37640"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Human Resources","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Legal","140","130","42250","40000"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","No function","1150","1090","30110","28600"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Project Delivery","150","150","40420","37640"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Security","60","60","25020","22650"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Unknown","1430","1340","31790","29290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Commercial","160","160","38780","36760"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Communications","70","70","33260","31390"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data & Technology","180","180","42220","39430"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Finance","250","240","37900","34530"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Grants Management","80","80","31160","26520"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","110","100","38330","33300"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Legal","160","140","44490","46210"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","No function","2420","2290","31600","30400"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","400","380","39470","35300"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Property","270","270","33740","33150"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Security","700","690","34210","33300"
