"Status","Year","Sexual_orientation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","16-19","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Operational Delivery","210","190","21460","21430"
"In post","2021","Heterosexual / straight","16-19","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Other","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Policy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Property","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Science and Engineering","70","70","18230","17780"
"In post","2021","Heterosexual / straight","16-19","Security","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","16-19","Tax","50","50","20450","20140"
"In post","2021","Heterosexual / straight","16-19","Unknown","220","210","22470","21010"
"In post","2021","Heterosexual / straight","20-29","Commercial","560","560","30190","29550"
"In post","2021","Heterosexual / straight","20-29","Communications","490","490","34510","33190"
"In post","2021","Heterosexual / straight","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Counter Fraud","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Digital, Data and Technology","1020","1010","33630","31810"
"In post","2021","Heterosexual / straight","20-29","Economics","750","750","37790","34090"
"In post","2021","Heterosexual / straight","20-29","Finance","790","780","32940","30420"
"In post","2021","Heterosexual / straight","20-29","Human Resources","760","760","31260","29000"
"In post","2021","Heterosexual / straight","20-29","Intelligence Analysis","360","360","32250","29250"
"In post","2021","Heterosexual / straight","20-29","Internal Audit","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","International Trade","240","240","37040","33410"
"In post","2021","Heterosexual / straight","20-29","Knowledge and Information Management","210","210","28130","26880"
"In post","2021","Heterosexual / straight","20-29","Legal","770","770","34970","31810"
"In post","2021","Heterosexual / straight","20-29","Medicine","100","100","29530","27460"
"In post","2021","Heterosexual / straight","20-29","Operational Delivery","17230","16840","25540","24890"
"In post","2021","Heterosexual / straight","20-29","Operational Research","230","230","34430","33210"
"In post","2021","Heterosexual / straight","20-29","Other","1520","1500","27350","25740"
"In post","2021","Heterosexual / straight","20-29","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","20-29","Policy","4660","4640","38320","35060"
"In post","2021","Heterosexual / straight","20-29","Project Delivery","1430","1420","32630","31810"
"In post","2021","Heterosexual / straight","20-29","Property","380","380","28560","27130"
"In post","2021","Heterosexual / straight","20-29","Psychology","280","270","27870","27380"
"In post","2021","Heterosexual / straight","20-29","Science and Engineering","1820","1810","28860","28610"
"In post","2021","Heterosexual / straight","20-29","Security","650","650","26460","25680"
"In post","2021","Heterosexual / straight","20-29","Social Research","300","290","36210","34320"
"In post","2021","Heterosexual / straight","20-29","Statistics","410","400","35690","34010"
"In post","2021","Heterosexual / straight","20-29","Tax","1560","1520","29680","25560"
"In post","2021","Heterosexual / straight","20-29","Unknown","10460","10300","28090","27570"
"In post","2021","Heterosexual / straight","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Commercial","920","880","38040","36360"
"In post","2021","Heterosexual / straight","30-39","Communications","760","730","42510","39850"
"In post","2021","Heterosexual / straight","30-39","Corporate Finance","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Counter Fraud","120","120","35990","34390"
"In post","2021","Heterosexual / straight","30-39","Digital, Data and Technology","2030","1980","40750","38390"
"In post","2021","Heterosexual / straight","30-39","Economics","360","350","57870","57850"
"In post","2021","Heterosexual / straight","30-39","Finance","1400","1340","41410","37940"
"In post","2021","Heterosexual / straight","30-39","Human Resources","1340","1260","37260","33300"
"In post","2021","Heterosexual / straight","30-39","Inspector of Education and Training","60","60","60830","51360"
"In post","2021","Heterosexual / straight","30-39","Intelligence Analysis","670","650","34420","30980"
"In post","2021","Heterosexual / straight","30-39","Internal Audit","110","110","42250","39410"
"In post","2021","Heterosexual / straight","30-39","International Trade","250","240","50110","51970"
"In post","2021","Heterosexual / straight","30-39","Knowledge and Information Management","350","330","37530","36330"
"In post","2021","Heterosexual / straight","30-39","Legal","2050","1960","46780","50500"
"In post","2021","Heterosexual / straight","30-39","Medicine","380","350","43020","37890"
"In post","2021","Heterosexual / straight","30-39","Operational Delivery","25830","24130","28390","25830"
"In post","2021","Heterosexual / straight","30-39","Operational Research","260","250","45700","46080"
"In post","2021","Heterosexual / straight","30-39","Other","2420","2300","32270","27790"
"In post","2021","Heterosexual / straight","30-39","Planning","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Planning Inspectors","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","30-39","Policy","5610","5440","48930","51730"
"In post","2021","Heterosexual / straight","30-39","Project Delivery","2740","2660","40500","38630"
"In post","2021","Heterosexual / straight","30-39","Property","680","660","36480","33300"
"In post","2021","Heterosexual / straight","30-39","Psychology","440","420","35250","31180"
"In post","2021","Heterosexual / straight","30-39","Science and Engineering","1830","1760","38370","37350"
"In post","2021","Heterosexual / straight","30-39","Security","1000","980","32160","30450"
"In post","2021","Heterosexual / straight","30-39","Social Research","260","240","44350","43560"
"In post","2021","Heterosexual / straight","30-39","Statistics","430","410","45490","43040"
"In post","2021","Heterosexual / straight","30-39","Tax","2450","2370","35150","31810"
"In post","2021","Heterosexual / straight","30-39","Unknown","14090","13190","31790","27570"
"In post","2021","Heterosexual / straight","30-39","Veterinarian","80","70","39700","37480"
"In post","2021","Heterosexual / straight","40-49","Commercial","940","910","43570","40310"
"In post","2021","Heterosexual / straight","40-49","Communications","710","670","45290","40960"
"In post","2021","Heterosexual / straight","40-49","Corporate Finance","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Counter Fraud","150","140","37350","34900"
"In post","2021","Heterosexual / straight","40-49","Digital, Data and Technology","2410","2360","45400","42000"
"In post","2021","Heterosexual / straight","40-49","Economics","160","150","64170","61250"
"In post","2021","Heterosexual / straight","40-49","Finance","1800","1720","43960","40080"
"In post","2021","Heterosexual / straight","40-49","Human Resources","1600","1500","42400","38600"
"In post","2021","Heterosexual / straight","40-49","Inspector of Education and Training","240","230","65310","69690"
"In post","2021","Heterosexual / straight","40-49","Intelligence Analysis","630","590","34910","30830"
"In post","2021","Heterosexual / straight","40-49","Internal Audit","150","150","48290","45290"
"In post","2021","Heterosexual / straight","40-49","International Trade","160","160","51760","51970"
"In post","2021","Heterosexual / straight","40-49","Knowledge and Information Management","400","380","39280","37020"
"In post","2021","Heterosexual / straight","40-49","Legal","2240","2070","50450","51390"
"In post","2021","Heterosexual / straight","40-49","Medicine","500","450","55400","44500"
"In post","2021","Heterosexual / straight","40-49","Operational Delivery","26750","24860","30650","27370"
"In post","2021","Heterosexual / straight","40-49","Operational Research","180","160","49710","46720"
"In post","2021","Heterosexual / straight","40-49","Other","3180","3050","33600","26930"
"In post","2021","Heterosexual / straight","40-49","Planning","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","40-49","Planning Inspectors","80","70","54930","58810"
"In post","2021","Heterosexual / straight","40-49","Policy","4700","4480","52960","53360"
"In post","2021","Heterosexual / straight","40-49","Project Delivery","3170","3080","45050","40580"
"In post","2021","Heterosexual / straight","40-49","Property","1090","1050","38140","33300"
"In post","2021","Heterosexual / straight","40-49","Psychology","210","200","45570","46790"
"In post","2021","Heterosexual / straight","40-49","Science and Engineering","1850","1770","43110","41430"
"In post","2021","Heterosexual / straight","40-49","Security","1180","1170","33010","32280"
"In post","2021","Heterosexual / straight","40-49","Social Research","180","160","49150","47000"
"In post","2021","Heterosexual / straight","40-49","Statistics","310","290","50330","50090"
"In post","2021","Heterosexual / straight","40-49","Tax","1930","1840","36580","31810"
"In post","2021","Heterosexual / straight","40-49","Unknown","18000","16570","32750","27570"
"In post","2021","Heterosexual / straight","40-49","Veterinarian","110","100","43770","38260"
"In post","2021","Heterosexual / straight","50-59","Commercial","1090","1070","44980","41700"
"In post","2021","Heterosexual / straight","50-59","Communications","480","470","42590","37410"
"In post","2021","Heterosexual / straight","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Counter Fraud","200","190","40050","37910"
"In post","2021","Heterosexual / straight","50-59","Digital, Data and Technology","2220","2170","44400","40580"
"In post","2021","Heterosexual / straight","50-59","Economics","100","90","63810","62480"
"In post","2021","Heterosexual / straight","50-59","Finance","2020","1930","41990","37900"
"In post","2021","Heterosexual / straight","50-59","Human Resources","1860","1780","41130","36970"
"In post","2021","Heterosexual / straight","50-59","Inspector of Education and Training","330","320","67660","74730"
"In post","2021","Heterosexual / straight","50-59","Intelligence Analysis","640","620","34530","31180"
"In post","2021","Heterosexual / straight","50-59","Internal Audit","240","240","48550","45810"
"In post","2021","Heterosexual / straight","50-59","International Trade","160","150","53290","51970"
"In post","2021","Heterosexual / straight","50-59","Knowledge and Information Management","530","510","38250","34610"
"In post","2021","Heterosexual / straight","50-59","Legal","2100","1980","51400","51490"
"In post","2021","Heterosexual / straight","50-59","Medicine","510","460","61860","47540"
"In post","2021","Heterosexual / straight","50-59","Operational Delivery","33670","31250","30750","27380"
"In post","2021","Heterosexual / straight","50-59","Operational Research","140","130","50810","47140"
"In post","2021","Heterosexual / straight","50-59","Other","5530","5360","30210","25870"
"In post","2021","Heterosexual / straight","50-59","Planning","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","50-59","Planning Inspectors","90","90","58790","58810"
"In post","2021","Heterosexual / straight","50-59","Policy","3870","3780","50470","47000"
"In post","2021","Heterosexual / straight","50-59","Project Delivery","3600","3510","45520","40780"
"In post","2021","Heterosexual / straight","50-59","Property","1880","1840","38410","33630"
"In post","2021","Heterosexual / straight","50-59","Psychology","110","110","38380","29750"
"In post","2021","Heterosexual / straight","50-59","Science and Engineering","2310","2240","42130","40720"
"In post","2021","Heterosexual / straight","50-59","Security","2280","2260","31870","26930"
"In post","2021","Heterosexual / straight","50-59","Social Research","100","90","50220","47000"
"In post","2021","Heterosexual / straight","50-59","Statistics","210","200","49040","47710"
"In post","2021","Heterosexual / straight","50-59","Tax","2710","2590","38270","35000"
"In post","2021","Heterosexual / straight","50-59","Unknown","24050","22110","31240","27570"
"In post","2021","Heterosexual / straight","50-59","Veterinarian","70","60","51240","51760"
"In post","2021","Heterosexual / straight","60-64","Commercial","200","180","45030","41650"
"In post","2021","Heterosexual / straight","60-64","Communications","100","100","38450","34610"
"In post","2021","Heterosexual / straight","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Counter Fraud","60","60","37150","35640"
"In post","2021","Heterosexual / straight","60-64","Digital, Data and Technology","470","420","42800","38630"
"In post","2021","Heterosexual / straight","60-64","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","60-64","Finance","420","360","37920","33300"
"In post","2021","Heterosexual / straight","60-64","Human Resources","360","300","37850","33300"
"In post","2021","Heterosexual / straight","60-64","Inspector of Education and Training","80","70","67850","74730"
