"Status","Year","Organisation","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Scotland","120","100","31670","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","London","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","East Midlands (England)","90","80","28820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","East of England","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","London","90","80","38550","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","North East (England)","120","110","28990","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","North West (England)","130","120","29400","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Scotland","90","80","29490","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","South West (England)","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Wales","80","80","29610","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","West Midlands (England)","80","70","29880","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","No function","Yorkshire and The Humber","60","60","30390","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data & Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","East Midlands (England)","60","60","34420","31920"
"In post","2021","Animal and Plant Health Agency","No function","East of England","150","140","31240","29180"
"In post","2021","Animal and Plant Health Agency","No function","London","110","100","37060","31800"
"In post","2021","Animal and Plant Health Agency","No function","North East (England)","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","No function","North West (England)","250","230","28480","24920"
"In post","2021","Animal and Plant Health Agency","No function","Scotland","130","120","31600","26520"
"In post","2021","Animal and Plant Health Agency","No function","South East (England)","660","630","32900","28630"
"In post","2021","Animal and Plant Health Agency","No function","South West (England)","420","390","29000","25100"
"In post","2021","Animal and Plant Health Agency","No function","Wales","310","290","28060","25100"
"In post","2021","Animal and Plant Health Agency","No function","West Midlands (England)","220","200","28790","25190"
"In post","2021","Animal and Plant Health Agency","No function","Yorkshire and The Humber","210","200","29360","25520"
"In post","2021","Animal and Plant Health Agency","Project Delivery","North West (England)","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","London","30","30","[c]","[c]"
"In post","2021","Attorney General's Office","No function","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","East of England","70","60","57360","54800"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","London","770","760","75440","67440"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","North West (England)","190","190","61760","55870"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Scotland","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","South East (England)","70","60","67440","65640"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","South West (England)","80","80","73540","64500"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","West Midlands (England)","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Commercial","Yorkshire and The Humber","110","100","64390","62210"
"In post","2021","Cabinet Office (excl. agencies)","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","London","320","320","47710","42990"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","South West (England)","[c]","[c]","[c]","[c]"
