"Status","Year","Disability","Region_ITL3","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","White","110","100","32810","27570"
"In post","2021","Declared disabled","Angus and Dundee City","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","White","240","220","24230","21010"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","White","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","White","60","50","30290","31060"
"In post","2021","Declared disabled","Barnet","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","White","50","50","37380","31470"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","White","390","330","26860","26810"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","100","90","41460","40200"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","White","1150","1100","36220","33300"
"In post","2021","Declared disabled","Bedford","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","White","80","80","30130","28030"
"In post","2021","Declared disabled","Belfast","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","White","220","200","28270","25560"
"In post","2021","Declared disabled","Berkshire","Asian","40","30","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","White","240","230","34080","31880"
"In post","2021","Declared disabled","Bexley and Greenwich","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Black","[c]","[c]","[c]","[c]"
