"Status","Year","Profession_of_post","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Asian","120","110","38000","35190"
"In post","2021","Commercial","Female","Black","120","120","36990","34900"
"In post","2021","Commercial","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Mixed","60","50","39730","34780"
"In post","2021","Commercial","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Undeclared","100","100","38310","35760"
"In post","2021","Commercial","Female","Unknown","310","290","38650","36820"
"In post","2021","Commercial","Female","White","2130","2010","38910","36500"
"In post","2021","Commercial","Male","Asian","110","110","40420","38280"
"In post","2021","Commercial","Male","Black","60","60","40360","38000"
"In post","2021","Commercial","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Mixed","30","30","[c]","[c]"
"In post","2021","Commercial","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Male","Undeclared","130","120","41080","39620"
"In post","2021","Commercial","Male","Unknown","280","280","40030","37400"
"In post","2021","Commercial","Male","White","1880","1850","43030","40070"
"In post","2021","Communications","Female","Asian","110","100","40290","37210"
"In post","2021","Communications","Female","Black","80","80","37710","35010"
"In post","2021","Communications","Female","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Mixed","70","70","42240","39290"
"In post","2021","Communications","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Female","Undeclared","50","40","[c]","[c]"
"In post","2021","Communications","Female","Unknown","400","390","42090","38650"
"In post","2021","Communications","Female","White","1600","1510","41530","38540"
"In post","2021","Communications","Male","Asian","70","70","38220","33830"
"In post","2021","Communications","Male","Black","30","30","[c]","[c]"
"In post","2021","Communications","Male","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Mixed","40","40","[c]","[c]"
"In post","2021","Communications","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Male","Undeclared","70","70","41820","38980"
"In post","2021","Communications","Male","Unknown","300","300","43140","39110"
"In post","2021","Communications","Male","White","1110","1100","41690","37930"
"In post","2021","Corporate Finance","Female","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Black","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Female","Chinese","[c]","[c]","[c]","[c]"
