"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","110","110","44960","42020"
"In post","2021","Asian","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","30","30","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","120","120","41490","39070"
"In post","2021","Asian","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","160","150","38560","36500"
"In post","2021","Asian","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Commercial","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","150","150","39860","35270"
"In post","2021","Asian","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","110","100","31150","31810"
"In post","2021","Asian","Communications","Other","50","40","[c]","[c]"
"In post","2021","Asian","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","140","140","27720","25560"
"In post","2021","Asian","Communications","Unknown","50","50","36220","31810"
"In post","2021","Asian","Counter Fraud","Counter Fraud","30","30","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Legal","160","160","30670","29570"
"In post","2021","Asian","Counter Fraud","Operational Delivery","210","190","28770","27560"
"In post","2021","Asian","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Other","30","30","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Tax","150","140","36100","35160"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Operational Delivery","300","260","24220","24390"
"In post","2021","Asian","Debt","Tax","50","40","[c]","[c]"
"In post","2021","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Digital, Data and Technology","610","600","40620","36800"
"In post","2021","Asian","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Operational Delivery","40","40","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","120","120","47780","41850"
"In post","2021","Asian","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Finance","590","570","39450","36200"
"In post","2021","Asian","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Operational Delivery","80","70","26190","22910"
"In post","2021","Asian","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Human Resources","330","320","37400","33300"
"In post","2021","Asian","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","90","90","37840","34840"
"In post","2021","Asian","Internal Audit","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Internal Audit","80","70","46610","44310"
"In post","2021","Asian","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Legal","720","670","51160","51250"
"In post","2021","Asian","Legal","Operational Delivery","350","320","26800","24590"
"In post","2021","Asian","Legal","Other","50","40","[c]","[c]"
"In post","2021","Asian","Legal","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Commercial","40","40","[c]","[c]"
"In post","2021","Asian","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Economics","40","40","[c]","[c]"
"In post","2021","Asian","No function","Finance","60","50","43250","40050"
"In post","2021","Asian","No function","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","International Trade","110","110","42870","38160"
