"Status","Year","Function_of_post","Ethnicity","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Declared non-disabled","320","310","43410","40000"
"In post","2021","Analysis","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Unknown","60","60","40460","35920"
"In post","2021","Analysis","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Declared non-disabled","130","130","40080","37400"
"In post","2021","Analysis","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Declared non-disabled","50","50","46870","42890"
"In post","2021","Analysis","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Declared non-disabled","130","130","43290","40180"
"In post","2021","Analysis","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mixed","Unknown","40","40","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Declared non-disabled","90","90","47460","42250"
"In post","2021","Analysis","Undeclared","Undeclared","100","100","43390","41780"
"In post","2021","Analysis","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Declared non-disabled","90","80","40830","37400"
"In post","2021","Analysis","Unknown","Undeclared","80","80","42620","42470"
"In post","2021","Analysis","Unknown","Unknown","780","760","40570","36160"
"In post","2021","Analysis","White","Declared disabled","490","470","40870","37320"
"In post","2021","Analysis","White","Declared non-disabled","3700","3540","44740","39850"
"In post","2021","Analysis","White","Undeclared","160","160","43190","40480"
"In post","2021","Analysis","White","Unknown","740","710","40410","36090"
"In post","2021","Commercial","Asian","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Declared non-disabled","210","210","41860","35670"
"In post","2021","Commercial","Asian","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Black","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Declared non-disabled","140","130","40490","36500"
"In post","2021","Commercial","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Declared non-disabled","70","60","41050","34800"
"In post","2021","Commercial","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Undeclared","Declared non-disabled","100","100","41690","36760"
