"Status","Year","Region_ITL3","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","No function","100","90","25200","24450"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","20-29","Unknown","90","90","28330","27570"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Legal","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","No function","140","140","34450","31660"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","30-39","Unknown","200","190","32230","29190"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","No function","160","160","47560","34660"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","40-49","Unknown","210","200","35990","30650"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","No function","220","210","44960","33650"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Property","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Security","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","50-59","Unknown","260","240","34340","27570"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","No function","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","60-64","Unknown","80","60","31560","27570"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","No function","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","20-29","Unknown","170","160","23490","21150"
"In post","2021","Angus and Dundee City","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","30-39","No function","70","60","22840","20140"
"In post","2021","Angus and Dundee City","30-39","Unknown","330","310","25630","23340"
"In post","2021","Angus and Dundee City","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","40-49","No function","100","90","23130","21440"
"In post","2021","Angus and Dundee City","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","40-49","Unknown","360","340","27090","24110"
"In post","2021","Angus and Dundee City","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","50-59","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","50-59","No function","100","90","25980","21440"
"In post","2021","Angus and Dundee City","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","50-59","Unknown","400","370","27450","22230"
"In post","2021","Angus and Dundee City","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","No function","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","60-64","Unknown","130","110","26280","21080"
"In post","2021","Angus and Dundee City","65+","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","65+","Unknown","40","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","40-49","Security","[c]","[c]","[c]","[c]"
