"Status","Year","Organisation","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","White","90","80","32680","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Unknown","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","White","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","White","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","White","110","100","44680","39390"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","Unknown","50","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","White","90","80","31590","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North West (England)","White","100","90","31120","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Scotland","White","80","70","31910","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South East (England)","White","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","South West (England)","White","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Wales","White","70","60","32460","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands (England)","White","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","White","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Midlands (England)","White","60","60","31860","29180"
"In post","2021","Animal and Plant Health Agency","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East of England","White","120","120","31010","29180"
"In post","2021","Animal and Plant Health Agency","London","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","London","White","80","70","37250","31800"
"In post","2021","Animal and Plant Health Agency","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North East (England)","White","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North West (England)","White","250","230","27610","24920"
"In post","2021","Animal and Plant Health Agency","Scotland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Scotland","White","110","110","31240","26520"
"In post","2021","Animal and Plant Health Agency","South East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Undeclared","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","Unknown","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South East (England)","White","550","520","33500","29010"
"In post","2021","Animal and Plant Health Agency","South West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Undeclared","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","South West (England)","Unknown","50","50","28620","25430"
"In post","2021","Animal and Plant Health Agency","South West (England)","White","320","300","29180","24920"
"In post","2021","Animal and Plant Health Agency","Wales","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","Unknown","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Wales","White","250","240","28290","25100"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Midlands (England)","White","220","210","29810","26460"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Yorkshire and The Humber","White","160","150","29220","25630"
"In post","2021","Attorney General's Office","London","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Black","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","London","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Midlands (England)","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","Unknown","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East of England","White","60","60","40420","33300"
"In post","2021","Cabinet Office (excl. agencies)","London","Asian","420","410","47350","41820"
"In post","2021","Cabinet Office (excl. agencies)","London","Black","240","230","42400","35600"
"In post","2021","Cabinet Office (excl. agencies)","London","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","London","Mixed","170","160","47490","40600"
"In post","2021","Cabinet Office (excl. agencies)","London","Other ethnicity","60","60","48440","41180"
"In post","2021","Cabinet Office (excl. agencies)","London","Undeclared","170","170","52990","54700"
"In post","2021","Cabinet Office (excl. agencies)","London","Unknown","2470","2450","46940","34550"
"In post","2021","Cabinet Office (excl. agencies)","London","White","2960","2910","53080","54700"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","Unknown","70","70","34530","28000"
"In post","2021","Cabinet Office (excl. agencies)","North East (England)","White","330","310","28670","23850"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","Unknown","250","250","48650","49700"
"In post","2021","Cabinet Office (excl. agencies)","North West (England)","White","170","170","45390","38420"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Northern Ireland","White","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Overseas","Black","[c]","[c]","[c]","[c]"
