"Status","Year","Disability","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","50-59","40","30","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","20-29","50","50","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","30-39","50","50","25840","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","40-49","80","80","28860","26090"
"In post","2021","Declared disabled","Animal and Plant Health Agency","50-59","130","120","30090","25610"
"In post","2021","Declared disabled","Animal and Plant Health Agency","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","20-29","170","170","34290","32000"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","30-39","170","170","46610","53710"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","40-49","150","150","48170","51190"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","50-59","180","170","48240","39750"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","20-29","[c]","[c]","[c]","[c]"
