"Status","Year","Sex","Region_ITL3","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Declared disabled","80","70","29420","27570"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Declared non-disabled","530","480","33730","28170"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Unknown","300","280","30650","28410"
"In post","2021","Female","Angus and Dundee City","Declared disabled","180","160","24100","21150"
"In post","2021","Female","Angus and Dundee City","Declared non-disabled","710","640","26910","24910"
"In post","2021","Female","Angus and Dundee City","Undeclared","50","40","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Unknown","220","200","27410","22230"
"In post","2021","Female","Antrim and Newtownabbey","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Declared non-disabled","40","30","[c]","[c]"
"In post","2021","Female","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Declared disabled","70","60","30790","31060"
"In post","2021","Female","Barking & Dagenham and Havering","Declared non-disabled","280","250","30080","31060"
"In post","2021","Female","Barking & Dagenham and Havering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","Declared disabled","80","70","32650","31060"
"In post","2021","Female","Barnet","Declared non-disabled","680","630","35310","31880"
"In post","2021","Female","Barnet","Undeclared","40","30","[c]","[c]"
"In post","2021","Female","Barnet","Unknown","270","250","47450","40470"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Declared disabled","280","240","26320","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Declared non-disabled","1350","1140","26040","26120"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Undeclared","120","110","28620","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Unknown","90","90","23900","22850"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared disabled","640","600","34130","32280"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Declared non-disabled","3830","3540","34540","32350"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","280","260","35860","33300"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","620","580","35770","33000"
"In post","2021","Female","Bedford","Declared disabled","70","60","29260","27850"
"In post","2021","Female","Bedford","Declared non-disabled","320","290","29350","27570"
"In post","2021","Female","Bedford","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedford","Unknown","50","50","26100","22850"
"In post","2021","Female","Belfast","Declared disabled","140","120","29400","26550"
"In post","2021","Female","Belfast","Declared non-disabled","860","770","29580","25560"
"In post","2021","Female","Belfast","Undeclared","80","70","29530","26750"
"In post","2021","Female","Belfast","Unknown","350","320","26400","21440"
"In post","2021","Female","Berkshire","Declared disabled","180","160","32880","29290"
"In post","2021","Female","Berkshire","Declared non-disabled","910","840","32710","29290"
"In post","2021","Female","Berkshire","Undeclared","70","60","31430","29290"
"In post","2021","Female","Berkshire","Unknown","210","200","33040","30540"
"In post","2021","Female","Bexley and Greenwich","Declared disabled","120","110","30020","30550"
"In post","2021","Female","Bexley and Greenwich","Declared non-disabled","600","560","30950","31060"
"In post","2021","Female","Bexley and Greenwich","Undeclared","90","90","30030","28880"
"In post","2021","Female","Bexley and Greenwich","Unknown","110","110","28910","29250"
"In post","2021","Female","Birmingham","Declared disabled","800","710","28870","27570"
"In post","2021","Female","Birmingham","Declared non-disabled","4300","3840","30630","27570"
"In post","2021","Female","Birmingham","Undeclared","320","290","30560","27570"
"In post","2021","Female","Birmingham","Unknown","1190","1110","29710","25560"
"In post","2021","Female","Blackburn with Darwen","Declared disabled","50","40","27330","27570"
"In post","2021","Female","Blackburn with Darwen","Declared non-disabled","220","180","26580","27570"
"In post","2021","Female","Blackburn with Darwen","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Blackpool","Declared disabled","510","440","27220","27570"
"In post","2021","Female","Blackpool","Declared non-disabled","2480","2190","28510","27570"
"In post","2021","Female","Blackpool","Undeclared","140","130","28300","27570"
"In post","2021","Female","Blackpool","Unknown","90","80","31150","27570"
"In post","2021","Female","Bournemouth and Poole","Declared disabled","80","70","26460","27570"
"In post","2021","Female","Bournemouth and Poole","Declared non-disabled","300","250","27350","27570"
"In post","2021","Female","Bournemouth and Poole","Undeclared","[c]","[c]","[c]","[c]"
